================================================================================
严苛版中线买点 回测报告（评分≥85分 + 6项过滤 + 回踩入场）
回测时间: 2026-06-27 22:01
入场方式: 信号后等待回踩MA10/MA20确认
过滤条件: 评分≥85 + 6项(量比0.5~2.5+趋势连续+MACD零轴张口+RSI60~85)
================================================================================

总计扫描: 137 只股票
累计交易日: 16433 天
严苛信号数: 327 个

────────────────────────────────────────────────────────────────────────────────
一、各股票评分统计
--------------------------------------------------------------------------------
代码                     评分范围     均值   S级     严苛信号
--------------------------------------------------------------------------------
002297.SZ             63~86   73.3    3        3
300390.SZ             56~73   64.5    2        2
600601.SH             59~65   61.0    3        3
603826.SH             48~48   48.0    1        1
688629.SH             47~64   55.3    3        3
300395.SZ             49~67   60.0    4        4
300497.SZ             46~52   48.3    6        6
001389.SZ             43~67   59.0    3        3
920493.BJ             58~62   60.0    2        2
688796.SH             45~81   63.8    5        5
688603.SH             49~58   54.3    3        3
000792.SZ             41~52   46.5    2        2
002326.SZ             49~49   49.0    1        1
688787.SH             83~83   83.0    1        1
002812.SZ             59~67   63.7    3        3
300184.SZ             46~83   64.5    2        2
002386.SZ             45~45   45.0    1        1
002384.SZ             78~78   78.0    1        1
002545.SZ             78~78   78.0    1        1
688700.SH             64~64   64.0    1        1
300738.SZ             46~53   49.5    2        2
600770.SH             45~65   55.0    2        2
002256.SZ             47~57   50.8    4        4
001339.SZ             53~60   57.0    4        4
000657.SZ             46~69   58.3    3        3
688378.SH             53~82   70.7    3        3
300806.SZ             78~89   83.3    3        3
600186.SH             44~46   45.0    2        2
300548.SZ             51~63   55.5    4        4
002354.SZ             44~61   51.7    3        3
002192.SZ             53~72   62.7    3        3
688428.SH             44~44   44.0    1        1
300861.SZ             66~66   66.0    1        1
301099.SZ             42~42   42.0    1        1
688758.SH             44~47   45.5    2        2
603268.SH             72~72   72.0    1        1
600522.SH             77~81   78.3    3        3
300480.SZ             69~70   69.5    2        2
002685.SZ             48~48   48.0    1        1
002281.SZ             48~60   55.3    3        3
688353.SH             43~47   45.0    3        3
300489.SZ             63~63   63.0    1        1
603196.SH             45~45   45.0    1        1
301500.SZ             80~89   84.4    5        5
002745.SZ             48~48   48.0    1        1
002132.SZ             38~85   70.8    4        4
603248.SH             53~65   59.2    4        4
688110.SH             40~69   51.3    3        3
605196.SH             62~62   62.0    1        1
300249.SZ             39~51   45.0    2        2
920045.BJ             44~56   50.0    4        4
600961.SH             65~88   72.8    4        4
688205.SH             61~61   61.0    2        2
603067.SH             44~70   55.4    5        5
600869.SH             68~68   68.0    1        1
000681.SZ             74~74   74.0    1        1
600884.SH             39~39   39.0    1        1
603308.SH             62~90   76.0    2        2
300715.SZ             67~67   67.0    2        2
688362.SH             67~71   68.7    3        3
601233.SH             43~50   46.5    2        2
300672.SZ             57~84   65.9    7        7
301216.SZ             54~67   60.0    3        3
000036.SZ             41~41   41.0    1        1
002810.SZ             45~70   59.8    4        4
300483.SZ             59~70   64.5    2        2
002023.SZ             47~49   48.3    3        3
300624.SZ             74~79   76.5    2        2
688365.SH             55~55   55.0    1        1
000066.SZ             51~88   74.0    5        5
605060.SH             60~60   60.0    1        1
000815.SZ             59~81   73.3    3        3
688400.SH             65~65   65.0    1        1
301323.SZ             45~51   48.0    2        2
300814.SZ             52~63   59.2    4        4
002025.SZ             62~66   64.0    2        2
600188.SH             45~70   57.5    2        2
300041.SZ             65~65   65.0    1        1
301055.SZ             62~62   62.0    1        1
000880.SZ             50~50   50.0    1        1
002851.SZ             53~86   65.5    6        6
000567.SZ             43~43   43.0    1        1
688802.SH             66~81   73.5    2        2
600578.SH             45~82   62.8    4        4
688598.SH             45~90   71.3    3        3
600460.SH             78~78   78.0    1        1
688361.SH             81~81   81.0    1        1
300723.SZ             57~57   57.0    1        1
601600.SH             49~49   49.0    2        2
688170.SH             70~89   79.5    2        2
002079.SZ             53~54   53.5    2        2
301292.SZ             59~89   78.0    3        3
600875.SH             78~91   83.0    3        3
603155.SH             68~68   68.0    1        1
300617.SZ             46~47   46.5    2        2
600744.SH             43~63   54.0    3        3
301382.SZ             73~73   73.0    1        1
601699.SH             45~45   45.0    1        1
002488.SZ             68~68   68.0    1        1
600602.SH             37~43   40.0    2        2
300488.SZ             57~81   70.0    5        5
000593.SZ             76~89   83.4    5        5
688091.SH             43~44   43.5    2        2
603663.SH             45~82   63.3    3        3
605178.SH             44~53   49.0    4        4
603127.SH             61~73   67.0    2        2
688385.SH             58~63   60.5    2        2
300769.SZ             78~78   78.0    1        1
002151.SZ             85~88   86.5    2        2
600489.SH             92~92   92.0    1        1
688387.SH             41~89   63.8    4        4
000155.SZ             48~48   48.0    1        1
300199.SZ             58~58   58.0    1        1
002409.SZ             77~78   77.5    2        2
000636.SZ             60~60   60.0    1        1
300093.SZ             54~54   54.0    1        1
605006.SH             62~62   62.0    1        1
600345.SH             50~83   64.8    4        4
000070.SZ             66~87   74.6    5        5
002805.SZ             59~82   70.5    2        2
688126.SH             45~52   48.5    2        2
600089.SH             44~49   46.5    2        2
600736.SH             83~83   83.0    1        1
601958.SH             50~73   63.7    6        6
688331.SH             54~82   64.8    6        6
300467.SZ             63~63   63.0    1        1
603888.SH             67~67   67.0    1        1
603077.SH             51~60   56.2    4        4
600550.SH             69~69   69.0    1        1
002708.SZ             51~55   53.0    2        2
688131.SH             37~37   37.0    1        1
688097.SH             60~64   61.7    3        3
688710.SH             49~77   64.3    3        3
000767.SZ             49~84   67.4    5        5
688180.SH             47~60   53.5    2        2
300045.SZ             55~55   55.0    1        1
300593.SZ             88~88   88.0    1        1

────────────────────────────────────────────────────────────────────────────────
二、严苛信号汇总
--------------------------------------------------------------------------------
代码             信号日          入场日             评分     信号涨幅     次日开仓      +1日      +5日     +10日     +20日
--------------------------------------------------------------------------------------------------------------
002297.SZ      20260416     20260417        63   +9.99%    17.01   +14.40%   +31.10%   +41.15%   +38.51%
002297.SZ      20260417     20260420        71  +10.01%    18.73    +1.39%    +9.61%   +32.14%   +31.93%
002297.SZ      20260420     20260421        86  +10.01%    20.69    -1.93%    +9.13%   +24.26%   +28.47%
300390.SZ      20260410     20260413        56  +10.16%    69.36   +16.85%   +24.87%   +35.86%   +39.16%
300390.SZ      20260413     20260414        73  +17.42%    76.63    +0.39%   +11.98%   +21.35%   +22.21%
600601.SH      20260612     20260615        65   +9.98%    12.90    +9.30%    +4.11%    +0.78%    +0.78%
600601.SH      20260615     20260616        59   +4.34%    13.45    +6.69%    -1.19%    -3.35%    -3.35%
600601.SH      20260616     20260617        59   +4.83%    13.82    +4.20%    +2.46%    -5.93%    -5.93%
603826.SH      20260306     20260309        48   +8.54%    23.89    +0.38%    +1.13%    -3.47%   +10.46%
688629.SH      20260226     20260227        47  +14.66%   126.00    +1.97%    -6.86%   -15.44%   -13.42%
688629.SH      20260403     20260407        55   +7.82%   117.98    +7.29%    +8.07%   +17.39%   +15.73%
688629.SH      20260519     20260520        64  +11.71%   145.99    -8.17%    -1.01%    -6.95%    +7.58%
300395.SZ      20260226     20260227        49   +5.21%   127.43    +1.62%   -13.45%   -10.62%   -26.08%
300395.SZ      20260316     20260317        60   +4.17%   124.50   -12.21%   -23.73%   -26.59%   -14.14%
300395.SZ      20260413     20260414        64   +7.67%   108.60    -1.57%    +3.50%    -1.39%   +23.23%
300395.SZ      20260507     20260508        67  +10.83%   124.68    +5.43%    +7.34%   +12.41%    -4.37%
300497.SZ      20260427     20260428        48   +7.93%    19.50    +1.69%    -5.74%   -13.18%   -21.54%
300497.SZ      20260615     20260616        52  +10.27%    17.67    +3.11%   +25.35%   +16.92%   +16.92%
300497.SZ      20260617     20260618        46   +4.17%    18.22   +13.39%   +13.39%   +13.39%   +13.39%
300497.SZ      20260618     20260622        49   +6.92%    20.10   +11.24%    +2.79%    +2.79%    +2.79%
300497.SZ      20260622     20260623        49   +6.06%    20.90    +5.98%    -1.15%    -1.15%    -1.15%
300497.SZ      20260623     20260624        46   +8.23%    22.80    -1.32%    -9.39%    -9.39%    -9.39%
001389.SZ      20260225     20260226        43   +4.81%   112.07    +6.84%    -5.10%    +6.99%    +2.55%
001389.SZ      20260326     20260327        67   +7.95%   112.58    +4.24%    +3.84%   +17.25%   +52.96%
001389.SZ      20260413     20260414        67   +4.09%   133.20    -4.01%   +18.84%   +23.96%   +35.65%
920493.BJ      20260212     20260213        62  +14.07%   183.13    -7.83%    -9.79%    -2.89%   -19.89%
920493.BJ      20260309     20260310        58   +7.57%   180.00    -5.00%   -12.83%   -17.11%   -16.14%
688796.SH      20260306     20260309        63   +9.05%    75.51    +9.76%    +8.94%    -1.47%   +47.27%
688796.SH      20260310     20260311        61   +7.64%    83.73    -6.97%    -0.74%    +1.30%   +23.38%
688796.SH      20260327     20260330        81  +12.68%    91.00    +2.22%   +22.20%   +12.20%    +5.71%
688796.SH      20260512     20260513        69   +6.19%   101.79    -5.36%    +1.64%   +10.56%   -10.14%
688796.SH      20260624     20260625        45   +6.86%    97.51    -5.52%    -5.52%    -5.52%    -5.52%
688603.SH      20260415     20260416        49  +13.12%    98.50    -1.17%    -5.79%    -5.36%   +57.46%
688603.SH      20260428     20260429        56   +5.52%    97.00    -3.90%   +24.93%   +48.25%   +64.84%
688603.SH      20260506     20260507        58   +6.52%   100.00    +0.98%   +48.00%   +42.35%   +71.68%
000792.SZ      20260226     20260227        41   +7.76%    37.97    +0.47%    -3.11%    +4.29%    +3.90%
000792.SZ      20260327     20260330        52   +7.06%    39.58    -6.52%    -7.96%    -1.82%    -6.47%
002326.SZ      20260206     20260224        49  +10.02%    25.89    -0.42%   -12.71%   -10.16%   -15.72%
