================================================================================
严苛版中线买点 回测报告（评分≥85分 + 6项过滤 + 回踩入场）
回测时间: 2026-06-27 22:34
入场方式: 信号后等待回踩MA10/MA20确认
过滤条件: 评分≥85 + 6项(量比0.5~2.5+趋势连续+MACD零轴张口+RSI60~85)
================================================================================

总计扫描: 159 只股票
累计交易日: 19072 天
严苛信号数: 432 个

────────────────────────────────────────────────────────────────────────────────
一、各股票评分统计
--------------------------------------------------------------------------------
代码                     评分范围     均值   S级     严苛信号
--------------------------------------------------------------------------------
688002.SH               6~6    6.0    1        1
300054.SZ              6~21   13.5    2        2
002297.SZ             13~19   16.0    2        2
300390.SZ             12~12   12.0    1        1
600601.SH              6~12    8.0    3        3
603826.SH              8~10    9.0    2        2
688629.SH              9~16   11.5    6        6
300395.SZ              6~13    8.5    4        4
300497.SZ              9~10    9.4    5        5
001389.SZ              5~11    8.2    4        4
920493.BJ             10~18   13.0    3        3
688796.SH              9~11    9.7    3        3
688603.SH              5~15   10.0    5        5
000792.SZ              8~10    9.0    2        2
002326.SZ             12~12   12.0    1        1
688787.SH              5~16   11.7    3        3
002812.SZ              6~12    8.0    5        5
300184.SZ              7~10    8.3    3        3
603699.SH               7~7    7.0    1        1
002386.SZ               6~6    6.0    1        1
002545.SZ              8~12    9.3    3        3
688700.SH             10~10   10.0    1        1
600160.SH             11~11   11.0    1        1
300738.SZ              7~13    9.7    3        3
300842.SZ               6~7    6.5    2        2
600770.SH             12~13   12.5    2        2
002028.SZ               9~9    9.0    1        1
688008.SH              7~17   11.3    3        3
002256.SZ              7~11    9.0    3        3
001339.SZ              6~12    9.4    5        5
688378.SH             10~22   14.8    4        4
300806.SZ               6~9    7.5    2        2
600186.SH               7~7    7.0    2        2
300548.SZ              6~15   10.2    6        6
002354.SZ             12~13   12.3    3        3
002192.SZ              7~12    9.6    5        5
688428.SH               8~9    8.5    2        2
300861.SZ               6~8    7.0    2        2
301099.SZ              8~12   10.0    2        2
603268.SH               9~9    9.0    1        1
600522.SH               6~8    7.0    2        2
300480.SZ             12~12   12.0    1        1
002685.SZ              6~12    9.0    2        2
002281.SZ              5~11    8.7    6        6
688353.SH              8~18   11.8    4        4
600546.SH              7~13   10.0    2        2
002202.SZ               5~9    6.7    6        6
002115.SZ               7~7    7.0    1        1
300489.SZ             13~23   18.0    2        2
603196.SH               8~8    8.0    1        1
301500.SZ              9~19   14.0    4        4
688668.SH              7~13   10.0    2        2
002745.SZ               6~9    7.5    2        2
002132.SZ               5~9    7.2    5        5
300442.SZ             11~11   11.0    1        1
601872.SH              6~11    8.5    2        2
603248.SH              5~13    9.8    5        5
002979.SZ               7~7    7.0    1        1
688110.SH              6~21   10.6    5        5
605196.SH               7~7    7.0    1        1
000420.SZ              6~10    7.7    3        3
300249.SZ             13~13   13.0    1        1
920045.BJ             13~18   15.5    2        2
600961.SH              7~11    8.6    5        5
688205.SH              8~15   11.8    4        4
603067.SH              8~11    9.5    6        6
600026.SH              7~11    9.0    2        2
000681.SZ             12~12   12.0    1        1
600884.SH               8~9    8.5    2        2
603308.SH              8~11    9.5    2        2
000967.SZ              9~11   10.0    2        2
000426.SZ              8~11    9.5    2        2
300715.SZ              7~23   13.3    3        3
688362.SH               6~6    6.0    1        1
601233.SH               7~7    7.0    1        1
300672.SZ              5~16   10.2    8        8
301216.SZ              7~17   10.3    3        3
000036.SZ               7~7    7.0    1        1
002810.SZ              7~12    9.2    4        4
300483.SZ              6~23   11.5    4        4
000506.SZ              7~13   10.7    3        3
002023.SZ               7~9    7.7    3        3
300657.SZ               8~8    8.0    1        1
300624.SZ              6~14    9.3    3        3
688365.SH             15~15   15.0    1        1
000066.SZ              8~12   10.0    5        5
300179.SZ              6~22   10.5    4        4
605060.SH              6~11    9.3    3        3
000815.SZ              5~13    8.5    4        4
688400.SH               7~7    7.0    1        1
301323.SZ              6~15   10.2    4        4
300814.SZ              6~11    7.8    5        5
002025.SZ              6~13    8.8    4        4
600188.SH              9~12   10.5    2        2
300041.SZ               7~8    7.5    2        2
301055.SZ             20~20   20.0    1        1
000880.SZ             10~10   10.0    1        1
