代码             信号日          入场日             评分     信号涨幅     次日开仓      +1日      +5日     +10日     +20日
--------------------------------------------------------------------------------------------------------------
300489.SZ      20260410     20260413        63  +10.37%    67.67    -0.75%   +12.31%   +45.71%   +83.06%
002979.SZ      20260617     20260618        57   +5.68%    55.77    -4.20%    -7.39%    -7.39%    -7.39%
601869.SH      20260325     20260326        66  +10.00%   258.44    +6.12%   +28.65%   +48.73%   +42.45%
601869.SH      20260623     20260624        54  +10.00%   558.20    +3.01%    -2.72%    -2.72%    -2.72%
600961.SH      20260225     20260226        56   +5.18%    22.62    +5.44%    -0.04%    -6.32%   -26.75%
600961.SH      20260227     20260302        59   +7.63%    24.96    -6.21%   -11.34%   -22.76%   -30.21%
600961.SH      20260302     20260303        55   +9.06%    25.00    -7.28%   -10.84%   -22.68%   -30.44%
600961.SH      20260623     20260624        47   +4.42%    32.45    +7.86%    +5.67%    +5.67%    +5.67%
600961.SH      20260624     20260625        56   +7.89%    34.25    +0.12%    +0.12%    +0.12%    +0.12%
688205.SH      20260302     20260303        61  +13.28%   192.00    -6.30%    -5.73%   -15.65%    -4.17%
688205.SH      20260310     20260311        61  +13.89%   182.74    +1.57%    -4.86%    +5.82%   +32.98%
300715.SZ      20260520     20260521        61  +15.42%    19.53    +4.15%   +11.62%   +38.50%    -4.76%
300715.SZ      20260521     20260522        61   +6.55%    20.76    +5.15%    +2.94%   +22.83%    -6.45%
688362.SH      20260526     20260527        71  +11.87%    70.90    +4.53%   -13.99%   -17.84%    +8.76%
300672.SZ      20260209     20260210        59   +9.39%   146.51    -5.39%    -1.03%    -5.02%   +35.28%
300672.SZ      20260226     20260227        49   +6.35%   152.00    +3.88%    -7.77%    +5.78%   +11.84%
000066.SZ      20260507     20260508        65  +10.00%    23.78    -1.60%   -13.79%   -11.98%   -28.30%
605060.SH      20260210     20260211        60  +10.01%    58.30    +4.97%   +25.21%    +1.58%    -5.06%
000815.SZ      20260324     20260325        57   +5.98%    20.81    -3.32%    -0.53%    -3.46%    -2.11%
688400.SH      20260506     20260507        65   +4.84%    62.19    +7.01%    +4.21%    +2.54%   -11.53%
301323.SZ      20260420     20260421        51   +4.54%    67.50    +2.92%    -2.13%    +7.91%   +23.11%
301323.SZ      20260615     20260616        65   +4.84%   104.05    -0.93%   -14.47%   -16.00%   -16.00%
300814.SZ      20260302     20260303        52  +10.11%   108.50    +0.09%    -1.84%   -19.53%   -25.96%
301055.SZ      20260413     20260414        62  +17.00%    30.33    +8.80%   +15.40%    -2.97%   +20.57%
002851.SZ      20260226     20260227        51   +6.11%   127.39    +3.82%    +0.76%    -7.65%   -20.52%
002851.SZ      20260302     20260303        51   +6.11%   131.81    -2.36%    -1.93%   -18.25%   -26.26%
002851.SZ      20260603     20260604        50   +6.78%   153.33    -4.45%    -9.08%   +17.07%    +4.85%
002851.SZ      20260617     20260618        52   +9.33%   176.75    +6.81%    -9.05%    -9.05%    -9.05%
600578.SH      20260518     20260519        56   +9.99%     7.71    -3.50%   +18.94%   +10.12%    +5.84%
600578.SH      20260519     20260520        68   +7.26%     8.02    +2.00%   +20.95%   +16.46%    +0.00%
688598.SH      20260611     20260612        56   +5.75%    35.20   +11.85%   +76.25%   +44.12%   +44.12%
688598.SH      20260615     20260616        65  +16.14%    39.92   +24.72%   +42.33%   +27.08%   +27.08%
600460.SH      20260622     20260623        50   +7.10%    45.20   +10.64%   +11.46%   +11.46%   +11.46%
688170.SH      20260615     20260616        79  +20.00%    80.02    +7.21%    +1.97%    +9.99%    +9.99%
300488.SZ      20260608     20260609        51   +6.11%    36.36    +2.09%   +21.84%    +8.42%    +9.52%
300488.SZ      20260609     20260610        50   +4.88%    37.46    +2.83%   +28.11%    +5.21%    +6.30%
300488.SZ      20260617     20260618        54   +8.33%    44.53    -8.31%   -10.58%   -10.58%   -10.58%
688001.SH      20260417     20260420        61   +8.96%    44.48    -0.76%   +36.38%   +27.83%   +50.11%
688001.SH      20260616     20260617        73  +14.03%    68.02   +19.21%   +36.05%   +28.87%   +28.87%
