代码             信号日          入场日             评分     信号涨幅     次日开仓      +1日      +5日     +10日     +20日
--------------------------------------------------------------------------------------------------------------
  -----------------------------------------------------------------
  20260210      趋势确认    60  +10.01%  +1.58%  -5.06%   89.5  1.32

============================================================
  000815.SZ  |  评分区间 57~57  |  均值 57.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260324      趋势确认    57   +5.98%  -3.46%  -2.11%   75.3  1.63

============================================================
  688400.SH  |  评分区间 65~65  |  均值 65.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260506      趋势确认    65   +4.84%  +2.54% -11.53%   86.7  1.99

============================================================
  301323.SZ  |  评分区间 51~65  |  均值 58.0  |  严苛信号 2次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260420      趋势确认    51   +4.54%  +7.91% +23.11%   76.2  1.31
  20260615      趋势确认    65   +4.84% -16.00% -16.00%   83.9  2.48
  → +1日 均值= +0.99% 胜率= 50.0% 最大= +2.92% 最小= -0.93%
  → +5日 均值= -8.30% 胜率=  0.0% 最大= -2.13% 最小=-14.47%
  → +10日 均值= -4.04% 胜率= 50.0% 最大= +7.91% 最小=-16.00%
  → +20日 均值= +3.55% 胜率= 50.0% 最大=+23.11% 最小=-16.00%

============================================================
  300814.SZ  |  评分区间 52~52  |  均值 52.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260302      趋势确认    52  +10.11% -19.53% -25.96%   91.4  1.34

============================================================
  301055.SZ  |  评分区间 62~62  |  均值 62.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260413      趋势确认    62  +17.00%  -2.97% +20.57%   96.0  2.73

============================================================
  002851.SZ  |  评分区间 50~52  |  均值 51.0  |  严苛信号 4次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260226      趋势确认    51   +6.11%  -7.65% -20.52%   65.3  1.31
  20260302      趋势确认    51   +6.11% -18.25% -26.26%   74.4  1.61
  20260603      趋势确认    50   +6.78% +17.07%  +4.85%   78.4  2.07
  20260617      趋势确认    52   +9.33%  -9.05%  -9.05%   74.9  1.95
  → +1日 均值= +0.95% 胜率= 50.0% 最大= +6.81% 最小= -4.45%
  → +5日 均值= -4.83% 胜率= 25.0% 最大= +0.76% 最小= -9.08%
  → +10日 均值= -4.47% 胜率= 25.0% 最大=+17.07% 最小=-18.25%
  → +20日 均值=-12.75% 胜率= 25.0% 最大= +4.85% 最小=-26.26%

============================================================
  600578.SH  |  评分区间 56~68  |  均值 62.0  |  严苛信号 2次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260518      趋势确认    56   +9.99% +10.12%  +5.84%   95.7  1.36
  20260519      趋势确认    68   +7.26% +16.46%  +0.00%   96.7  2.41
  → +1日 均值= -0.75% 胜率= 50.0% 最大= +2.00% 最小= -3.50%
  → +5日 均值=+19.95% 胜率=100.0% 最大=+20.95% 最小=+18.94%
  → +10日 均值=+13.29% 胜率=100.0% 最大=+16.46% 最小=+10.12%
  → +20日 均值= +2.92% 胜率= 50.0% 最大= +5.84% 最小= +0.00%

============================================================
  688598.SH  |  评分区间 56~65  |  均值 60.5  |  严苛信号 2次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260611      趋势确认    56   +5.75% +44.12% +44.12%   61.2  1.44
  20260615      趋势确认    65  +16.14% +27.08% +27.08%   75.9  1.51
  → +1日 均值=+18.29% 胜率=100.0% 最大=+24.72% 最小=+11.85%
  → +5日 均值=+59.29% 胜率=100.0% 最大=+76.25% 最小=+42.33%
  → +10日 均值=+35.60% 胜率=100.0% 最大=+44.12% 最小=+27.08%
  → +20日 均值=+35.60% 胜率=100.0% 最大=+44.12% 最小=+27.08%

============================================================
  600460.SH  |  评分区间 50~50  |  均值 50.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260622      趋势确认    50   +7.10% +11.46% +11.46%   84.2  1.32

============================================================
  688170.SH  |  评分区间 79~79  |  均值 79.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260615      趋势确认    79  +20.00%  +9.99%  +9.99%   61.1  1.66

============================================================
  300488.SZ  |  评分区间 50~54  |  均值 51.7  |  严苛信号 3次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260608      趋势确认    51   +6.11%  +8.42%  +9.52%   71.4  2.73
  20260609      趋势确认    50   +4.88%  +5.21%  +6.30%   78.0  2.12
  20260617      趋势确认    54   +8.33% -10.58% -10.58%   88.8  1.39
  → +1日 均值= -1.13% 胜率= 66.7% 最大= +2.83% 最小= -8.31%
  → +5日 均值=+13.12% 胜率= 66.7% 最大=+28.11% 最小=-10.58%
  → +10日 均值= +1.02% 胜率= 66.7% 最大= +8.42% 最小=-10.58%
  → +20日 均值= +1.75% 胜率= 66.7% 最大= +9.52% 最小=-10.58%

============================================================
  688001.SH  |  评分区间 57~73  |  均值 63.5  |  严苛信号 4次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260417      趋势确认    61   +8.96% +27.83% +50.11%   77.4  1.54
  20260616      趋势确认    73  +14.03% +28.87% +28.87%   63.2  1.71
  20260617      趋势确认    63   +4.32% +20.91% +20.91%   68.3  1.46
  20260618      趋势确认    57  +10.04%  +8.22%  +8.22%   77.4  1.48
  → +1日 均值= +7.33% 胜率= 75.0% 最大=+19.21% 最小= -0.76%
  → +5日 均值=+25.39% 胜率=100.0% 最大=+36.38% 最小= +8.22%
  → +10日 均值=+21.46% 胜率=100.0% 最大=+28.87% 最小= +8.22%
  → +20日 均值=+27.03% 胜率=100.0% 最大=+50.11% 最小= +8.22%

============================================================
  000593.SZ  |  评分区间 62~62  |  均值 62.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260227      趋势确认    62   +9.99%  -7.32%  -0.38%   61.5  1.38

============================================================
  300769.SZ  |  评分区间 75~75  |  均值 75.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260430      趋势确认    75  +12.92%  +2.02% -11.42%   97.9  2.64

============================================================
  688387.SH  |  评分区间 47~47  |  均值 47.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260506      趋势确认    47   +4.09% -11.09% -21.84%   86.2  1.31

============================================================
  002409.SZ  |  评分区间 65~65  |  均值 65.0  |  严苛信号 2次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260610      趋势确认    65  +10.00% +49.42% +49.42%   64.3  1.37
  20260611      趋势确认    65  +10.00% +34.70% +34.70%   74.4  2.19
  → +1日 均值= +2.26% 胜率= 50.0% 最大= +5.36% 最小= -0.84%
  → +5日 均值=+18.48% 胜率=100.0% 最大=+18.97% 最小=+17.98%
  → +10日 均值=+42.06% 胜率=100.0% 最大=+49.42% 最小=+34.70%
  → +20日 均值=+42.06% 胜率=100.0% 最大=+49.42% 最小=+34.70%

============================================================
  600345.SH  |  评分区间 69~69  |  均值 69.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260508      趋势确认    69   +9.99% -13.21% -11.00%   73.3  1.31

============================================================
  000070.SZ  |  评分区间 63~69  |  均值 66.0  |  严苛信号 2次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260212      趋势确认    69   +9.98% -13.32% -28.42%   94.7  1.30
  20260508      趋势确认    63   +4.77% -17.18% -16.55%   64.9  1.87
  → +1日 均值= -3.40% 胜率=  0.0% 最大= -2.58% 最小= -4.21%
  → +5日 均值= -4.21% 胜率= 50.0% 最大= +3.47% 最小=-11.89%
  → +10日 均值=-15.25% 胜率=  0.0% 最大=-13.32% 最小=-17.18%
  → +20日 均值=-22.48% 胜率=  0.0% 最大=-16.55% 最小=-28.42%

============================================================
  002805.SZ  |  评分区间 56~56  |  均值 56.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260506      趋势确认    56  +10.02%  -9.03% -18.61%   95.2  3.57

============================================================
  688126.SH  |  评分区间 52~52  |  均值 52.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260512      趋势确认    52   +4.42% +13.55% +32.08%   90.0  1.60

============================================================
  601958.SH  |  评分区间 62~62  |  均值 62.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260211      趋势确认    62   +7.08% +16.49% -10.24%   64.4  1.52

============================================================
  688331.SH  |  评分区间 54~61  |  均值 57.5  |  严苛信号 2次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260210      趋势确认    54   +5.23% -13.08% +13.86%   69.4  1.31
  20260401      趋势确认    61  +11.83%  +5.95%  -9.87%   84.3  1.71
  → +1日 均值= +1.22% 胜率= 50.0% 最大= +5.24% 最小= -2.80%
  → +5日 均值= -5.93% 胜率=  0.0% 最大= -4.38% 最小= -7.48%
  → +10日 均值= -3.56% 胜率= 50.0% 最大= +5.95% 最小=-13.08%
  → +20日 均值= +2.00% 胜率= 50.0% 最大=+13.86% 最小= -9.87%

============================================================
  603888.SH  |  评分区间 67~67  |  均值 67.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260210      趋势确认    67  +10.02% -20.75% -22.56%   72.5  2.17

============================================================
  000767.SZ  |  评分区间 61~61  |  均值 61.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260327      趋势确认    61   +9.94% -24.14% -21.33%   90.7  2.04

============================================================
  300593.SZ  |  评分区间 51~51  |  均值 51.0  |  严苛信号 1次
============================================================
  信号日             方式    评分     信号涨幅    +10日    +20日   RSI6    量比
  -----------------------------------------------------------------
  20260616      趋势确认    51   +8.46% -20.96% -20.96%   65.8  1.32

================================================================================
报告生成时间: 2026-06-27 21:44:36
================================================================================
