================================================================================
严苛版中线买点 回测报告（评分≥85分 + 6项过滤 + 回踩入场）
回测时间: 2026-06-27 22:20
入场方式: 信号后等待回踩MA10/MA20确认
过滤条件: 评分≥85 + 6项(量比0.5~2.5+趋势连续+MACD零轴张口+RSI60~85)
================================================================================

总计扫描: 191 只股票
累计交易日: 22906 天
严苛信号数: 635 个

────────────────────────────────────────────────────────────────────────────────
一、各股票评分统计
--------------------------------------------------------------------------------
代码                     评分范围     均值   S级     严苛信号
002409.SZ             11~12   11.5    2        2
000636.SZ               7~7    7.0    2        2
300093.SZ             15~15   15.0    1        1
605006.SH               7~7    7.0    1        1
600345.SH              7~11    9.5    4        4
000070.SZ              6~12    8.8    6        6
002805.SZ             12~14   13.0    2        2
688052.SH             11~11   11.0    1        1
688126.SH               6~7    6.5    2        2
002519.SZ              6~12    8.5    4        4
300825.SZ              7~14   10.5    2        2
688187.SH             16~16   16.0    1        1
600089.SH               6~8    7.0    2        2
600736.SH             11~15   13.0    2        2
601958.SH              6~14    9.7   10       10
002041.SZ               6~9    7.5    2        2
688331.SH              6~16    9.7    9        9
600115.SH               6~8    7.0    2        2
300467.SZ              8~24   13.3    3        3
603888.SH              9~12   10.5    2        2
002077.SZ             14~14   14.0    1        1
603077.SH              6~12    9.2    6        6
600550.SH             10~10   10.0    1        1
002708.SZ              9~12   10.0    4        4
688131.SH               6~6    6.0    1        1
688097.SH              5~14   10.3    3        3
688710.SH              7~18   11.0    3        3
600246.SH              8~12   10.0    2        2
000767.SZ              7~12    9.8    5        5
000547.SZ               7~8    7.5    2        2
688180.SH               7~9    8.0    2        2
300045.SZ               9~9    9.0    1        1
300593.SZ              7~10    8.5    2        2

────────────────────────────────────────────────────────────────────────────────
二、严苛信号汇总
--------------------------------------------------------------------------------
代码             信号日          入场日             评分     信号涨幅     次日开仓      +1日      +5日     +10日     +20日
--------------------------------------------------------------------------------------------------------------
688002.SH      20260408     20260409        10   +8.48%   109.65   +10.53%   +14.55%   +21.71%   +31.42%
688002.SH      20260409     20260410         9   +6.98%   117.54    +1.32%   +10.35%   +12.94%   +24.65%
688002.SH      20260410     20260413         6   +4.47%   120.00    +0.32%    +9.42%   +15.00%   +16.66%
603629.SH      20260409     20260410         7   +5.99%    74.00    -1.78%   +42.49%   +47.86%  +133.39%
603629.SH      20260416     20260417        10   +8.98%    96.61   +11.04%   +13.26%   +64.42%   +87.80%
603629.SH      20260430     20260506        12   +9.99%   149.95    +5.56%   +15.18%   +20.99%   +38.63%
300054.SZ      20260327     20260330        21  +17.33%    52.27    -5.68%    -5.30%    +1.49%   +13.26%
300054.SZ      20260422     20260423         6   +4.34%    55.52    +2.67%   +12.32%   +16.88%   +43.28%
300054.SZ      20260611     20260612         8   +6.25%    85.00    +0.67%    +7.53%   +11.85%   +11.85%
300054.SZ      20260612     20260615         7   +4.65%    82.00    +3.05%   +11.34%   +15.94%   +15.94%
300054.SZ      20260615     20260616        10   +8.33%    84.99    +7.22%   +13.78%   +11.86%   +11.86%
002297.SZ      20260213     20260224         6   +4.44%    13.12    +3.89%    -7.85%    -1.68%   -19.51%
002297.SZ      20260226     20260227         5   +4.11%    14.00    -4.07%   -11.86%   -15.79%   -22.86%
002297.SZ      20260416     20260417        19   +9.99%    17.01   +14.40%   +31.10%   +41.15%   +38.51%
002297.SZ      20260417     20260420        13  +10.01%    18.73    +1.39%    +9.61%   +32.14%   +31.93%
002297.SZ      20260420     20260421        12  +10.01%    20.69    -1.93%    +9.13%   +24.26%   +28.47%
002297.SZ      20260422     20260423         9   +6.85%    20.54    +8.57%   +19.28%   +17.33%   +28.14%
002297.SZ      20260423     20260424        11   +9.61%    21.57    -4.82%   +11.31%   +21.23%    +9.83%
002297.SZ      20260623     20260624         7   +5.19%    31.70    +4.45%    -2.56%    -2.56%    -2.56%
300390.SZ      20260410     20260413        12  +10.16%    69.36   +16.85%   +24.87%   +35.86%   +39.16%
300390.SZ      20260413     20260414        19  +17.42%    76.63    +0.39%   +11.98%   +21.35%   +22.21%
300390.SZ      20260611     20260612         9   +7.34%    91.03    +6.69%    +0.85%    -5.32%    -5.32%
300390.SZ      20260624     20260625        14  +12.78%    98.64   -12.62%   -12.62%   -12.62%   -12.62%
600601.SH      20260612     20260615        12   +9.98%    12.90    +9.30%    +4.11%    +0.78%    +0.78%
600601.SH      20260615     20260616         6   +4.34%    13.45    +6.69%    -1.19%    -3.35%    -3.35%
600601.SH      20260616     20260617         6   +4.83%    13.82    +4.20%    +2.46%    -5.93%    -5.93%
603826.SH      20260225     20260226        11  +10.00%    21.10    -2.04%    +4.36%   +20.81%   +19.67%
603826.SH      20260304     20260305         8   +6.74%    21.66   +10.34%   +17.68%   +10.80%   +25.12%
603826.SH      20260306     20260309        10   +8.54%    23.89    +0.38%    +1.13%    -3.47%   +10.46%
688629.SH      20260213     20260224        11   +9.27%   115.54    -5.18%    +1.21%    +0.49%    -4.88%
688629.SH      20260226     20260227        16  +14.66%   126.00    +1.97%    -6.86%   -15.44%   -13.42%
688629.SH      20260403     20260407         9   +7.82%   117.98    +7.29%    +8.07%   +17.39%   +15.73%
688629.SH      20260519     20260520        13  +11.71%   145.99    -8.17%    -1.01%    -6.95%    +7.58%
300395.SZ      20260226     20260227         7   +5.21%   127.43    +1.62%   -13.45%   -10.62%   -26.08%
300395.SZ      20260316     20260317         6   +4.17%   124.50   -12.21%   -23.73%   -26.59%   -14.14%
300395.SZ      20260413     20260414         9   +7.67%   108.60    -1.57%    +3.50%    -1.39%   +23.23%
300395.SZ      20260507     20260508        13  +10.83%   124.68    +5.43%    +7.34%   +12.41%    -4.37%
300497.SZ      20260326     20260327         9   +6.59%    18.01    +7.83%    -1.55%    +5.39%    +9.61%
300497.SZ      20260427     20260428        10   +7.93%    19.50    +1.69%    -5.74%   -13.18%   -21.54%
300497.SZ      20260615     20260616        13  +10.27%    17.67    +3.11%   +25.35%   +16.92%   +16.92%
300497.SZ      20260617     20260618         6   +4.17%    18.22   +13.39%   +13.39%   +13.39%   +13.39%
300497.SZ      20260618     20260622         9   +6.92%    20.10   +11.24%    +2.79%    +2.79%    +2.79%
300497.SZ      20260622     20260623         9   +6.06%    20.90    +5.98%    -1.15%    -1.15%    -1.15%
300497.SZ      20260623     20260624        10   +8.23%    22.80    -1.32%    -9.39%    -9.39%    -9.39%
001389.SZ      20260225     20260226         7   +4.81%   112.07    +6.84%    -5.10%    +6.99%    +2.55%
001389.SZ      20260326     20260327        10   +7.95%   112.58    +4.24%    +3.84%   +17.25%   +52.96%
001389.SZ      20260413     20260414         5   +4.09%   133.20    -4.01%   +18.84%   +23.96%   +35.65%
001389.SZ      20260423     20260424         8   +6.22%   171.83    +0.22%    +4.51%   +13.36%    +5.97%
001389.SZ      20260617     20260618         7   +5.57%   205.80    -6.66%    +7.33%    +7.33%    +7.33%
301526.SZ      20260413     20260414        18  +16.04%    14.10    +1.13%    -0.50%   +12.91%   +32.70%
301526.SZ      20260423     20260424         9   +7.15%    14.59    +5.76%   +30.02%   +39.27%   +47.91%
002439.SZ      20260506     20260507         7   +4.74%    16.25    +2.34%    -0.74%    -7.26%   -14.65%
920493.BJ      20260212     20260213        18  +14.07%   183.13    -7.83%    -9.79%    -2.89%   -19.89%
920493.BJ      20260309     20260310        10   +7.57%   180.00    -5.00%   -12.83%   -17.11%   -16.14%
920493.BJ      20260416     20260417        11   +8.35%   160.30    +5.45%    +3.03%    +1.58%    -5.04%
920493.BJ      20260417     20260420        11   +8.53%   180.00    -9.72%   -16.46%    -6.00%   -18.42%
688308.SH      20260330     20260331        23  +19.40%    89.57    -4.25%    +1.48%    +8.88%    +4.80%
688308.SH      20260414     20260415         7   +5.21%   100.00    +4.00%    -0.88%    -6.13%   +13.08%
688308.SH      20260512     20260513        11   +9.78%   104.34    +3.80%    +6.19%   +39.16%   +33.24%
688308.SH      20260522     20260525        17  +15.79%   136.99    +2.11%    -1.37%    +7.75%   +31.60%
688796.SH      20260306     20260309        11   +9.05%    75.51    +9.76%    +8.94%    -1.47%   +47.27%
688796.SH      20260310     20260311         9   +7.64%    83.73    -6.97%    -0.74%    +1.30%   +23.38%
688796.SH      20260327     20260330        14  +12.68%    91.00    +2.22%   +22.20%   +12.20%    +5.71%
688796.SH      20260402     20260403         6   +4.55%   103.88    +7.05%    -4.12%    -5.76%    -5.59%
688796.SH      20260512     20260513         8   +6.19%   101.79    -5.36%    +1.64%   +10.56%   -10.14%
688796.SH      20260624     20260625         9   +6.86%    97.51    -5.52%    -5.52%    -5.52%    -5.52%
