================================================================================
严苛版中线买点 回测报告（评分≥85分 + 6项过滤 + 回踩入场）
回测时间: 2026-06-27 23:11
入场方式: 信号后等待回踩MA10/MA20确认
过滤条件: 评分≥85 + 6项(量比0.5~2.5+趋势连续+MACD零轴张口+RSI60~85)
================================================================================

总计扫描: 289 只股票
累计交易日: 34676 天
严苛信号数: 532 个

────────────────────────────────────────────────────────────────────────────────
一、各股票评分统计
--------------------------------------------------------------------------------
代码                     评分范围     均值   S级     严苛信号
--------------------------------------------------------------------------------
002709.SZ             10~10   10.0    1        1
688002.SH               6~6    6.0    1        1
688519.SH             15~15   15.0    1        1
688498.SH              8~13   10.5    2        2
300503.SZ               6~8    7.0    5        5
688525.SH             12~12   12.0    1        1
002407.SZ              6~12    8.7    3        3
301358.SZ             14~14   14.0    1        1
300857.SZ             14~18   16.0    2        2
688127.SH               8~8    8.0    1        1
300390.SZ             12~12   12.0    1        1
300475.SZ              7~10    8.5    2        2
600601.SH               6~6    6.0    2        2
300223.SZ              9~10    9.7    3        3
603826.SH              8~10    9.0    2        2
688629.SH              9~13   11.0    3        3
300395.SZ              6~13    9.5    2        2
300497.SZ              9~10    9.5    2        2
605289.SH             12~12   12.0    1        1
001389.SZ               5~5    5.0    1        1
300033.SZ               9~9    9.0    1        1
300620.SZ              8~20   14.0    2        2
301662.SZ              7~15   11.5    4        4
920493.BJ             10~18   13.0    3        3
688796.SH              9~11   10.0    2        2
688603.SH              7~15   11.2    4        4
000792.SZ               8~8    8.0    1        1
002326.SZ             12~12   12.0    1        1
301308.SZ              6~10    8.5    4        4
688012.SH             11~11   11.0    1        1
688630.SH              7~10    8.7    3        3
688183.SH              9~22   14.7    3        3
300975.SZ              7~12    9.0    4        4
688787.SH             16~16   16.0    1        1
300398.SZ               9~9    9.0    1        1
002812.SZ              6~12    8.3    3        3
300184.SZ              7~10    8.5    2        2
300821.SZ              7~11    8.2    5        5
688503.SH              8~23   15.5    2        2
688692.SH              9~14   11.5    2        2
002545.SZ              8~12   10.0    2        2
003022.SZ               9~9    9.0    1        1
688700.SH             10~10   10.0    1        1
002645.SZ               8~8    8.0    1        1
688809.SH              7~20   11.8    4        4
688155.SH              9~22   15.5    2        2
600378.SH               7~8    7.5    2        2
603929.SH             12~13   12.5    2        2
300738.SZ              7~13    9.7    3        3
002975.SZ             13~13   13.0    1        1
300263.SZ             12~23   17.5    2        2
300842.SZ               6~7    6.5    2        2
002028.SZ               9~9    9.0    1        1
300590.SZ               6~6    6.0    1        1
002008.SZ             12~12   12.0    1        1
002256.SZ               9~9    9.0    1        1
