================================================================================
严苛版中线买点 回测报告（评分≥85分 + 6项过滤 + 回踩入场）
回测时间: 2026-06-27 21:18
入场方式: 信号后等待回踩MA10/MA20确认
过滤条件: 评分≥85 + 6项(量比0.5~2.5+趋势连续+MACD零轴张口+RSI60~85)
================================================================================

总计扫描: 182 只股票
累计交易日: 21829 天
严苛信号数: 452 个

────────────────────────────────────────────────────────────────────────────────
一、各股票评分统计
--------------------------------------------------------------------------------
代码                     评分范围     均值   S级     严苛信号
--------------------------------------------------------------------------------
603629.SH            48~165   98.0    3        3
002297.SZ            74~130   96.5    6        6
600150.SH             35~45   40.0    2        2
300390.SZ             40~97   64.8    4        4
600601.SH             37~37   37.0    1        1
603826.SH             40~60   47.0    3        3
688629.SH             42~58   50.3    3        3
300395.SZ             42~63   53.8    4        4
300497.SZ             37~57   45.2    5        5
001389.SZ             39~78   53.0    3        3
301526.SZ             55~63   59.0    2        2
002439.SZ             37~37   37.0    1        1
920493.BJ             38~63   50.5    2        2
688308.SH            43~120   71.5    4        4
688796.SH             40~55   47.7    3        3
688603.SH            47~120   77.3    6        6
688787.SH             41~41   41.0    1        1
002812.SZ             31~31   31.0    1        1
300184.SZ             35~57   46.0    2        2
603699.SH             44~44   44.0    1        1
002386.SZ             39~39   39.0    1        1
002384.SZ             37~79   58.2    4        4
002545.SZ             59~59   59.0    1        1
688700.SH             54~57   55.5    2        2
300738.SZ             39~51   43.3    3        3
600770.SH             46~58   52.0    2        2
688008.SH             41~75   56.3    3        3
002256.SZ             47~55   51.7    3        3
001339.SZ             51~56   53.5    2        2
000657.SZ             42~58   50.0    3        3
688378.SH             46~56   51.3    3        3
300806.SZ             35~77   55.2    6        6
600186.SH             38~54   44.5    4        4
300548.SZ             40~67   50.0    5        5
002354.SZ             43~76   60.3    3        3
600487.SH             58~72   63.3    3        3
688017.SH            62~121   99.3    3        3
002192.SZ             41~67   57.2    5        5
688428.SH             34~43   37.7    3        3
300861.SZ             35~61   49.7    3        3
301099.SZ             53~57   55.0    2        2
688758.SH             41~41   41.0    1        1
603268.SH             38~38   38.0    1        1
002049.SZ             31~31   31.0    1        1
600522.SH             36~66   49.6    5        5
301571.SZ             32~32   32.0    1        1
300480.SZ             37~46   41.5    2        2
002685.SZ             39~57   48.0    2        2
002281.SZ             39~61   51.2    4        4
688353.SH             37~55   47.2    5        5
600546.SH             44~44   44.0    1        1
002115.SZ             35~35   35.0    1        1
300489.SZ            73~104   85.3    3        3
603196.SH             43~43   43.0    1        1
301500.SZ             35~86   57.0    3        3
002132.SZ             36~43   39.5    2        2
300442.SZ           124~124  124.0    1        1
601872.SH             72~72   72.0    1        1
603248.SH             36~64   47.5    4        4
002979.SZ             33~35   34.0    2        2
688110.SH             40~53   44.8    4        4
601869.SH             68~70   69.0    2        2
000420.SZ             35~38   36.5    2        2
002466.SZ             33~52   41.7    3        3
300249.SZ             43~46   44.5    2        2
920045.BJ             37~50   44.0    3        3
600961.SH            37~103   61.3    6        6
688205.SH             50~54   52.0    2        2
603067.SH             35~48   41.0    5        5
600869.SH             41~54   47.5    2        2
000681.SZ             53~53   53.0    1        1
600884.SH             39~44   41.5    2        2
002759.SZ             40~40   40.0    1        1
603308.SH             56~56   56.0    1        1
000967.SZ             37~80   58.0    3        3
000426.SZ             33~53   42.7    3        3
300715.SZ             67~71   69.3    3        3
688362.SH             32~89   62.0    4        4
601233.SH             49~50   49.5    2        2
300672.SZ            48~123   68.8    6        6
301216.SZ             34~45   39.5    2        2
688343.SH             34~63   48.5    2        2
000036.SZ             43~46   44.5    2        2
002810.SZ             42~47   44.5    2        2
300483.SZ             59~85   72.0    2        2
000506.SZ             36~75   55.5    2        2
002023.SZ             37~38   37.5    2        2
300657.SZ             36~57   46.5    2        2
688266.SH             42~42   42.0    1        1
300624.SZ             57~60   58.5    2        2
688365.SH             49~49   49.0    1        1
000066.SZ             34~89   59.2    5        5
301565.SZ             58~58   58.0    1        1
002716.SZ           132~132  132.0    1        1
605060.SH             42~75   58.5    2        2
000815.SZ             66~66   66.0    2        2
688400.SH             42~80   64.7    3        3
301323.SZ             37~79   55.0    7        7
300814.SZ             40~67   50.5    4        4
688383.SH             45~76   57.3    3        3
600188.SH             40~52   47.0    3        3
300041.SZ             37~37   37.0    1        1
301055.SZ             48~86   62.5    4        4
