### EXPERIMENTS
=== L1_分歧定义候选  (28 rows)
               def              param     N  t3_med  t3_mean  t3_win  t3_pf   t3_ex  t3_exT   t3_cT  t5_med  t5_mean  t5_win  t5_pf   t5_ex  t5_exT   t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
  D4b_低点/首板前收<=-3%   D4b_低点/首板前收<=-3%  3064 -10.492  -10.900     2.3  0.006 -10.351     NaN -115.07 -13.062  -13.530     2.3  0.008 -12.289     NaN -123.66  -13.084   -12.463      8.5   0.059 -11.733      NaN  -72.33
  D4a_低点/首板收盘<=-5%   D4a_低点/首板收盘<=-5% 15871  -4.572   -4.435    17.8  0.169  -4.430     NaN -121.38  -5.789   -5.484    16.7  0.170  -5.017     NaN -110.17   -6.416    -5.334     23.1   0.295  -5.065      NaN  -76.08
  D4b_低点/首板前收<=-5%   D4b_低点/首板前收<=-5%  2040 -11.851  -12.200     1.8  0.003 -11.710     NaN -103.92 -14.748  -15.221     1.5  0.006 -13.975     NaN -116.30  -14.587   -14.041      6.7   0.042 -13.236      NaN  -66.74
  D4a_低点/首板收盘<=-8%   D4a_低点/首板收盘<=-8%  9168  -6.942   -6.987     9.5  0.062  -6.800     NaN -128.44  -8.796   -8.661     8.5  0.063  -8.024     NaN -123.99   -9.377    -8.316     15.9   0.157  -8.026      NaN  -82.16
  D4b_低点/首板前收<=-8%   D4b_低点/首板前收<=-8%  1020 -14.089  -14.227     0.9  0.001 -13.947     NaN  -84.45 -17.639  -18.037     0.8  0.001 -16.867     NaN -104.94  -17.575   -17.133      4.0   0.019 -16.224      NaN  -61.19

=== L2_卖压衰减曲线  (112 rows)
             def    param     N  t3_med  t3_mean  t3_win  t3_pf  t3_ex  t3_exT  t3_cT  t5_med  t5_mean  t5_win  t5_pf  t5_ex  t5_exT  t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
     V1_vr20_kd2 -inf~0.6   148  -2.478    4.586    35.1  2.253 -2.336     NaN   2.08  -1.116    7.969    46.6  2.898 -0.343     NaN   3.25    1.846     9.139     52.4   2.985   3.196      NaN    3.28
     V1_vr20_kd2  0.6~0.7   184  -2.861   -0.625    28.8  0.818 -2.720     NaN  -3.15  -3.114   -0.338    37.5  0.923 -2.341     NaN  -1.72   -3.378     0.119     40.8   1.021  -2.027      NaN   -1.07
     V1_vr20_kd2  0.7~0.8   347  -3.513   -2.665    23.3  0.389 -3.371     NaN  -8.13  -3.645   -2.373    33.8  0.530 -2.873     NaN  -6.19   -2.470    -1.267     39.6   0.782  -1.119      NaN   -2.97
     V1_vr20_kd2  0.8~0.9   591  -3.024   -2.790    27.6  0.325 -2.882     NaN -15.55  -3.462   -2.816    30.8  0.424 -2.690     NaN -10.99   -3.455    -2.591     37.2   0.574  -2.104      NaN   -8.06
     V1_vr20_kd2  0.9~1.0   877  -2.852   -2.132    28.6  0.439 -2.711     NaN -14.00  -2.722   -1.896    33.7  0.581 -1.949     NaN  -9.07   -3.206    -1.870     37.1   0.671  -1.856      NaN   -7.48
     V1_vr20_kd2  1.0~1.1  1114  -2.847   -2.522    31.2  0.376 -2.705     NaN -19.42  -3.206   -2.547    32.6  0.469 -2.434     NaN -13.90   -3.544    -2.074     37.6   0.650  -2.193      NaN   -8.93
     V1_vr20_kd2  1.1~inf 27907   0.306    2.056    51.6  1.752  0.447     NaN  20.59  -0.457    1.728    48.1  1.500  0.315     NaN  10.97   -1.154     1.639     45.5   1.364   0.197      NaN    4.78
     V2_vov0_kd2 -inf~0.5  2313  -4.805   -4.600    13.3  0.223 -4.664     NaN -32.58  -5.054   -4.184    19.5  0.328 -4.282     NaN -23.67   -5.355    -3.681     25.3   0.445  -4.004      NaN  -17.58
     V2_vov0_kd2  0.5~0.7  5129  -3.458   -3.618    24.2  0.215 -3.316     NaN -54.22  -3.782   -3.538    28.3  0.323 -3.010     NaN -39.64   -4.159    -3.023     32.1   0.495  -2.808      NaN  -26.59
     V2_vov0_kd2  0.7~0.9  5386  -1.619   -1.375    39.2  0.588 -1.477     NaN -30.48  -2.171   -1.382    38.5  0.664 -1.398     NaN -21.92   -2.626    -1.179     39.3   0.776  -1.275      NaN  -15.10
     V2_vov0_kd2  0.9~1.1  4347   0.025    0.626    50.2  1.243  0.167     NaN  -8.40  -1.018    0.392    45.7  1.111 -0.246     NaN  -6.56   -1.700     0.395     43.2   1.080  -0.350      NaN   -4.82
     V2_vov0_kd2  1.1~1.3  3025   1.351    2.515    58.4  2.166  1.493     NaN   4.90   0.586    2.151    52.9  1.749  1.358     NaN   3.49   -0.573     2.083     47.7   1.515   0.778      NaN    2.39
     V2_vov0_kd2  1.3~inf 10968   4.578    7.013    70.5  5.735  4.720     NaN  61.42   3.204    6.323    63.3  3.843  3.977     NaN  45.37    1.928     5.795     57.4   2.738   3.278      NaN   30.78
    V3_vovfd_kd2 -inf~0.5  5786  -3.588   -2.857    21.4  0.331 -3.447     NaN -44.13  -3.854   -2.598    26.7  0.455 -3.082     NaN -30.51   -4.073    -2.479     30.2   0.549  -2.722      NaN  -23.58
    V3_vovfd_kd2  0.5~0.7 12661  -2.093   -1.874    36.8  0.506 -1.952     NaN -53.29  -2.445   -1.951    37.2  0.568 -1.672     NaN -41.23   -3.018    -1.657     38.1   0.700  -1.668      NaN  -28.31
    V3_vovfd_kd2  0.7~0.9  6503   2.514    3.495    64.9  2.909  2.656     NaN  16.23   1.290    3.213    56.4  2.176  2.062     NaN  12.35    0.437     2.768     51.3   1.674   1.788      NaN    7.15
    V3_vovfd_kd2  0.9~1.1  2783   5.991    8.272    78.8  9.384  6.133     NaN  30.03   4.256    7.605    69.0  5.211  5.029     NaN  22.54    3.430     7.306     61.1   3.394   4.781      NaN   16.51
    V3_vovfd_kd2  1.1~1.3  1198   9.066   11.488    87.0 18.857  9.207     NaN  27.94   6.320   10.153    75.5  8.320  7.092     NaN  19.15    4.813     9.266     67.7   4.634   6.163      NaN   12.94
    V3_vovfd_kd2  1.3~inf  2237  11.967   14.031    89.7 29.802 12.109     NaN  45.92   8.742   12.434    78.8 12.110  9.515     NaN  32.23    6.579    12.116     69.5   6.881   7.930      NaN   22.00
      V4_run_kd2      0~1  5202   7.324    9.833    81.1 12.159  7.466     NaN  51.32   5.325    8.858    70.7  6.300  6.097     NaN  37.63    4.244     8.507     63.4   4.050   5.594      NaN   26.60
      V4_run_kd2      1~2  6805   2.614    4.580    65.0  3.590  2.756     NaN  24.47   1.416    4.113    57.6  2.597  2.189     NaN  18.24    0.607     3.781     52.1   1.984   1.958      NaN   12.43
      V4_run_kd2      2~3  6725  -1.874   -0.928    37.4  0.730 -1.733     NaN -25.69  -0.369    0.952    48.2  1.280  0.403     NaN  -3.63   -1.005     1.005     46.1   1.222   0.346      NaN   -2.54
      V4_run_kd2    3~inf 12465  -2.622   -2.010    33.9  0.494 -2.480     NaN -54.59  -3.727   -3.027    29.7  0.398 -2.955     NaN -55.04   -4.067    -2.822     32.4   0.521  -2.716      NaN  -39.46
V6_dvol_uvol_kd2 -inf~0.5  6496   7.268   11.187    86.1 33.087  7.410     NaN  70.44   6.362   11.297    76.9 13.210  7.134     NaN  55.63    5.515    10.972     69.2   6.747   6.866      NaN   41.41
V6_dvol_uvol_kd2  0.5~0.8  5919   0.752    1.566    56.3  1.911  0.893     NaN  -1.03   0.149    1.316    50.9  1.507  0.921     NaN  -0.93   -0.471     1.406     48.0   1.365   0.880      NaN   -0.20
V6_dvol_uvol_kd2  0.8~1.1  4326   1.027    2.532    56.2  2.333  1.169     NaN   6.52   0.419    2.075    52.2  1.742  1.191     NaN   3.96   -0.778     1.561     46.7   1.362   0.573      NaN    0.55
V6_dvol_uvol_kd2  1.1~1.5  3203  -0.255    0.966    48.6  1.395 -0.113     NaN  -4.81  -0.977    0.513    45.6  1.158 -0.205     NaN  -5.15   -1.766     0.016     43.1   1.004  -0.415      NaN   -6.16
