### EXPERIMENTS
=== L1_分歧定义候选  (28 rows)
               def              param     N  t3_med  t3_mean  t3_win  t3_pf   t3_ex  t3_exT   t3_cT  t5_med  t5_mean  t5_win  t5_pf   t5_ex  t5_exT   t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
     V1_vr20_kd5  0.6~0.7   251  -3.729   -3.757    18.7  0.145 -3.587     NaN -16.08  -5.098   -5.093    19.5  0.127 -4.326     NaN -14.17   -5.186    -4.263     28.8   0.372  -3.835      NaN   -7.89
     V1_vr20_kd5  0.7~0.8   609  -3.665   -3.983    22.5  0.165 -3.523     NaN -23.28  -4.739   -5.024    22.7  0.154 -3.967     NaN -21.37   -4.952    -4.543     28.2   0.328  -3.602      NaN  -12.99
     V1_vr20_kd5  0.8~0.9  1031  -3.569   -3.536    25.6  0.220 -3.428     NaN -26.80  -4.867   -4.887    22.3  0.168 -4.095     NaN -27.04   -5.249    -4.597     29.0   0.345  -3.899      NaN  -17.62
     V1_vr20_kd5  0.9~1.0  1462  -3.096   -3.049    28.1  0.282 -2.954     NaN -27.64  -4.233   -4.238    24.6  0.229 -3.461     NaN -27.54   -4.677    -3.993     31.0   0.395  -3.327      NaN  -18.38
     V1_vr20_kd5  1.0~1.1  1906  -2.697   -2.727    32.8  0.344 -2.556     NaN -28.01  -4.192   -3.869    26.8  0.276 -3.420     NaN -28.28   -4.533    -3.577     31.1   0.435  -3.182      NaN  -19.07
     V1_vr20_kd5  1.1~inf 25798   0.676    2.627    53.7  2.028  0.817     NaN  46.10   0.243    2.554    51.2  1.806  1.015     NaN  40.64   -0.568     2.439     47.9   1.577   0.783      NaN   22.73
     V2_vov0_kd5 -inf~0.5  3871  -4.855   -5.600    13.7  0.064 -4.714     NaN -69.74  -5.910   -6.674    11.5  0.061 -5.138     NaN -65.60   -6.391    -6.292     18.5   0.157  -5.040      NaN  -48.28
     V2_vov0_kd5  0.5~0.7  6209  -2.718   -2.853    30.2  0.295 -2.577     NaN -52.05  -3.783   -3.837    26.9  0.240 -3.011     NaN -51.23   -4.271    -3.552     31.2   0.411  -2.920      NaN  -34.89
     V2_vov0_kd5  0.7~0.9  5529  -0.637   -0.326    45.8  0.884 -0.496     NaN -19.24  -1.474   -0.946    42.2  0.742 -0.702     NaN -19.49   -2.026    -0.536     41.2   0.893  -0.675      NaN  -11.10
     V2_vov0_kd5  0.9~1.1  3869   0.907    1.911    55.3  1.843  1.048     NaN   1.74   0.889    1.875    54.5  1.681  1.661     NaN   2.66   -0.255     1.938     48.9   1.474   1.096      NaN    2.15
     V2_vov0_kd5  1.1~1.3  2776   1.961    3.257    61.0  2.767  2.102     NaN   8.80   1.871    3.478    59.1  2.452  2.643     NaN   9.40    1.107     3.579     54.5   2.006   2.458      NaN    7.28
     V2_vov0_kd5  1.3~inf  8914   5.681    8.460    73.8  7.535  5.823     NaN  62.98   5.166    9.013    70.8  6.230  5.938     NaN  56.22    3.713     8.219     63.1   3.936   5.064      NaN   38.47
    V3_vovfd_kd5 -inf~0.5 11095  -3.402   -3.386    25.4  0.241 -3.261     NaN -75.51  -4.702   -4.831    20.4  0.157 -3.930     NaN -78.86   -5.176    -4.705     25.0   0.275  -3.825      NaN  -57.13
    V3_vovfd_kd5  0.5~0.7 10237  -0.199    0.213    48.9  1.076 -0.057     NaN -18.61  -0.742   -0.362    46.1  0.895  0.031     NaN -19.42   -1.233    -0.101     44.9   0.979   0.118      NaN  -12.32
    V3_vovfd_kd5  0.7~0.9  4934   3.438    5.185    68.1  4.357  3.580     NaN  24.24   3.963    6.161    69.8  4.554  4.735     NaN  27.05    3.071     5.984     60.9   2.917   4.422      NaN   19.11
    V3_vovfd_kd5  0.9~1.1  2140   6.689    8.978    78.6 10.265  6.830     NaN  27.70   8.367   11.667    81.2 12.749  9.140     NaN  30.43    6.439    11.205     71.2   6.338   7.790      NaN   21.91
    V3_vovfd_kd5  1.1~1.3   943   9.774   11.784    86.5 18.150  9.916     NaN  25.66   9.910   13.336    85.3 17.633 10.683     NaN  23.58    7.457    11.737     72.5   7.317   8.808      NaN   15.76
    V3_vovfd_kd5  1.3~inf  1819  14.328   16.573    91.3 35.707 14.470     NaN  46.42  13.866   17.494    85.2 21.394 14.639     NaN  37.91   10.722    16.519     76.6  11.384  12.073      NaN   25.66
      V4_run_kd5      0~1  5202   7.324    9.833    81.1 12.159  7.466     NaN  51.32   5.325    8.858    70.7  6.300  6.097     NaN  37.63    4.244     8.507     63.4   4.050   5.594      NaN   26.60
      V4_run_kd5      1~2  6805   2.614    4.580    65.0  3.590  2.756     NaN  24.47   1.416    4.113    57.6  2.597  2.189     NaN  18.24    0.607     3.781     52.1   1.984   1.958      NaN   12.43
      V4_run_kd5      2~3  6725  -1.874   -0.928    37.4  0.730 -1.733     NaN -25.69  -0.369    0.952    48.2  1.280  0.403     NaN  -3.63   -1.005     1.005     46.1   1.222   0.346      NaN   -2.54
      V4_run_kd5    3~inf 12465  -2.622   -2.010    33.9  0.494 -2.480     NaN -54.59  -3.727   -3.027    29.7  0.398 -2.955     NaN -55.04   -4.067    -2.822     32.4   0.521  -2.716      NaN  -39.46
V6_dvol_uvol_kd5 -inf~0.5  5932   3.777    6.577    71.0  7.057  3.918     NaN  36.78   6.615   11.134    80.9 18.702  7.387     NaN  54.62    7.381    13.364     76.3  12.477   8.732      NaN   47.43
V6_dvol_uvol_kd5  0.5~0.8  5521   1.758    3.927    60.6  3.132  1.899     NaN  16.79   2.412    4.903    63.5  3.924  3.184     NaN  22.95    2.520     5.369     60.6   3.189   3.871      NaN   20.70
V6_dvol_uvol_kd5  0.8~1.1  3533   0.590    2.310    53.6  2.021  0.731     NaN   4.02  -0.051    1.682    49.7  1.666  0.722     NaN   1.45   -0.696     1.214     47.0   1.335   0.655      NaN   -1.07
V6_dvol_uvol_kd5  1.1~1.5  4345  -0.009    1.567    50.0  1.596  0.133     NaN  -0.66  -0.896    0.483    45.1  1.149 -0.124     NaN  -6.07   -2.007    -0.484     41.0   0.896  -0.656      NaN  -10.15
V6_dvol_uvol_kd5  1.5~inf 10498  -3.058   -1.927    32.6  0.564 -2.917     NaN -45.45  -4.986   -4.519    22.7  0.253 -4.214     NaN -69.09   -5.974    -5.282     24.1   0.270  -4.623      NaN  -60.37

=== L2_缩量阈值  (28 rows)
          def   param    N  t3_med  t3_mean  t3_win  t3_pf  t3_ex  t3_exT  t3_cT  t5_med  t5_mean  t5_win  t5_pf  t5_ex  t5_exT  t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
C_V1<=0.6_kd2 V1<=0.6  148  -2.478    4.586    35.1  2.253 -2.336     NaN   2.08  -1.116    7.969    46.6  2.898 -0.343     NaN   3.25    1.846     9.139     52.4   2.985   3.196      NaN    3.28
C_V1<=0.7_kd2 V1<=0.7  332  -2.683    1.698    31.6  1.480 -2.541     NaN   0.04  -2.131    3.365    41.6  1.779 -1.358     NaN   1.79   -0.904     4.094     45.9   1.793   0.446      NaN    2.10
C_V1<=0.8_kd2 V1<=0.8  679  -3.058   -0.532    27.4  0.866 -2.916     NaN  -4.76  -2.888    0.437    37.6  1.093 -2.115     NaN  -1.60   -2.110     1.346     42.7   1.245  -0.759      NaN   -0.12
C_V1<=0.9_kd2 V1<=0.9 1270  -3.048   -1.583    27.5  0.608 -2.906     NaN -11.60  -3.209   -1.078    34.4  0.774 -2.436     NaN  -6.68   -2.683    -0.487     40.1   0.916  -1.332      NaN   -4.08
C_V1<=1.0_kd2 V1<=1.0 2147  -2.991   -1.807    27.9  0.541 -2.849     NaN -17.60  -3.019   -1.412    34.1  0.698 -2.247     NaN -10.77   -2.981    -1.052     38.9   0.816  -1.630      NaN   -7.58
C_V1<=1.1_kd2 V1<=1.1 3261  -2.982   -2.051    29.1  0.484 -2.841     NaN -25.06  -3.088   -1.799    33.6  0.618 -2.316     NaN -16.42   -3.183    -1.401     38.5   0.758  -1.832      NaN  -11.30
C_V1<=1.2_kd2 V1<=1.2 4594  -2.838   -2.026    30.3  0.483 -2.696     NaN -30.72  -2.852   -1.752    34.7  0.616 -2.080     NaN -20.42   -2.933    -1.361     38.7   0.761  -1.582      NaN  -13.85
C_V1<=0.6_kd3 V1<=0.6  120  -3.800   -0.610    23.3  0.854 -3.658     NaN  -2.15  -4.036    1.794    33.3  1.349 -3.264     NaN   0.19   -1.388     3.327     44.4   1.637  -0.037      NaN    0.95
C_V1<=0.7_kd3 V1<=0.7  313  -3.598   -2.126    21.1  0.493 -3.457     NaN  -7.44  -3.906   -1.088    32.3  0.786 -3.134     NaN  -2.85   -3.196    -0.329     38.1   0.942  -1.845      NaN   -1.89
C_V1<=0.8_kd3 V1<=0.8  728  -3.467   -2.717    23.1  0.355 -3.326     NaN -15.36  -4.042   -2.386    29.8  0.535 -3.270     NaN  -8.22   -3.453    -1.577     38.0   0.730  -2.102      NaN   -5.67
C_V1<=0.9_kd3 V1<=0.9 1487  -3.471   -3.154    23.3  0.278 -3.330     NaN -26.34  -4.055   -3.236    27.8  0.391 -3.283     NaN -16.94   -3.973    -2.877     34.8   0.540  -2.622      NaN  -13.05
C_V1<=1.0_kd3 V1<=1.0 2523  -3.311   -3.054    25.6  0.287 -3.170     NaN -33.85  -3.794   -3.211    28.7  0.378 -3.021     NaN -23.66   -3.843    -2.634     35.0   0.571  -2.492      NaN  -15.64
C_V1<=1.1_kd3 V1<=1.1 3863  -3.125   -2.886    27.2  0.307 -2.983     NaN -40.53  -3.588   -3.136    29.4  0.375 -2.816     NaN -30.25   -3.764    -2.635     34.6   0.565  -2.413      NaN  -20.01
C_V1<=1.2_kd3 V1<=1.2 5451  -3.033   -2.762    28.8  0.330 -2.891     NaN -46.27  -3.530   -2.982    30.5  0.394 -2.758     NaN -35.41   -3.667    -2.405     35.7   0.595  -2.316      NaN  -22.60
C_V1<=0.6_kd4 V1<=0.6  121  -3.830   -2.014    24.0  0.527 -3.689     NaN  -4.32  -4.636   -1.570    28.1  0.717 -3.864     NaN  -2.04   -2.932     0.670     39.8   1.118  -1.582      NaN   -0.44
C_V1<=0.7_kd4 V1<=0.7  350  -3.454   -2.805    21.4  0.306 -3.313     NaN -12.09  -4.516   -3.253    26.3  0.380 -3.744     NaN  -7.78   -4.372    -2.223     33.5   0.637  -3.021      NaN   -4.70
C_V1<=0.8_kd4 V1<=0.8  854  -3.640   -3.502    21.2  0.219 -3.498     NaN -23.21  -4.727   -4.213    24.0  0.263 -3.954     NaN -17.08   -4.715    -3.640     32.0   0.448  -3.364      NaN  -11.76
C_V1<=0.9_kd4 V1<=0.9 1714  -3.615   -3.573    23.2  0.212 -3.474     NaN -33.46  -4.653   -4.472    23.0  0.222 -3.881     NaN -27.70   -4.494    -3.728     31.5   0.433  -3.143      NaN  -17.47
C_V1<=1.0_kd4 V1<=1.0 2999  -3.345   -3.221    26.1  0.254 -3.204     NaN -40.59  -4.303   -4.098    25.0  0.251 -3.530     NaN -35.20   -4.448    -3.482     32.3   0.459  -3.097      NaN  -22.05
C_V1<=1.1_kd4 V1<=1.1 4587  -3.137   -3.061    27.6  0.276 -2.996     NaN -47.49  -4.128   -3.919    26.2  0.265 -3.356     NaN -42.54   -4.336    -3.322     32.8   0.474  -2.985      NaN  -26.76
C_V1<=1.2_kd4 V1<=1.2 6501  -3.101   -2.958    28.6  0.298 -2.959     NaN -53.57  -4.092   -3.770    26.6  0.284 -3.320     NaN -48.37   -4.201    -3.132     32.8   0.498  -2.850      NaN  -30.31
C_V1<=0.6_kd5 V1<=0.6  111  -3.830   -3.692    18.9  0.177 -3.689     NaN  -9.44  -4.832   -4.959    20.7  0.184 -4.059     NaN  -7.25   -5.577    -4.030     26.9   0.407  -4.226      NaN   -4.36
C_V1<=0.7_kd5 V1<=0.7  362  -3.735   -3.737    18.8  0.155 -3.593     NaN -18.49  -5.062   -5.052    19.9  0.145 -4.290     NaN -15.50   -5.288    -4.193     28.2   0.382  -3.937      NaN   -8.94
C_V1<=0.8_kd5 V1<=0.8  971  -3.684   -3.892    21.1  0.162 -3.542     NaN -29.38  -4.912   -5.035    21.6  0.151 -4.140     NaN -26.19   -5.082    -4.414     28.2   0.348  -3.731      NaN  -15.71
C_V1<=0.9_kd5 V1<=0.9 2002  -3.668   -3.709    23.4  0.191 -3.526     NaN -38.85  -4.908   -4.959    22.0  0.159 -4.135     NaN -37.05   -5.191    -4.508     28.6   0.346  -3.840      NaN  -23.43
C_V1<=1.0_kd5 V1<=1.0 3464  -3.434   -3.430    25.4  0.228 -3.292     NaN -46.17  -4.662   -4.655    23.1  0.188 -3.890     NaN -44.95   -4.975    -4.291     29.6   0.366  -3.624      NaN  -29.50
C_V1<=1.1_kd5 V1<=1.1 5370  -3.222   -3.181    28.0  0.267 -3.080     NaN -52.27  -4.490   -4.376    24.4  0.217 -3.718     NaN -51.56   -4.837    -4.038     30.1   0.390  -3.486      NaN  -34.68
C_V1<=1.2_kd5 V1<=1.2 7526  -3.100   -3.017    29.0  0.292 -2.959     NaN -58.19  -4.265   -4.197    25.3  0.235 -3.493     NaN -58.00   -4.743    -3.887     30.5   0.404  -3.392      NaN  -39.67

=== L3_结构未破  (12 rows)
              def             param    N  t3_med  t3_mean  t3_win     t3_pf  t3_ex  t3_exT  t3_cT  t5_med  t5_mean  t5_win  t5_pf  t5_ex  t5_exT  t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
     S1_low_gt_L0      S1_low_gt_L0 1814  -2.195   -0.377    32.6     0.868 -2.053     NaN  -9.65  -2.081    0.156    38.8  1.043 -1.309     NaN  -4.39   -2.041     0.545     42.5   1.115  -0.691      NaN   -2.48
S2_low_gt_bodymid S2_low_gt_bodymid  899   0.505    3.572    55.6     4.706  0.647     NaN   5.33   0.789    4.627    56.1  3.603  1.561     NaN   6.49    1.511     5.132     55.9   2.767   2.862      NaN    6.10
     S3_low_gt_C0      S3_low_gt_C0  154   8.845   16.527    99.4 22668.175  8.987     NaN  11.37   9.741   21.218    91.6 81.102 10.513     NaN  10.26   11.305    20.443     81.0  21.299  12.656      NaN    8.25
    S4_low_gt_pc0     S4_low_gt_pc0 1856  -2.225   -0.378    32.1     0.867 -2.083     NaN  -9.84  -2.081    0.177    38.5  1.050 -1.309     NaN  -4.43   -1.974     0.618     42.6   1.134  -0.623      NaN   -2.33
     S5_cl_gt_ma5      S5_cl_gt_ma5  777   0.283    0.978    53.2     2.136  0.424     NaN  -4.77   0.200    0.882    51.4  1.463  0.973     NaN  -2.22    0.346     1.594     51.9   1.519   1.697      NaN    0.40
    S6_cl_gt_ma10     S6_cl_gt_ma10 1277  -1.551    0.638    37.5     1.249 -1.409     NaN  -3.57  -1.690    1.332    40.1  1.411 -0.918     NaN  -0.26   -1.683     1.403     43.3   1.328  -0.332      NaN   -0.08
    S7_cl_gt_ma20     S7_cl_gt_ma20 1132  -2.025    0.097    34.3     1.031 -1.884     NaN  -4.81  -2.197    0.837    36.6  1.217 -1.425     NaN  -1.36   -2.386     0.817     40.0   1.169  -1.035      NaN   -1.21
           S8_dd5            S8_dd5  734   0.867    4.549    59.1     6.165  1.009     NaN   6.65   1.371    5.988    60.2  5.098  2.143     NaN   7.72    1.819     6.442     60.0   3.801   3.170      NaN    7.15
           S8_dd8            S8_dd8 1439  -1.349    1.098    39.1     1.555 -1.207     NaN  -2.29  -0.965    1.932    44.6  1.747 -0.193     NaN   1.48   -0.545     2.414     47.9   1.667   0.806      NaN    2.34
          S8_dd10           S8_dd10 1734  -2.024    0.051    33.7     1.020 -1.883     NaN  -7.49  -1.726    0.736    40.2  1.233 -0.953     NaN  -2.37   -1.523     1.244     44.4   1.300  -0.172      NaN   -0.54
          S8_dd12           S8_dd12 1904  -2.389   -0.579    31.1     0.804 -2.248     NaN -11.07  -2.232   -0.058    37.5  0.984 -1.460     NaN  -5.40   -2.093     0.346     41.9   1.074  -0.742      NaN   -3.19
          S8_dd15           S8_dd15 2049  -2.753   -1.230    29.1     0.643 -2.611     NaN -14.77  -2.647   -0.798    35.5  0.809 -1.875     NaN  -8.37   -2.499    -0.414     40.2   0.921  -1.148      NaN   -5.57

=== L4_再启动  (7 rows)
def param    N  t3_med  t3_mean  t3_win  t3_pf  t3_ex  t3_exT  t3_cT  t5_med  t5_mean  t5_win  t5_pf  t5_ex  t5_exT  t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
 R1    R1 1310  -1.719    0.467    37.9  1.165 -1.577     NaN  -4.17   0.024    2.659    50.5  2.032  0.796     NaN   3.28    2.347     5.307     61.0   3.325   3.698      NaN    8.84
 R2    R2 1174  -1.867    0.295    36.9  1.102 -1.725     NaN  -4.69   0.209    2.909    51.6  2.148  0.981     NaN   3.74    3.375     6.068     63.4   3.860   4.726      NaN    9.81
 R3    R3 1174  -1.867    0.295    36.9  1.102 -1.725     NaN  -4.69   0.209    2.909    51.6  2.148  0.981     NaN   3.74    3.375     6.068     63.4   3.860   4.726      NaN    9.81
 R4    R4 2127  -3.005   -1.870    27.6  0.527 -2.864     NaN -17.96  -3.051   -1.485    33.9  0.683 -2.279     NaN -11.10   -2.991    -1.161     38.8   0.797  -1.640      NaN   -8.03
 R5    R5 2065  -3.058   -2.002    27.3  0.499 -2.916     NaN -18.58  -3.152   -1.741    32.8  0.633 -2.380     NaN -12.19   -3.071    -1.544     38.2   0.732  -1.720      NaN   -9.60
 R6    R6  983  -1.933    0.482    36.7  1.164 -1.791     NaN  -3.50  -0.059    3.079    49.7  2.149  0.713     NaN   3.59    3.507     6.728     63.9   4.153   4.858      NaN    9.63
 R7    R7 1163  -1.885    0.251    36.8  1.086 -1.743     NaN  -4.84   0.206    2.898    51.6  2.139  0.978     NaN   3.69    3.436     6.115     63.4   3.880   4.787      NaN    9.82

=== L5_再启动量能  (8 rows)
     def   param    N  t3_med  t3_mean  t3_win  t3_pf  t3_ex  t3_exT  t3_cT  t5_med  t5_mean  t5_win  t5_pf  t5_ex  t5_exT  t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
R2_vt0.0 VR>=0.0 1174  -1.867    0.295    36.9  1.102 -1.725     NaN  -4.69   0.209    2.909    51.6  2.148  0.981     NaN   3.74    3.375     6.068     63.4   3.860   4.726      NaN    9.81
R2_vt1.0 VR>=1.0  913  -2.167   -0.355    33.3  0.886 -2.025     NaN  -6.19  -0.715    1.606    46.5  1.569  0.057     NaN   0.43    1.940     4.853     59.8   3.036   3.291      NaN    6.54
R2_vt1.1 VR>=1.1  825  -2.181   -0.234    33.2  0.925 -2.039     NaN  -5.33  -0.958    1.636    45.5  1.561 -0.186     NaN   0.47    1.684     4.795     58.8   2.937   3.035      NaN    5.94
R2_vt1.2 VR>=1.2  728  -2.266   -0.164    32.4  0.949 -2.124     NaN  -4.60  -1.208    1.576    43.0  1.508 -0.435     NaN   0.29    1.522     4.575     57.0   2.748   2.873      NaN    5.03
R2_vt1.3 VR>=1.3  636  -2.525   -0.074    31.8  0.978 -2.383     NaN  -3.89  -1.445    1.634    41.0  1.496 -0.673     NaN   0.37    1.446     4.758     56.9   2.788   2.797      NaN    4.77
R2_vt1.5 VR>=1.5  500  -2.661    0.510    31.8  1.148 -2.519     NaN  -2.07  -1.840    2.391    41.4  1.696 -1.068     NaN   1.39    1.168     5.380     55.0   2.936   2.518      NaN    4.57
R2_vt1.8 VR>=1.8  313  -2.710    2.351    34.2  1.680 -2.569     NaN   0.81  -1.907    4.527    41.9  2.317 -1.135     NaN   2.96    0.278     6.512     51.6   3.115   1.628      NaN    3.93
R2_vt2.0 VR>=2.0  241  -2.420    3.686    37.8  2.095 -2.278     NaN   1.91  -1.409    6.171    44.8  2.859 -0.637     NaN   3.68    0.096     7.518     50.4   3.319   1.447      NaN    3.86

=== L6_Entry  (6 rows)
def param    N  t3_med  t3_mean  t3_win  t3_pf  t3_ex  t3_exT  t3_cT  t5_med  t5_mean  t5_win  t5_pf  t5_ex  t5_exT  t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
 E1    E1 2147  -2.991   -1.807    27.9  0.541 -2.849     NaN -17.60  -3.019   -1.412    34.1  0.698 -2.247     NaN -10.77   -2.981    -1.052     38.9   0.816  -1.630      NaN   -7.58
 E2    E2 1310  -1.719    0.467    37.9  1.165 -1.577     NaN  -4.17   0.024    2.659    50.5  2.032  0.796     NaN   3.28    2.347     5.307     61.0   3.325   3.698      NaN    8.84
 E3    E3 1174  -1.867    0.295    36.9  1.102 -1.725     NaN  -4.69   0.209    2.909    51.6  2.148  0.981     NaN   3.74    3.375     6.068     63.4   3.860   4.726      NaN    9.81
 E4    E4  728  -2.266   -0.164    32.4  0.949 -2.124     NaN  -4.60  -1.208    1.576    43.0  1.508 -0.435     NaN   0.29    1.522     4.575     57.0   2.748   2.873      NaN    5.03
 E5    E5  721  -2.305   -0.156    32.3  0.952 -2.163     NaN  -4.54  -1.234    1.563    42.4  1.499 -0.461     NaN   0.27    1.510     4.516     56.9   2.714   2.861      NaN    4.90
 E6    E6 2085  -2.995   -1.777    28.1  0.551 -2.853     NaN -17.00  -2.890   -1.308    34.6  0.719 -2.118     NaN -10.12   -2.749    -0.856     39.8   0.849  -1.399      NaN   -6.84

### LAYERS (ALL)
=== LAYER_Regime  (12 rows)
            def   param     N  t3_med  t3_mean  t3_win  t3_pf  t3_ex  t3_exT  t3_cT  t5_med  t5_mean  t5_win  t5_pf  t5_ex  t5_exT  t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
      B_分歧|bear    bear  2540   1.389    2.775    59.3  2.274  1.530     NaN   5.59   1.577    3.226    59.1  2.293  2.349     NaN   7.41    2.437     4.962     59.6   2.689   3.787      NaN   10.95
   C_分歧+缩量|bear    bear   311  -0.991   -0.240    43.1  0.901 -0.849     NaN  -4.94  -0.512    0.272    46.3  1.091  0.260     NaN  -2.05    1.479     1.745     56.5   1.493   2.830      NaN    0.42
    G_完整结构|bear    bear   106  -0.016    0.593    50.0  1.272  0.521    0.33  -1.60   0.749    1.261    56.0  1.548  1.382    1.63  -0.13   -0.559     1.002     47.5   1.261   0.832     0.58   -0.23
   B_分歧|neutral neutral 15667  -0.525    1.295    47.4  1.415 -0.383     NaN  -6.01  -1.193    1.011    45.0  1.264 -0.420     NaN  -5.61   -1.984     0.772     42.8   1.157  -0.634      NaN   -6.83
C_分歧+缩量|neutral neutral   971  -3.311   -2.152    23.7  0.498 -3.170     NaN -12.21  -3.521   -1.669    32.4  0.670 -2.749     NaN  -7.55   -4.069    -1.808     36.1   0.718  -2.718      NaN   -6.39
 G_完整结构|neutral neutral   265  -1.184   -1.356    42.1  0.625 -0.260   -0.94  -5.85  -1.706   -1.984    37.3  0.580 -1.009   -1.33  -5.00   -3.237    -3.386     34.3   0.477  -2.571    -2.24   -5.55
    B_分歧|strong  strong  5455   0.222    2.381    51.2  1.955  0.363     NaN   5.29  -0.753    2.036    46.6  1.622  0.019     NaN   3.67   -1.299     1.932     44.7   1.449   0.051      NaN    2.37
 C_分歧+缩量|strong  strong   315  -3.838   -2.214    25.1  0.517 -3.697     NaN  -6.17  -4.605   -2.327    27.1  0.596 -3.832     NaN  -4.55   -4.605    -1.430     31.9   0.785  -3.254      NaN   -2.71
  G_完整结构|strong  strong    74  -0.939    0.764    46.4  1.235  0.715    0.61  -0.76  -0.580    0.795    48.5  1.191 -0.382    0.19  -0.37   -3.636    -1.572     43.6   0.743  -5.392    -1.27   -1.64
      B_分歧|weak    weak  7535  -0.256    1.377    48.3  1.485 -0.114     NaN  -2.72  -0.921    0.954    45.6  1.258 -0.149     NaN  -3.71   -1.502     0.773     44.1   1.159  -0.151      NaN   -4.03
   C_分歧+缩量|weak    weak   550  -2.920   -1.853    28.5  0.515 -2.778     NaN  -9.85  -2.546   -1.388    34.4  0.680 -1.773     NaN  -5.55   -2.909    -1.085     37.9   0.793  -1.559      NaN   -4.20
    G_完整结构|weak    weak   198  -1.044    0.574    45.2  1.218  0.054    0.46  -1.73  -1.403   -0.628    41.7  0.837 -0.561   -0.99  -2.51   -0.417    -0.839     45.3   0.834   0.449     0.92   -1.85

=== LAYER_首板质量  (9 rows)
           def  param     N  t3_med  t3_mean  t3_win  t3_pf  t3_ex  t3_exT  t3_cT  t5_med  t5_mean  t5_win  t5_pf  t5_ex  t5_exT  t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
   B_分歧|Normal Normal 14252   0.115    1.627    50.7  1.622  0.257     NaN  -0.57  -0.411    1.375    48.0  1.414  0.361     NaN  -0.68   -1.036     1.267     46.0   1.284   0.315      NaN   -1.65
C_分歧+缩量|Normal Normal   853  -3.773   -2.656    20.8  0.409 -3.631     NaN -13.43  -3.641   -2.227    26.4  0.561 -2.869     NaN  -8.73   -4.033    -2.386     32.9   0.607  -2.683      NaN   -7.75
 G_完整结构|Normal Normal   271  -0.827   -0.195    46.5  0.930 -0.040   -0.16  -3.92  -0.874   -1.051    44.1  0.721  0.145    0.82  -4.14   -1.389    -1.095     44.0   0.781   0.233     0.13   -2.75
   B_分歧|Strong Strong  7078   0.956    3.089    55.4  2.276  1.097     NaN  12.05   0.602    3.000    52.6  1.939  1.374     NaN  10.72    0.339     3.134     51.0   1.720   1.689      NaN    9.01
C_分歧+缩量|Strong Strong  1236  -2.452   -1.871    32.0  0.481 -2.311     NaN -17.04  -2.249   -1.734    38.7  0.610 -1.477     NaN -10.87   -2.122    -1.017     42.5   0.817  -0.772      NaN   -6.29
 G_完整结构|Strong Strong   350  -1.171   -0.179    43.6  0.941 -0.257   -0.92  -4.06  -1.017   -0.376    43.0  0.903 -0.338    0.18  -2.89   -1.766    -1.785     38.2   0.688  -1.211    -0.15   -3.84
     B_分歧|Weak   Weak  9867  -1.343    0.574    42.7  1.162 -1.201     NaN -11.74  -2.189    0.154    40.2  1.036 -1.417     NaN -11.66   -2.883     0.097     38.7   1.019  -1.532      NaN   -9.67
  C_分歧+缩量|Weak   Weak    58  -1.379   12.050    46.6  5.146 -1.238     NaN   3.23   0.279   17.413    50.0  5.740  1.051     NaN   3.78    0.187    18.082     50.9   5.098   1.538      NaN    3.22
   G_完整结构|Weak   Weak    22  -1.874   -0.243    45.5  0.957 -3.051     NaN  -0.60  -5.753   -0.944    36.4  0.873 -8.246     NaN  -0.61   -7.233    -6.782     44.4   0.304 -16.802      NaN   -2.38

=== LAYER_板块  (12 rows)
         def param     N  t3_med  t3_mean  t3_win  t3_pf   t3_ex  t3_exT  t3_cT  t5_med  t5_mean  t5_win  t5_pf  t5_ex  t5_exT  t5_cT  t10_med  t10_mean  t10_win  t10_pf  t10_ex  t10_exT  t10_cT
    B_分歧|BSE   BSE   387  -3.861    3.640    42.5  1.509  -3.720     NaN   1.47  -6.000    1.713    38.3  1.211 -5.228     NaN   0.21   -5.163     5.704     41.5   1.714  -3.812      NaN    2.16
 C_分歧+缩量|BSE   BSE     8 -10.259   21.502    25.0  3.577 -10.118     NaN   0.93 -10.245   14.781    25.0  2.445 -9.473     NaN   0.68  -11.611    19.751     25.0   2.774 -10.260      NaN    0.78
  G_完整结构|BSE   BSE     1  -1.938   -1.938     0.0  0.000     NaN     NaN    NaN   1.561    1.561   100.0    NaN    NaN     NaN    NaN    7.244     7.244    100.0     NaN     NaN      NaN     NaN
    B_分歧|GEM   GEM  4575  -0.726    1.810    47.5  1.440  -0.584     NaN   0.77  -2.317    1.154    42.1  1.230 -1.545     NaN  -1.26   -3.518     0.743     40.1   1.118  -2.167      NaN   -2.62
