BBS 100 底部右侧突破买点（最新交易日）
════════════════════════════════════════════════════════════
天娱数科 | 71.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远；单日暴涨过热
沧州大化 | 71.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
北方稀土 | 71.0 | B | Pullback | 不买 | 禁止：大盘弱势
中远海特 | 71.0 | B | Pullback | 不买 | 禁止：大盘弱势；单日暴涨过热
广汇能源 | 71.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
山金国际 | 71.0 | B | Rebreakout | 不买 | 禁止：大盘弱势；单日暴涨过热
银河电子 | 71.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
行云科技 | 71.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远；单日暴涨过热
四川黄金 | 71.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远；单日暴涨过热
神力股份 | 71.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
民和股份 | 71.0 | B | Breakout | 不买 | 禁止：大盘弱势
鹏欣资源 | 71.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
鹏辉能源 | 70.0 | B | Pullback | 不买 | 禁止：大盘弱势；单日暴涨过热
风语筑 | 70.0 | B | Pullback | 不买 | 禁止：大盘弱势；单日暴涨过热
三环集团 | 70.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远
国恩股份 | 70.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
天润乳业 | 70.0 | B | Rebreakout | 不买 | 禁止：大盘弱势；单日暴涨过热
昂立教育 | 70.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
交大思诺 | 70.0 | B | Breakout | 不买 | 禁止：大盘弱势
澄星股份 | 70.0 | B | Pullback | 不买 | 禁止：大盘弱势；单日暴涨过热
华峰化学 | 70.0 | B | Pullback | 不买 | 禁止：大盘弱势
黑芝麻 | 70.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
大连圣亚 | 70.0 | B | Rebreakout | 不买 | 禁止：突破后放量跌回平台；大盘弱势
大连热电 | 70.0 | B | Pullback | 不买 | 禁止：大盘弱势；单日暴涨过热
新北洋 | 70.0 | B | Pullback | 不买 | 禁止：大盘弱势
盛和资源 | 70.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
中泰化学 | 70.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
亚世光电 | 70.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
海程邦达 | 70.0 | B | Breakout | 不买 | 禁止：大盘弱势
华丰股份 | 70.0 | B | Pullback | 不买 | 禁止：大盘弱势
长春燃气 | 70.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
华媒控股 | 70.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
亚星化学 | 70.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
恩捷股份 | 69.0 | B | Breakout | 不买 | 禁止：大盘弱势
美迪西 | 69.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远；单日暴涨过热
桐昆股份 | 69.0 | B | Rebreakout | 不买 | 禁止：大盘弱势；单日暴涨过热
智光电气 | 69.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
紫金矿业 | 69.0 | B | Pullback | 不买 | 禁止：大盘弱势
海正药业 | 69.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
恒力石化 | 69.0 | B | Breakout | 不买 | 禁止：大盘弱势
璞源材料 | 69.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
上海临港 | 69.0 | B | Rebreakout | 不买 | 禁止：底部未确认；大盘弱势
遥望科技 | 69.0 | B | Pullback | 不买 | 禁止：大盘弱势；单日暴涨过热
宁波富邦 | 69.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
美凯龙 | 69.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
中金岭南 | 69.0 | B | Pullback | 不买 | 禁止：大盘弱势
安奈儿 | 69.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
星宸科技 | 68.5 | B | Rebreakout | 不买 | 禁止：突破后放量跌回平台；大盘弱势
紫光股份 | 68.5 | B | Pullback | 不买 | 禁止：大盘弱势
海思科 | 68.0 | B | Rebreakout | 不买 | 禁止：大盘弱势；单日暴涨过热
海德股份 | 68.0 | B | Pullback | 不买 | 禁止：大盘弱势；单日暴涨过热
九芝堂 | 68.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
拉芳家化 | 68.0 | B | Rebreakout | 不买 | 禁止：突破后放量跌回平台；大盘弱势
工业富联 | 68.0 | B | Pullback | 不买 | 禁止：大盘弱势
茶花股份 | 68.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
招金黄金 | 68.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远
思特威 | 68.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
海南高速 | 68.0 | B | Pullback | 不买 | 禁止：底部未确认；大盘弱势
香飘飘 | 68.0 | B | Breakout | 不买 | 禁止：大盘弱势；单日暴涨过热
播恩集团 | 68.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
润都股份 | 68.0 | B | Rebreakout | 不买 | 禁止：突破后放量跌回平台；大盘弱势
金域医学 | 68.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
天音控股 | 68.0 | B | Rebreakout | 不买 | 禁止：大盘弱势；单日暴涨过热
优彩资源 | 68.0 | B | Pullback | 不买 | 禁止：大盘弱势
青松股份 | 68.0 | B | Rebreakout | 不买 | 禁止：大盘弱势
信隆健康 | 68.0 | B | Breakout | 不买 | 禁止：大盘弱势
盛屯矿业 | 68.0 | B | Extended | 不买 | 禁止：大盘弱势；偏离MA20过远
智度股份 | 68.0 | B | Pullback | 不买 | 禁止：大盘弱势；单日暴涨过热
泽宇智能 | 68.0 | B | Pullback | 不买 | 禁止：大盘弱势
东方通信 | 68.0 | B | Pullback | 不买 | 禁止：大盘弱势
