# 中报猎手×EGPT 回踩择时
报告日期: 20260908 | 推送时间: 2026-09-08 19:05

> 口径：中报业绩正 + EGPT回踩择时。回测最优组合
> (白名单主题×甜区热度5~15%×扣非≥50%×突破确认) T+5胜率72%/+5.2%。

## ✅ 次日可买入（4 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 东田微(301183) | 未突破 | 71 | 1 | +72% | +73% | 智能驾驶(白名单) | 235.69 | 200.09 |
| 杰普特(688025) | 未突破 | 68 | 1 | +105% | +111% | 半导体(白名单) | 393.06 | 337.20 |
| 源杰科技(688498) | 买点2 | 63 | 1 | +1212% | +1034% | 半导体(白名单) | 1715.00 | 1522.79 |
| 科泰电源(300153) | 买点1 | 73 | 1 | +132% | +132% | 冷门(无主题) | 25.34 | 22.74 |

## ⚠️ 观察/等回踩（形态未确认需触发）（30 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 义翘神州(301047) | 未突破 | 66 | 0 | +26% | +36% | 创新药(白名单) | 99.63 | 83.68 |
| 毕得医药(688073) | 未突破 | 54 | 0 | +41% | +41% | 创新药(白名单) | 64.20 | 56.40 |
| 药康生物(688046) | 未突破 | 43 | 0 | +56% | +52% | 创新药(白名单) | 32.48 | 28.37 |
| 百奥赛图(688796) | 未突破 | 42 | 0 | +402% | +592% | 创新药(白名单) | 128.56 | 112.16 |
| 金城医药(300233) | 未突破 | 42 | 0 | +220% | +71% | 创新药(白名单) | 13.79 | 12.79 |
| 凌云光(688400) | 未突破 | 40 | 0 | +583% | +55% | 机器人(白名单) | 47.20 | 41.97 |
| 华兰疫苗(301207) | 买点2 | 52 | 0 | +75% | +214% | 冷门(无主题) | 18.49 | 16.58 |
| 红太阳(000525) | 买点2 | 44 | 0 | +148% | +82% | 化工(热度-6%) | 5.03 | 4.55 |
| 北化股份(002246) | 买点1 | 41 | 0 | +111% | +142% | 冷门(无主题) | 22.74 | 21.20 |
| 东华能源(002221) | 买点2 | 41 | 0 | +224% | +169% | 高端材料(热度-6%) | 6.19 | 5.75 |
| 云南铜业(000878) | 买点2 | 40 | 0 | +29% | +53% | 工业金属(无热度数据) | 18.32 | 16.86 |
| 航发动力(600893) | 买点1 | 40 | 0 | +59% | +425% | 军工(热度-2%) | 41.25 | 38.63 |
| 泰禾股份(301665) | 买点2 | 40 | 0 | +32% | +33% | 化工(热度-6%) | 23.87 | 22.20 |
| 辉隆股份(002556) | 买点2 | 37 | 0 | +2% | +73% | 冷门(无主题) | 5.60 | 5.26 |
| 蓝特光学(688127) | 未突破 | 57 | 1 | +163% | +172% | 半导体(白名单) | 66.91 | 57.94 |
| 恒烁股份(688416) | 买点2 | 56 | 1 | +297% | +274% | 半导体(白名单) | 75.78 | 65.61 |
| 沪电股份(002463) | 未突破 | 53 | 1 | +74% | +70% | 智能驾驶(白名单) | 124.90 | 111.03 |
| 绿的谐波(688017) | 未突破 | 53 | 1 | +31% | +37% | 机器人(白名单) | 292.54 | 259.69 |
| 拓斯达(300607) | 买点2 | 51 | 1 | +263% | +324% | 机器人(白名单) | 38.51 | 32.86 |
| 江南新材(603124) | 未突破 | 50 | 1 | +52% | +63% | 新能源车(白名单) | 132.00 | 113.18 |
| 广合科技(001389) | 未突破 | 48 | 1 | +94% | +97% | 半导体(白名单) | 169.19 | 151.71 |
| 光力科技(300480) | 未突破 | 46 | 1 | +195% | +553% | 机器人(白名单) | 29.56 | 26.40 |
| 立昂微(605358) | 未突破 | 37 | 1 | +166% | +123% | 半导体(白名单) | 41.91 | 37.62 |
| 东山精密(002384) | 未突破 | 32 | 1 | +290% | +278% | 消费电子(白名单) | 186.42 | 164.16 |
| 长芯博创(300548) | 未突破 | 55 | 1 | +91% | +94% | AI算力(热度-2%) | 211.39 | 181.66 |
| 逸豪新材(301176) | 未突破 | 52 | 1 | +242% | +217% | AI算力(热度-2%) | 46.45 | 40.08 |
| 天孚通信(300394) | 未突破 | 48 | 1 | +34% | +37% | AI算力(热度-2%) | 258.50 | 222.35 |
| 地素时尚(603587) | 买点1 | 45 | 1 | +23% | +33% | 消费(热度-1%) | 13.50 | 12.72 |
| 本川智能(300964) | 未突破 | 44 | 1 | +99% | +124% | 军工(热度-2%) | 62.72 | 55.89 |
| 仕佳光子(688313) | 未突破 | 36 | 1 | +45% | +44% | AI算力(热度-2%) | 150.21 | 129.73 |

---
> **买入纪律**：次日开盘承接，不追涨停/高开；止损=现价-2×ATR14；
> 未突破仅观察不追；高热度(≥15%)回避；买点窗口=回踩1-2日。
