# 中报猎手×EGPT 回踩择时
报告日期: 20260827 | 推送时间: 2026-08-27 19:03

> 口径：中报业绩正 + EGPT回踩择时。回测最优组合
> (白名单主题×甜区热度5~15%×扣非≥50%×突破确认) T+5胜率72%/+5.2%。

## ✅ 次日可买入（3 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 绿联科技(301606) | 未突破 | 68 | 2 | +57% | +63% | 消费电子(白名单) | 52.71 | 48.07 |
| 金龙汽车(600686) | 未突破 | 61 | 2 | +138% | +1473% | 新能源车(白名单) | 11.28 | 10.44 |
| 石头科技(688169) | 买点1 | 63 | 2 | +46% | +61% | 冷门(无主题) | 130.60 | 118.10 |

## ⚠️ 观察/等回踩（形态未确认需触发）（23 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 生益电子(688183) | 未突破 | 61 | 0 | +109% | +110% | 智能驾驶(白名单) | 121.69 | 105.81 |
| 晶丰明源(688368) | 买点2 | 50 | 0 | +449% | +516% | 半导体(白名单) | 140.28 | 120.38 |
| 生益科技(600183) | 未突破 | 50 | 0 | +130% | +111% | 半导体(白名单) | 140.97 | 122.16 |
| 金马游乐(300756) | 未突破 | 49 | 0 | +29% | +35% | 机器人(白名单) | 30.76 | 27.89 |
| 强瑞技术(301128) | 买点2 | 47 | 0 | +57% | +53% | 机器人(白名单) | 120.17 | 104.98 |
| 力源信息(300184) | 买点2 | 38 | 0 | +209% | +229% | 半导体(白名单) | 12.35 | 11.30 |
| 康强电子(002119) | 未突破 | 23 | 0 | +6% | +77% | 半导体(白名单) | 23.62 | 21.33 |
| 长江通信(600345) | 未突破 | 49 | 0 | +8833% | +799% | AI算力(热度-3%) | 52.06 | 47.12 |
| 永和股份(605020) | 未突破 | 48 | 0 | +89% | +97% | 高端材料(热度2%) | 33.56 | 30.96 |
| 东材科技(601208) | 买点2 | 46 | 0 | +64% | +41% | 化工(热度2%) | 49.10 | 42.73 |
| 东威科技(688700) | 买点2 | 46 | 0 | +133% | +134% | 军工(热度1%) | 60.76 | 53.33 |
| 璞源材料(603196) | 未突破 | 44 | 0 | +55% | +5827% | 冷门(无主题) | 20.13 | 18.44 |
| 桐昆股份(601233) | 买点1 | 41 | 0 | +285% | +280% | 高端材料(热度2%) | 26.00 | 23.44 |
| 雅创电子(301099) | 未突破 | 56 | 2 | +496% | +525% | 半导体(白名单) | 52.17 | 46.93 |
| 同花顺(300033) | 买点2 | 41 | 1 | +90% | +93% | 信创(白名单) | 233.22 | 216.60 |
| 洛阳钼业(603993) | 买点2 | 58 | 1 | +86% | +79% | 战略与小金属(无热度数据) | 19.51 | 17.83 |
| 健信超导(688805) | 买点1 | 57 | 1 | +54% | +53% | 医疗器械(无热度数据) | 42.58 | 38.47 |
| 高澜股份(300499) | 未突破 | 57 | 2 | +12% | +38% | 军工(热度1%) | 31.50 | 28.18 |
| 西部矿业(601168) | 未突破 | 57 | 1 | +123% | +130% | 工业金属(无热度数据) | 38.67 | 34.59 |
| 华电能源(600726) | 未突破 | 48 | 1 | +29% | +32% | 电力(热度-2%) | 5.67 | 4.99 |
| 隆达股份(688231) | 未突破 | 46 | 2 | +102% | +105% | 工业金属(无热度数据) | 30.29 | 26.59 |
| 驰宏锌锗(600497) | 买点2 | 42 | 1 | +71% | +85% | 战略与小金属(无热度数据) | 10.53 | 9.63 |
| 奥飞娱乐(002292) | 未突破 | 40 | 2 | +371% | +56% | 消费(热度-2%) | 8.11 | 7.54 |

---
> **买入纪律**：次日开盘承接，不追涨停/高开；止损=现价-2×ATR14；
> 未突破仅观察不追；高热度(≥15%)回避；买点窗口=回踩1-2日。
