# 中报猎手×EGPT v12 回踩择时
报告日期: 20260910 | 推送时间: 2026-09-10 19:05

> 口径：中报业绩正 + EGPT回踩择时。回测最优组合
> (白名单主题×甜区热度5~15%×扣非≥50%×突破确认) T+5胜率72%/+5.2%。

> 🏆 v12合并策略(回踩中×热度甜区/无×涨幅<5%×缩量比<1.0×扣非≥50)：
> 复盘60笔/38只, T+5 +0.94% / 持有+1.66% / 止损+1.30%。

## 🏆 v12合并策略·今日名单（4 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 华兰疫苗(301207) | 未突破 | 64 | 2 | +75% | +214% | 冷门(无主题) | 17.70 | 16.42 |
| 纳微科技(688690) | 未突破 | 63 | 2 | +116% | +130% | 冷门(无主题) | 41.72 | 37.14 |
| 三祥新材(603663) | 未突破 | 59 | 1 | +71% | +65% | 战略与小金属(无热度数据) | 43.18 | 37.79 |
| 永鼎股份(600105) | 未突破 | 57 | 1 | +58% | +60% | 可控核聚变(无热度数据) | 40.38 | 35.77 |

## ✅ 次日可买入（3 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 星源材质(300568) | 未突破 | 69 | 1 | +103% | +297% | 新能源车(白名单) | 14.74 | 13.16 |
| 华兰疫苗(301207) | 未突破 | 64 | 2 | +75% | +214% | 冷门(无主题) | 17.70 | 16.42 |
| 纳微科技(688690) | 未突破 | 63 | 2 | +116% | +130% | 冷门(无主题) | 41.72 | 37.14 |

## ⚠️ 观察/等回踩（形态未确认需触发）（24 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 环旭电子(601231) | 未突破 | 50 | 0 | +29% | +36% | 消费电子(白名单) | 27.92 | 25.06 |
| 富乐德(301297) | 买点1 | 46 | 0 | +80% | +227% | 半导体(白名单) | 44.35 | 38.81 |
| 深科技(000021) | 未突破 | 44 | 0 | +20% | +59% | 半导体(白名单) | 36.50 | 33.50 |
| 恒星科技(002132) | 未突破 | 41 | 0 | +293% | +1791% | 机器人(白名单) | 4.34 | 3.90 |
| 宝鼎科技(002552) | 未突破 | 63 | 0 | +519% | +495% | 冷门(无主题) | 50.35 | 42.30 |
| 国际复材(301526) | 未突破 | 56 | 0 | +177% | +169% | 冷门(无主题) | 29.42 | 25.44 |
| 广西能源(600310) | 买点1 | 51 | 0 | +275% | +236% | 电力(热度-1%) | 4.82 | 4.56 |
| 水发燃气(603318) | 买点2 | 50 | 0 | +166% | +380% | 冷门(无主题) | 10.35 | 9.14 |
| 天海防务(300008) | 买点1 | 42 | 0 | +45% | +44% | 军工(热度2%) | 6.79 | 6.42 |
| 敦煌种业(600354) | 买点2 | 34 | 0 | +166% | +188% | 冷门(无主题) | 11.45 | 9.79 |
| 百奥赛图(688796) | 未突破 | 52 | 2 | +402% | +592% | 创新药(白名单) | 122.50 | 106.88 |
| 义翘神州(301047) | 未突破 | 49 | 2 | +26% | +36% | 创新药(白名单) | 96.01 | 83.26 |
| 凌云光(688400) | 未突破 | 36 | 2 | +583% | +55% | 机器人(白名单) | 45.47 | 40.31 |
| 三祥新材(603663) | 未突破 | 59 | 1 | +71% | +65% | 战略与小金属(无热度数据) | 43.18 | 37.79 |
| 湖南黄金(002155) | 买点2 | 57 | 1 | +46% | +46% | 黄金(热度-1%) | 28.54 | 25.52 |
| 永鼎股份(600105) | 未突破 | 57 | 1 | +58% | +60% | 可控核聚变(无热度数据) | 40.38 | 35.77 |
| 英诺激光(301021) | 买点2 | 55 | 1 | +315% | +536% | 军工(热度2%) | 78.17 | 67.05 |
| 北化股份(002246) | 买点1 | 53 | 2 | +111% | +142% | 化工(热度-0%) | 23.04 | 21.53 |
| 新亚电子(605277) | 未突破 | 51 | 1 | +30% | +30% | 冷门(无主题) | 17.29 | 15.43 |
| 东华能源(002221) | 买点2 | 51 | 2 | +224% | +169% | 高端材料(热度-0%) | 6.05 | 5.66 |
| 航发动力(600893) | 买点1 | 44 | 2 | +59% | +425% | 军工(热度2%) | 41.71 | 38.92 |
| 云南铜业(000878) | 买点2 | 40 | 2 | +29% | +53% | 工业金属(无热度数据) | 18.71 | 17.22 |
| 辉隆股份(002556) | 买点1 | 37 | 2 | +2% | +73% | 冷门(无主题) | 5.54 | 5.18 |
| 红太阳(000525) | 买点2 | 31 | 2 | +148% | +82% | 化工(热度-0%) | 4.83 | 4.40 |

---
> **买入纪律**：次日开盘承接，不追涨停/高开；止损=现价-2×ATR14；
> 未突破仅观察不追；高热度(≥15%)回避；买点窗口=回踩1-2日。
