# 中报猎手×EGPT 回踩择时
报告日期: 20260828 | 推送时间: 2026-08-28 19:03

> 口径：中报业绩正 + EGPT回踩择时。回测最优组合
> (白名单主题×甜区热度5~15%×扣非≥50%×突破确认) T+5胜率72%/+5.2%。

## ✅ 次日可买入（1 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 欧科亿(688308) | 未突破 | 62 | 1 | +47734% | +1944% | 机器人(白名单) | 100.10 | 86.53 |

## ⚠️ 观察/等回踩（形态未确认需触发）（24 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 税友股份(603171) | 未突破 | 61 | 0 | +32% | +44% | 信创(白名单) | 44.34 | 40.10 |
| 三六零(601360) | 未突破 | 58 | 0 | +177% | +152% | 信创(白名单) | 9.30 | 8.71 |
| 探路者(300005) | 买点2 | 55 | 0 | +155% | +191% | 消费(热度-2%) | 11.41 | 9.87 |
| 多氟多(002407) | 未突破 | 50 | 0 | +897% | +10408% | 化工(热度2%) | 36.94 | 32.50 |
| 天创时尚(603608) | 未突破 | 50 | 0 | +316% | +719% | 冷门(无主题) | 19.70 | 17.28 |
| 海通发展(603162) | 买点2 | 40 | 0 | +503% | +507% | 冷门(无主题) | 12.68 | 11.29 |
| 上海能源(600508) | 买点1 | 36 | 0 | +38% | +34% | 煤炭(热度9%) | 12.12 | 10.98 |
| 金马游乐(300756) | 未突破 | 59 | 1 | +29% | +35% | 机器人(白名单) | 29.55 | 26.64 |
| 生益科技(600183) | 买点2 | 53 | 1 | +130% | +111% | 半导体(白名单) | 145.65 | 126.22 |
| 强瑞技术(301128) | 未突破 | 49 | 1 | +57% | +53% | 机器人(白名单) | 112.60 | 97.26 |
| 罗欣药业(002793) | 未突破 | 45 | 1 | +182% | +1220% | 创新药(白名单) | 5.06 | 4.49 |
| 同花顺(300033) | 未突破 | 41 | 2 | +90% | +93% | 信创(白名单) | 230.50 | 213.96 |
| 力源信息(300184) | 未突破 | 41 | 1 | +209% | +229% | 半导体(白名单) | 12.26 | 11.25 |
| 康强电子(002119) | 未突破 | 31 | 1 | +6% | +77% | 半导体(白名单) | 23.25 | 21.01 |
| 洛阳钼业(603993) | 买点2 | 58 | 2 | +86% | +79% | 战略与小金属(无热度数据) | 19.51 | 17.85 |
| 东威科技(688700) | 买点2 | 57 | 1 | +133% | +134% | 军工(热度1%) | 59.19 | 52.30 |
| 健信超导(688805) | 未突破 | 57 | 2 | +54% | +53% | 医疗器械(无热度数据) | 41.53 | 37.42 |
| 西部矿业(601168) | 买点2 | 57 | 2 | +123% | +130% | 工业金属(无热度数据) | 39.12 | 35.11 |
| 长江通信(600345) | 未突破 | 51 | 1 | +8833% | +799% | AI算力(热度-3%) | 51.05 | 45.99 |
| 东材科技(601208) | 买点2 | 47 | 1 | +64% | +41% | 化工(热度2%) | 51.28 | 44.99 |
| 菲利华(300395) | 未突破 | 46 | 2 | +33% | +35% | 军工(热度1%) | 89.79 | 80.01 |
| 璞源材料(603196) | 未突破 | 43 | 1 | +55% | +5827% | 冷门(无主题) | 19.73 | 18.08 |
| 驰宏锌锗(600497) | 买点2 | 42 | 2 | +71% | +85% | 战略与小金属(无热度数据) | 10.57 | 9.71 |
| 华电能源(600726) | 未突破 | 40 | 2 | +29% | +32% | 电力(热度-2%) | 5.56 | 4.92 |

---
> **买入纪律**：次日开盘承接，不追涨停/高开；止损=现价-2×ATR14；
> 未突破仅观察不追；高热度(≥15%)回避；买点窗口=回踩1-2日。
