# 中报猎手×EGPT 回踩择时
报告日期: 20260907 | 推送时间: 2026-09-07 19:04

> 口径：中报业绩正 + EGPT回踩择时。回测最优组合
> (白名单主题×甜区热度5~15%×扣非≥50%×突破确认) T+5胜率72%/+5.2%。

## ✅ 次日可买入（1 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 方正电机(002196) | 未突破 | 64 | 2 | +439% | +216% | 新能源车(白名单) | 10.90 | 10.07 |

## ⚠️ 观察/等回踩（形态未确认需触发）（37 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 东田微(301183) | 买点2 | 59 | 0 | +72% | +73% | 智能驾驶(白名单) | 242.75 | 206.65 |
| 杰普特(688025) | 未突破 | 56 | 0 | +105% | +111% | 半导体(白名单) | 406.50 | 348.54 |
| 源杰科技(688498) | 买点2 | 54 | 0 | +1212% | +1034% | 半导体(白名单) | 1702.00 | 1508.44 |
| 江南新材(603124) | 未突破 | 49 | 0 | +52% | +63% | 新能源车(白名单) | 131.13 | 111.59 |
| 沪电股份(002463) | 未突破 | 49 | 0 | +74% | +70% | 智能驾驶(白名单) | 122.65 | 108.14 |
| 广合科技(001389) | 未突破 | 47 | 0 | +94% | +97% | 半导体(白名单) | 167.88 | 148.95 |
| 深南电路(002916) | 买点2 | 46 | 0 | +66% | +77% | 半导体(白名单) | 364.98 | 323.70 |
| 拓斯达(300607) | 未突破 | 45 | 0 | +263% | +324% | 机器人(白名单) | 37.55 | 31.55 |
| 恒烁股份(688416) | 买点2 | 44 | 0 | +297% | +274% | 半导体(白名单) | 76.84 | 65.82 |
| 蓝特光学(688127) | 买点2 | 44 | 0 | +163% | +172% | 半导体(白名单) | 68.91 | 59.41 |
| 东山精密(002384) | 未突破 | 41 | 0 | +290% | +278% | 消费电子(白名单) | 190.55 | 166.68 |
| 绿的谐波(688017) | 未突破 | 40 | 0 | +31% | +37% | 机器人(白名单) | 294.96 | 253.50 |
| 光力科技(300480) | 未突破 | 38 | 0 | +195% | +553% | 机器人(白名单) | 30.25 | 26.80 |
| 科泰电源(300153) | 买点1 | 62 | 0 | +132% | +132% | 冷门(无主题) | 25.40 | 22.67 |
| 长芯博创(300548) | 未突破 | 47 | 0 | +91% | +94% | AI算力(热度-7%) | 213.99 | 181.85 |
| 仕佳光子(688313) | 未突破 | 45 | 0 | +45% | +44% | AI算力(热度-7%) | 154.91 | 133.73 |
| 逸豪新材(301176) | 未突破 | 45 | 0 | +242% | +217% | AI算力(热度-7%) | 46.74 | 39.99 |
| 本川智能(300964) | 未突破 | 44 | 0 | +99% | +124% | 军工(热度-1%) | 61.03 | 54.01 |
| 天孚通信(300394) | 未突破 | 42 | 0 | +34% | +37% | AI算力(热度-7%) | 267.00 | 229.84 |
| 粤桂股份(000833) | 未突破 | 39 | 0 | +183% | +185% | 冷门(无主题) | 20.75 | 19.06 |
| 地素时尚(603587) | 买点1 | 33 | 0 | +23% | +33% | 消费(热度2%) | 13.53 | 12.75 |
| 沃尔德(688028) | 买点1 | 55 | 2 | +34% | +48% | 机器人(白名单) | 103.10 | 88.40 |
| 领先股份(603991) | 买点1 | 53 | 1 | +896% | +875% | 半导体(白名单) | 167.36 | 152.00 |
| 亚康股份(301085) | 买点1 | 48 | 2 | +176% | +169% | 信创(白名单) | 67.00 | 59.35 |
| 安克创新(300866) | 买点1 | 47 | 2 | +46% | +50% | 消费电子(白名单) | 132.24 | 121.44 |
| 诺诚健华(688428) | 买点2 | 39 | 2 | +919% | +327% | 创新药(白名单) | 30.85 | 27.45 |
| 厦钨新能(688778) | 未突破 | 33 | 2 | +47% | +68% | 新能源车(白名单) | 45.13 | 41.24 |
| 金固股份(002488) | 未突破 | 27 | 2 | +46% | +65% | 智能驾驶(白名单) | 8.10 | 7.53 |
| 富祥股份(300497) | 买点2 | 58 | 2 | +2660% | +645% | 冷门(无主题) | 18.71 | 17.21 |
| 美诺华(603538) | 未突破 | 49 | 2 | +30% | +72% | 冷门(无主题) | 27.46 | 23.64 |
| 粤海饲料(001313) | 买点1 | 46 | 1 | +1240% | +3304% | 冷门(无主题) | 8.03 | 7.34 |
| 我爱我家(000560) | 买点1 | 46 | 1 | +110% | +76% | 地产链(无热度数据) | 3.13 | 2.65 |
| 首华燃气(300483) | 买点2 | 44 | 2 | +2132% | +2940% | 冷门(无主题) | 25.28 | 22.41 |
| 海星股份(603115) | 买点1 | 43 | 2 | +57% | +71% | 军工(热度-1%) | 81.94 | 69.49 |
| 新安股份(600596) | 未突破 | 41 | 2 | +268% | +981% | 化工(热度-3%) | 10.98 | 10.15 |
| 龙蟠科技(603906) | 未突破 | 32 | 2 | +594% | +421% | 冷门(无主题) | 18.59 | 16.96 |
| 长江证券(000783) | 买点2 | 29 | 2 | +84% | +85% | 证券(热度1%) | 9.06 | 8.42 |

---
> **买入纪律**：次日开盘承接，不追涨停/高开；止损=现价-2×ATR14；
> 未突破仅观察不追；高热度(≥15%)回避；买点窗口=回踩1-2日。
