# 中报猎手×EGPT 回踩择时
报告日期: 20260901 | 推送时间: 2026-09-01 19:03

> 口径：中报业绩正 + EGPT回踩择时。回测最优组合
> (白名单主题×甜区热度5~15%×扣非≥50%×突破确认) T+5胜率72%/+5.2%。

## ✅ 次日可买入（4 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 德福科技(301511) | 未突破 | 71 | 1 | +581% | +1917% | 新能源车(白名单) | 92.64 | 76.62 |
| 全志科技(300458) | 未突破 | 66 | 1 | +204% | +238% | 半导体(白名单) | 33.94 | 30.63 |
| 赛意信息(300687) | 买点2 | 65 | 1 | +208% | +274% | 信创(白名单) | 30.02 | 26.48 |
| 探路者(300005) | 未突破 | 60 | 2 | +155% | +191% | 消费(热度-4%) | 10.88 | 9.49 |

## ⚠️ 观察/等回踩（形态未确认需触发）（23 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 千金药业(600479) | 买点1 | 41 | 0 | +42% | +49% | 创新药(白名单) | 13.37 | 12.08 |
| 永辉超市(601933) | 买点1 | 55 | 0 | +205% | +105% | 消费(热度-4%) | 3.28 | 3.04 |
| 天娱数科(002354) | 未突破 | 52 | 0 | +72% | +59% | 传媒(无热度数据) | 8.36 | 7.37 |
| 吉宏股份(002803) | 买点2 | 48 | 0 | +34% | +31% | 冷门(无主题) | 20.59 | 19.05 |
| 益生股份(002458) | 未突破 | 43 | 0 | +4897% | +9003% | 冷门(无主题) | 9.40 | 8.79 |
| 华锦股份(000059) | 买点1 | 34 | 0 | +137% | +134% | 高端材料(热度7%) | 6.01 | 5.45 |
| 弘信电子(300657) | 未突破 | 52 | 1 | +130% | +88% | 消费电子(优选) | 35.76 | 31.74 |
| 复旦微电(688385) | 未突破 | 58 | 1 | +339% | +126% | 半导体(白名单) | 55.78 | 50.61 |
| 博通集成(603068) | 买点2 | 58 | 1 | +163% | +343% | 半导体(白名单) | 40.47 | 35.88 |
| 三六零(601360) | 未突破 | 56 | 2 | +177% | +152% | 信创(白名单) | 9.27 | 8.68 |
| 中科创达(300496) | 未突破 | 53 | 1 | +55% | +71% | 智能驾驶(白名单) | 59.44 | 55.31 |
| 泛微网络(603039) | 未突破 | 50 | 1 | +75% | +75% | 信创(白名单) | 41.61 | 36.54 |
| 天创时尚(603608) | 未突破 | 58 | 2 | +316% | +719% | 消费(热度-4%) | 19.84 | 17.48 |
| 依米康(300249) | 买点2 | 50 | 1 | +41% | +32% | AI算力(热度1%) | 13.72 | 12.41 |
| 日出东方(603366) | 买点1 | 50 | 1 | -11% | +518% | 消费(热度-4%) | 7.72 | 7.06 |
| 鹏欣资源(600490) | 买点2 | 46 | 2 | +59% | +56% | 工业金属(无热度数据) | 7.85 | 7.12 |
| 恒誉科技(688309) | 买点2 | 46 | 1 | +866% | +971% | 节能环保(无热度数据) | 79.00 | 70.75 |
| 飞南资源(301500) | 买点1 | 46 | 1 | +307% | +353% | 节能环保(无热度数据) | 26.28 | 23.35 |
| 海通发展(603162) | 买点2 | 44 | 2 | +503% | +507% | 冷门(无主题) | 12.37 | 10.97 |
| 沧州大化(600230) | 买点2 | 44 | 2 | +331% | +301% | 化工(热度7%) | 15.23 | 14.05 |
| 宏和科技(603256) | 未突破 | 37 | 1 | +334% | +351% | 冷门(无主题) | 138.60 | 118.14 |
| 南极电商(002127) | 未突破 | 36 | 1 | +279% | +472% | 冷门(无主题) | 3.07 | 2.87 |
| 上海能源(600508) | 买点1 | 36 | 2 | +38% | +34% | 煤炭(热度13%) | 12.17 | 10.72 |

---
> **买入纪律**：次日开盘承接，不追涨停/高开；止损=现价-2×ATR14；
> 未突破仅观察不追；高热度(≥15%)回避；买点窗口=回踩1-2日。
