# 中报猎手×EGPT v12 回踩择时
报告日期: 20260915 | 推送时间: 2026-09-15 19:04

> 口径：中报业绩正 + EGPT回踩择时。回测最优组合
> (白名单主题×甜区热度5~15%×扣非≥50%×突破确认) T+5胜率72%/+5.2%。

> 🏆 v12合并策略(回踩中×热度甜区/无×涨幅<5%×缩量比<1.0×扣非≥50)：
> 复盘60笔/38只, T+5 +0.94% / 持有+1.66% / 止损+1.30%。

## 🏆 v12合并策略·今日名单（6 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 多浦乐(301528) | 买点1 | 68 | 1 | +12% | +55% | 冷门(无主题) | 71.18 | 64.27 |
| 东富龙(300171) | 未突破 | 56 | 1 | +134% | +271% | 医疗器械(无热度数据) | 13.75 | 12.59 |
| 鑫科材料(600255) | 买点1 | 55 | 2 | +116% | +171% | 战略与小金属(无热度数据) | 3.69 | 3.34 |
| ST万邦(002082) | 未突破 | 55 | 1 | +370% | +358% | 冷门(无主题) | 9.44 | 8.65 |
| 宏昌电子(603002) | 买点1 | 50 | 1 | +141% | +257% | 冷门(无主题) | 18.81 | 16.30 |
| 科源制药(301281) | 买点2 | 42 | 1 | +52% | +56% | 脑机接口(无热度数据) | 49.41 | 44.01 |

## ✅ 次日可买入（2 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 欧莱新材(688530) | 未突破 | 61 | 1 | +1098% | +742% | 半导体(白名单) | 61.61 | 53.41 |
| 多浦乐(301528) | 买点1 | 68 | 1 | +12% | +55% | 冷门(无主题) | 71.18 | 64.27 |

## ⚠️ 观察/等回踩（形态未确认需触发）（38 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 中晶科技(003026) | 买点1 | 60 | 0 | +61% | +68% | 半导体(白名单) | 30.58 | 28.19 |
| 大为股份(002213) | 未突破 | 56 | 0 | +303% | +567% | 半导体(白名单) | 29.49 | 27.04 |
