# 中报猎手×EGPT 回踩择时
报告日期: 20260909 | 推送时间: 2026-09-09 19:05

> 口径：中报业绩正 + EGPT回踩择时。回测最优组合
> (白名单主题×甜区热度5~15%×扣非≥50%×突破确认) T+5胜率72%/+5.2%。

## ✅ 次日可买入（6 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 东田微(301183) | 未突破 | 69 | 2 | +72% | +73% | 智能驾驶(白名单) | 234.00 | 201.05 |
| 义翘神州(301047) | 未突破 | 66 | 1 | +26% | +36% | 创新药(白名单) | 101.80 | 88.07 |
| 源杰科技(688498) | 买点2 | 63 | 2 | +1212% | +1034% | 半导体(白名单) | 1718.00 | 1530.19 |
| 毕得医药(688073) | 未突破 | 62 | 1 | +41% | +41% | 创新药(白名单) | 63.71 | 56.63 |
| 杰普特(688025) | 未突破 | 60 | 2 | +105% | +111% | 半导体(白名单) | 395.85 | 341.76 |
| 华兰疫苗(301207) | 买点2 | 64 | 1 | +75% | +214% | 冷门(无主题) | 18.16 | 16.58 |

## ⚠️ 观察/等回踩（形态未确认需触发）（34 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 星源材质(300568) | 买点2 | 51 | 0 | +103% | +297% | 新能源车(白名单) | 14.97 | 13.37 |
| 新益昌(688383) | 买点2 | 41 | 0 | +1707% | +1722% | 机器人(白名单) | 138.80 | 121.96 |
| 三祥新材(603663) | 未突破 | 50 | 0 | +71% | +65% | 战略与小金属(无热度数据) | 41.93 | 36.62 |
| 湖南黄金(002155) | 买点2 | 49 | 0 | +46% | +46% | 黄金(热度0%) | 28.45 | 25.49 |
| 英诺激光(301021) | 买点2 | 43 | 0 | +315% | +536% | 冷门(无主题) | 77.83 | 66.60 |
| 永鼎股份(600105) | 未突破 | 42 | 0 | +58% | +60% | 可控核聚变(无热度数据) | 41.48 | 36.69 |
| 新亚电子(605277) | 未突破 | 41 | 0 | +30% | +30% | 冷门(无主题) | 17.36 | 15.58 |
| 斯迪克(300806) | 未突破 | 41 | 0 | +82% | +179% | 高端材料(热度-1%) | 49.30 | 42.84 |
| 海伦哲(300201) | 未突破 | 24 | 0 | +52% | +102% | 军工(热度1%) | 13.67 | 12.32 |
| 蓝特光学(688127) | 买点2 | 57 | 2 | +163% | +172% | 半导体(白名单) | 71.11 | 62.22 |
| 沪电股份(002463) | 买点2 | 53 | 2 | +74% | +70% | 智能驾驶(白名单) | 127.55 | 113.49 |
| 百奥赛图(688796) | 未突破 | 52 | 1 | +402% | +592% | 创新药(白名单) | 126.01 | 110.33 |
| 拓斯达(300607) | 买点2 | 51 | 2 | +263% | +324% | 机器人(白名单) | 38.18 | 32.53 |
| 凌云光(688400) | 未突破 | 51 | 1 | +583% | +55% | 机器人(白名单) | 47.15 | 42.00 |
| 江南新材(603124) | 未突破 | 50 | 2 | +52% | +63% | 新能源车(白名单) | 128.81 | 109.48 |
| 金城医药(300233) | 未突破 | 49 | 1 | +220% | +71% | 创新药(白名单) | 13.39 | 12.44 |
| 广合科技(001389) | 未突破 | 48 | 2 | +94% | +97% | 半导体(白名单) | 173.92 | 156.45 |
| 东山精密(002384) | 未突破 | 47 | 2 | +290% | +278% | 消费电子(白名单) | 196.06 | 173.14 |
| 光力科技(300480) | 未突破 | 42 | 2 | +195% | +553% | 机器人(白名单) | 29.98 | 26.86 |
| 恒烁股份(688416) | 未突破 | 41 | 2 | +297% | +274% | 半导体(白名单) | 74.30 | 63.97 |
| 绿的谐波(688017) | 未突破 | 38 | 2 | +31% | +37% | 机器人(白名单) | 290.50 | 259.46 |
| 立昂微(605358) | 未突破 | 37 | 2 | +166% | +123% | 半导体(白名单) | 42.13 | 38.15 |
| 药康生物(688046) | 未突破 | 33 | 1 | +56% | +52% | 创新药(白名单) | 31.62 | 27.80 |
| 长芯博创(300548) | 未突破 | 55 | 2 | +91% | +94% | AI算力(热度-3%) | 215.20 | 186.42 |
| 北化股份(002246) | 买点1 | 53 | 1 | +111% | +142% | 化工(热度-1%) | 22.87 | 21.38 |
| 东华能源(002221) | 买点2 | 51 | 1 | +224% | +169% | 高端材料(热度-1%) | 6.12 | 5.73 |
| 天孚通信(300394) | 未突破 | 48 | 2 | +34% | +37% | AI算力(热度-3%) | 258.03 | 223.13 |
| 红太阳(000525) | 买点2 | 46 | 1 | +148% | +82% | 化工(热度-1%) | 5.06 | 4.62 |
| 地素时尚(603587) | 买点1 | 45 | 2 | +23% | +33% | 消费(热度0%) | 13.20 | 12.39 |
| 航发动力(600893) | 买点1 | 44 | 1 | +59% | +425% | 军工(热度1%) | 41.37 | 38.68 |
| 云南铜业(000878) | 买点2 | 40 | 1 | +29% | +53% | 工业金属(无热度数据) | 18.63 | 17.13 |
| 辉隆股份(002556) | 买点1 | 37 | 1 | +2% | +73% | 冷门(无主题) | 5.70 | 5.34 |
| 仕佳光子(688313) | 未突破 | 36 | 2 | +45% | +44% | AI算力(热度-3%) | 147.95 | 129.06 |
| 泰禾股份(301665) | 未突破 | 35 | 1 | +32% | +33% | 化工(热度-1%) | 23.49 | 21.84 |

---
> **买入纪律**：次日开盘承接，不追涨停/高开；止损=现价-2×ATR14；
> 未突破仅观察不追；高热度(≥15%)回避；买点窗口=回踩1-2日。
