# 中报猎手×EGPT 回踩择时
报告日期: 20260903 | 推送时间: 2026-09-03 19:05

> 口径：中报业绩正 + EGPT回踩择时。回测最优组合
> (白名单主题×甜区热度5~15%×扣非≥50%×突破确认) T+5胜率72%/+5.2%。

## ✅ 次日可买入（4 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 永辉超市(601933) | 未突破 | 65 | 2 | +205% | +105% | 消费(热度-4%) | 3.15 | 2.90 |
| 汤姆猫(300459) | 未突破 | 64 | 2 | +270% | +265% | 传媒(无热度数据) | 3.66 | 3.40 |
| 中兵红箭(000519) | 买点1 | 63 | 1 | +191% | +199% | 军工(热度3%) | 15.30 | 14.32 |
| 吉宏股份(002803) | 买点2 | 62 | 2 | +34% | +31% | 冷门(无主题) | 20.77 | 19.27 |

## ⚠️ 观察/等回踩（形态未确认需触发）（24 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 方正电机(002196) | 买点1 | 55 | 0 | +439% | +216% | 新能源车(白名单) | 11.27 | 10.46 |
| 亚康股份(301085) | 买点1 | 48 | 0 | +176% | +169% | 信创(白名单) | 66.25 | 58.66 |
| 诺诚健华(688428) | 买点2 | 46 | 0 | +919% | +327% | 创新药(白名单) | 30.80 | 27.45 |
| 恒工精密(301261) | 未突破 | 42 | 0 | +57% | +82% | 机器人(白名单) | 57.01 | 52.02 |
| 金固股份(002488) | 未突破 | 40 | 0 | +46% | +65% | 智能驾驶(白名单) | 8.33 | 7.74 |
| 厦钨新能(688778) | 未突破 | 38 | 0 | +47% | +68% | 新能源车(白名单) | 46.44 | 42.55 |
| 安克创新(300866) | 买点1 | 36 | 0 | +46% | +50% | 消费电子(白名单) | 137.16 | 126.75 |
| 美诺华(603538) | 未突破 | 64 | 0 | +30% | +72% | 冷门(无主题) | 28.49 | 24.38 |
| 华源控股(002787) | 买点2 | 51 | 0 | +55% | +53% | 冷门(无主题) | 24.40 | 21.37 |
| 富祥股份(300497) | 买点2 | 51 | 0 | +2660% | +645% | 冷门(无主题) | 18.68 | 17.18 |
| 嘉美包装(002969) | 未突破 | 49 | 0 | +256% | +350% | 消费(热度-4%) | 13.41 | 12.13 |
| 沃尔德(688028) | 买点2 | 48 | 0 | +34% | +48% | 冷门(无主题) | 101.61 | 88.14 |
| 华新科技(301265) | 买点2 | 41 | 0 | +9% | +32% | 节能环保(无热度数据) | 20.39 | 18.09 |
| 龙蟠科技(603906) | 未突破 | 39 | 0 | +594% | +421% | 电力(热度-3%) | 19.54 | 17.86 |
| 新安股份(600596) | 未突破 | 38 | 0 | +268% | +981% | 化工(热度7%) | 11.29 | 10.44 |
| 长江证券(000783) | 买点2 | 37 | 0 | +84% | +85% | 证券(热度-0%) | 9.23 | 8.58 |
| 首华燃气(300483) | 买点2 | 34 | 0 | +2132% | +2940% | 冷门(无主题) | 25.60 | 22.88 |
| 视源股份(002841) | 买点1 | 39 | 1 | +282% | +246% | 消费电子(优选) | 49.43 | 45.52 |
| 奥浦迈(688293) | 未突破 | 50 | 1 | +230% | +67% | 创新药(白名单) | 55.93 | 48.19 |
| ST嘉澳(603822) | 买点1 | 54 | 1 | +186% | +190% | 冷门(无主题) | 66.50 | 60.90 |
| 联化科技(002250) | 未突破 | 54 | 1 | +64% | +72% | 化工(热度7%) | 15.47 | 14.05 |
| 步步高(002251) | 未突破 | 48 | 2 | -29% | +475% | 冷门(无主题) | 3.78 | 3.48 |
| 神马电力(603530) | 买点2 | 48 | 1 | +34% | +32% | 电力(热度-3%) | 49.17 | 42.89 |
| 华锦股份(000059) | 买点1 | 40 | 2 | +137% | +134% | 高端材料(热度7%) | 5.84 | 5.20 |

---
> **买入纪律**：次日开盘承接，不追涨停/高开；止损=现价-2×ATR14；
> 未突破仅观察不追；高热度(≥15%)回避；买点窗口=回踩1-2日。
