# 中报猎手×EGPT v12 回踩择时
报告日期: 20260911 | 推送时间: 2026-09-11 19:05

> 口径：中报业绩正 + EGPT回踩择时。回测最优组合
> (白名单主题×甜区热度5~15%×扣非≥50%×突破确认) T+5胜率72%/+5.2%。

> 🏆 v12合并策略(回踩中×热度甜区/无×涨幅<5%×缩量比<1.0×扣非≥50)：
> 复盘60笔/38只, T+5 +0.94% / 持有+1.66% / 止损+1.30%。

## 🏆 v12合并策略·今日名单（2 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 三祥新材(603663) | 未突破 | 57 | 2 | +71% | +65% | 战略与小金属(无热度数据) | 41.54 | 36.31 |
| 永鼎股份(600105) | 未突破 | 55 | 2 | +58% | +60% | 可控核聚变(无热度数据) | 42.20 | 37.54 |

## ✅ 次日可买入（2 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 星源材质(300568) | 未突破 | 65 | 2 | +103% | +297% | 新能源车(白名单) | 14.40 | 12.87 |
| 湖南黄金(002155) | 买点2 | 61 | 2 | +46% | +46% | 黄金(热度-1%) | 27.50 | 24.33 |

## ⚠️ 观察/等回踩（形态未确认需触发）（18 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 三环集团(300408) | 买点2 | 41 | 0 | +56% | +70% | 消费电子(白名单) | 124.36 | 111.65 |
| 建设工业(002265) | 买点1 | 40 | 0 | +38% | +46% | 智能驾驶(白名单) | 22.33 | 20.24 |
| 峰岹科技(688279) | 未突破 | 30 | 0 | +71% | +78% | 半导体(白名单) | 185.00 | 161.99 |
| 双星新材(002585) | 买点2 | 60 | 0 | +131% | +103% | 化工(热度-0%) | 9.96 | 9.12 |
| 风华高科(000636) | 未突破 | 59 | 0 | +74% | +69% | 冷门(无主题) | 55.99 | 49.90 |
| 麦捷科技(300319) | 买点2 | 47 | 0 | +1% | +36% | 军工(热度2%) | 21.06 | 18.32 |
| 鑫科材料(600255) | 买点1 | 44 | 0 | +116% | +171% | 战略与小金属(无热度数据) | 3.88 | 3.55 |
| 富乐德(301297) | 买点1 | 52 | 1 | +80% | +227% | 半导体(白名单) | 43.33 | 37.90 |
| 恒星科技(002132) | 未突破 | 38 | 1 | +293% | +1791% | 机器人(白名单) | 4.24 | 3.84 |
| 三祥新材(603663) | 未突破 | 57 | 2 | +71% | +65% | 战略与小金属(无热度数据) | 41.54 | 36.31 |
| 宝鼎科技(002552) | 未突破 | 56 | 1 | +519% | +495% | 冷门(无主题) | 50.00 | 42.09 |
| 永鼎股份(600105) | 未突破 | 55 | 2 | +58% | +60% | 可控核聚变(无热度数据) | 42.20 | 37.54 |
| 天海防务(300008) | 买点1 | 52 | 1 | +45% | +44% | 军工(热度2%) | 6.65 | 6.26 |
| 国际复材(301526) | 未突破 | 52 | 1 | +177% | +169% | 冷门(无主题) | 30.69 | 26.63 |
| 新亚电子(605277) | 买点1 | 51 | 2 | +30% | +30% | 冷门(无主题) | 18.15 | 16.22 |
| 水发燃气(603318) | 买点2 | 49 | 1 | +166% | +380% | 冷门(无主题) | 9.92 | 8.57 |
| 敦煌种业(600354) | 买点2 | 36 | 1 | +166% | +188% | 消费(热度-1%) | 10.97 | 9.10 |
| 英诺激光(301021) | 未突破 | 35 | 2 | +315% | +536% | 军工(热度2%) | 74.50 | 62.95 |

---
> **买入纪律**：次日开盘承接，不追涨停/高开；止损=现价-2×ATR14；
> 未突破仅观察不追；高热度(≥15%)回避；买点窗口=回踩1-2日。
