# 中报猎手×EGPT 回踩择时
报告日期: 20260902 | 推送时间: 2026-09-02 19:04

> 口径：中报业绩正 + EGPT回踩择时。回测最优组合
> (白名单主题×甜区热度5~15%×扣非≥50%×突破确认) T+5胜率72%/+5.2%。

## 🎯 主题优选·确认买点（1 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 视源股份(002841) | 买点2 | 31 | 0 | +282% | +246% | 消费电子(优选) | 49.65 | 45.73 |

## ✅ 次日可买入（3 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 永辉超市(601933) | 未突破 | 65 | 1 | +205% | +105% | 消费(热度-4%) | 3.18 | 2.92 |
| 汤姆猫(300459) | 买点1 | 64 | 1 | +270% | +265% | 传媒(无热度数据) | 3.76 | 3.51 |
| 吉宏股份(002803) | 买点2 | 62 | 1 | +34% | +31% | 冷门(无主题) | 20.58 | 19.08 |

## ⚠️ 观察/等回踩（形态未确认需触发）（34 只）

| 股票 | 买点 | 回踩分 | 回踩日 | 净利 | 扣非 | 主题状态 | 现价 | 止损 |
|------|:---:|:---:|:---:|:---:|:---:|------|:---:|:---:|
| 视源股份(002841) | 买点2 | 31 | 0 | +282% | +246% | 消费电子(优选) | 49.65 | 45.73 |
| 奥浦迈(688293) | 未突破 | 30 | 0 | +230% | +67% | 创新药(白名单) | 55.88 | 48.09 |
| 中兵红箭(000519) | 买点1 | 56 | 0 | +191% | +199% | 军工(热度3%) | 15.62 | 14.73 |
| 力鼎光电(605118) | 买点1 | 54 | 0 | +37% | +34% | 低空经济(热度2%) | 34.44 | 31.30 |
| 神马电力(603530) | 买点2 | 50 | 0 | +34% | +32% | 电力(热度-3%) | 50.39 | 44.18 |
| 联化科技(002250) | 未突破 | 39 | 0 | +64% | +72% | 化工(热度7%) | 15.74 | 14.34 |
| 南亚新材(688519) | 未突破 | 50 | 2 | +429% | +458% | 消费电子(优选) | 291.52 | 243.88 |
| 三利谱(002876) | 未突破 | 50 | 2 | +85% | +242% | 消费电子(优选) | 29.95 | 27.51 |
| 弘信电子(300657) | 未突破 | 50 | 2 | +130% | +88% | 消费电子(优选) | 35.31 | 31.45 |
| 全志科技(300458) | 未突破 | 59 | 2 | +204% | +238% | 半导体(白名单) | 33.40 | 30.18 |
| 芯导科技(688230) | 未突破 | 57 | 2 | +50% | +88% | 半导体(白名单) | 58.03 | 52.75 |
| 赛意信息(300687) | 买点2 | 56 | 2 | +208% | +274% | 信创(白名单) | 29.62 | 26.27 |
| 德福科技(301511) | 未突破 | 54 | 2 | +581% | +1917% | 新能源车(白名单) | 90.75 | 75.41 |
| 复旦微电(688385) | 未突破 | 52 | 2 | +339% | +126% | 半导体(白名单) | 55.29 | 50.18 |
| 中科创达(300496) | 未突破 | 52 | 2 | +55% | +71% | 智能驾驶(白名单) | 58.93 | 54.90 |
| 中安科(600654) | 买点1 | 49 | 1 | +1826% | +623% | 信创(白名单) | 3.32 | 2.99 |
| 伟测科技(688372) | 未突破 | 41 | 2 | +58% | +171% | 半导体(白名单) | 123.14 | 107.57 |
| 泛微网络(603039) | 未突破 | 33 | 2 | +75% | +75% | 信创(白名单) | 39.71 | 34.77 |
| 国科天成(301571) | 买点2 | 55 | 2 | +49% | +52% | 低空经济(热度2%) | 67.96 | 61.91 |
| 福立旺(688678) | 买点2 | 55 | 2 | +486% | +373% | 军工(热度3%) | 20.36 | 17.91 |
| 华凯易佰(300592) | 未突破 | 53 | 2 | +349% | +569% | 消费(热度-4%) | 16.64 | 14.94 |
| 依米康(300249) | 买点2 | 50 | 2 | +41% | +32% | AI算力(热度1%) | 13.67 | 12.40 |
| 日出东方(603366) | 买点1 | 50 | 2 | -11% | +518% | 冷门(无主题) | 7.84 | 7.13 |
| 步步高(002251) | 未突破 | 48 | 1 | -29% | +475% | 冷门(无主题) | 3.76 | 3.45 |
| 润泽科技(300442) | 未突破 | 47 | 2 | +36% | +37% | AI算力(热度1%) | 64.41 | 58.88 |
| 风语筑(603466) | 买点1 | 46 | 2 | +453% | +858% | 传媒(无热度数据) | 12.06 | 10.74 |
| 飞南资源(301500) | 买点1 | 46 | 2 | +307% | +353% | 节能环保(无热度数据) | 25.00 | 22.01 |
| 恒誉科技(688309) | 买点2 | 41 | 2 | +866% | +971% | 节能环保(无热度数据) | 80.95 | 72.93 |
| 华锦股份(000059) | 买点1 | 40 | 1 | +137% | +134% | 高端材料(热度7%) | 5.88 | 5.29 |
| 禾川科技(688320) | 未突破 | 40 | 2 | +159% | +123% | 冷门(无主题) | 33.34 | 29.62 |
| 天铁科技(300587) | 未突破 | 37 | 2 | +147% | +135% | 化工(热度7%) | 4.97 | 4.53 |
| 南极电商(002127) | 未突破 | 36 | 2 | +279% | +472% | 冷门(无主题) | 3.00 | 2.80 |
| 蓝色光标(300058) | 未突破 | 29 | 2 | +119% | +48% | 传媒(无热度数据) | 13.55 | 12.08 |
| 宏和科技(603256) | 未突破 | 25 | 2 | +334% | +351% | 冷门(无主题) | 136.30 | 116.26 |

---
> **买入纪律**：次日开盘承接，不追涨停/高开；止损=现价-2×ATR14；
> 未突破仅观察不追；高热度(≥15%)回避；买点窗口=回踩1-2日。
