轮动路径（近30天）
==============================
  半导体 -> 核聚变: 2次
  AI应用 -> 有色资源: 1次
  煤炭链 -> 电商: 1次
  煤炭链 -> 煤电: 1次
  煤炭链 -> 电网设备: 1次
  煤炭链 -> 低空经济: 1次
  煤炭链 -> 液冷: 1次
  煤炭链 -> 核聚变: 1次
  煤炭链 -> 消费电子: 1次
  煤炭链 -> 电力运营: 1次
  保险 -> 电商: 1次
  保险 -> 煤电: 1次
  保险 -> 电网设备: 1次
  保险 -> 低空经济: 1次
  保险 -> 液冷: 1次
  保险 -> 核聚变: 1次
  保险 -> 消费电子: 1次
  保险 -> 电力运营: 1次
  券商 -> 电商: 1次
  券商 -> 煤电: 1次
