id,concept_name,ts_code,name
TS35,集成电路概念,000021.SZ,深科技
TS35,集成电路概念,000066.SZ,中国长城
TS35,集成电路概念,000581.SZ,威孚高科
TS35,集成电路概念,000636.SZ,风华高科
TS35,集成电路概念,000725.SZ,京东方A
TS35,集成电路概念,000733.SZ,振华科技
TS35,集成电路概念,000818.SZ,航锦科技
TS35,集成电路概念,002023.SZ,海特高新
TS35,集成电路概念,002036.SZ,联创电子
TS35,集成电路概念,002049.SZ,紫光国微
TS35,集成电路概念,002077.SZ,*ST大港
TS35,集成电路概念,002079.SZ,苏州固锝
TS35,集成电路概念,002119.SZ,康强电子
TS35,集成电路概念,002129.SZ,中环股份
TS35,集成电路概念,002151.SZ,北斗星通
TS35,集成电路概念,002156.SZ,通富微电
TS35,集成电路概念,002158.SZ,汉钟精机
TS35,集成电路概念,002180.SZ,纳思达
TS35,集成电路概念,002185.SZ,华天科技
TS35,集成电路概念,002213.SZ,大为股份
TS35,集成电路概念,002328.SZ,新朋股份
TS35,集成电路概念,002331.SZ,皖通科技
TS35,集成电路概念,002334.SZ,英威腾
TS35,集成电路概念,002371.SZ,北方华创
TS35,集成电路概念,002384.SZ,东山精密
TS35,集成电路概念,002404.SZ,嘉欣丝绸
TS35,集成电路概念,002436.SZ,兴森科技
TS35,集成电路概念,002446.SZ,盛路通信
TS35,集成电路概念,002506.SZ,协鑫集成
TS35,集成电路概念,002553.SZ,南方轴承
TS35,集成电路概念,002579.SZ,中京电子
TS35,集成电路概念,002618.SZ,丹邦科技
TS35,集成电路概念,002669.SZ,康达新材
TS35,集成电路概念,002741.SZ,光华科技
TS35,集成电路概念,002859.SZ,洁美科技
TS35,集成电路概念,002916.SZ,深南电路
TS35,集成电路概念,002963.SZ,豪尔赛
TS35,集成电路概念,002975.SZ,博杰股份
TS35,集成电路概念,300024.SZ,机器人
TS35,集成电路概念,300046.SZ,台基股份
TS35,集成电路概念,300053.SZ,欧比特
TS35,集成电路概念,300054.SZ,鼎龙股份
TS35,集成电路概念,300077.SZ,国民技术
TS35,集成电路概念,300101.SZ,振芯科技
TS35,集成电路概念,300102.SZ,乾照光电
TS35,集成电路概念,300123.SZ,亚光科技
TS35,集成电路概念,300131.SZ,英唐智控
TS35,集成电路概念,300139.SZ,晓程科技
TS35,集成电路概念,300180.SZ,华峰超纤
TS35,集成电路概念,300183.SZ,东软载波
TS35,集成电路概念,300195.SZ,长荣股份
TS35,集成电路概念,300223.SZ,北京君正
TS35,集成电路概念,300236.SZ,上海新阳
TS35,集成电路概念,300252.SZ,金信诺
TS35,集成电路概念,300260.SZ,新莱应材
TS35,集成电路概念,300316.SZ,晶盛机电
TS35,集成电路概念,300327.SZ,中颖电子
TS35,集成电路概念,300346.SZ,南大光电
TS35,集成电路概念,300373.SZ,扬杰科技
TS35,集成电路概念,300376.SZ,易事特
TS35,集成电路概念,300395.SZ,菲利华
TS35,集成电路概念,300398.SZ,飞凯材料
TS35,集成电路概念,300405.SZ,科隆股份
TS35,集成电路概念,300429.SZ,强力新材
TS35,集成电路概念,300456.SZ,赛微电子
TS35,集成电路概念,300458.SZ,全志科技
TS35,集成电路概念,300474.SZ,景嘉微
