ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920015.BJ,20250925,39.0,49.0,36.03,42.29,18.15,24.14,133.0028,283119.14,1132228.166
920015.BJ,20250926,43.94,54.97,43.93,54.97,42.29,12.68,29.9834,232137.4,1157918.071
920015.BJ,20250929,54.8,57.88,51.8,53.0,54.97,-1.97,-3.5838,165828.86,899845.451
920015.BJ,20250930,54.5,54.85,46.0,46.52,53.0,-6.48,-12.2264,154441.65,765377.76
920015.BJ,20251009,46.6,52.36,45.15,50.35,46.52,3.83,8.233,129846.49,630645.461
920015.BJ,20251010,48.2,49.3,46.68,48.09,50.35,-2.26,-4.4886,79478.29,380437.833
920015.BJ,20251013,45.02,53.45,45.02,53.0,48.09,4.91,10.21,102631.77,508350.019
920015.BJ,20251014,52.0,54.99,49.5,51.4,53.0,-1.6,-3.0189,96804.44,501755.259
920015.BJ,20251015,50.38,50.67,47.99,49.15,51.4,-2.25,-4.3774,74684.02,367518.466
920015.BJ,20251016,48.51,50.09,45.77,46.9,49.15,-2.25,-4.5778,71382.24,338592.284
920015.BJ,20251017,47.8,50.61,46.88,47.0,46.9,0.1,0.2132,81406.6,395195.475
920015.BJ,20251020,46.66,47.4,44.04,44.75,47.0,-2.25,-4.7872,64536.0,294155.249
920015.BJ,20251021,45.28,47.77,44.75,46.55,44.75,1.8,4.0223,61436.41,283222.819
920015.BJ,20251022,45.57,48.96,44.81,47.92,46.55,1.37,2.9431,67236.58,313925.025
920015.BJ,20251023,47.1,50.39,47.1,47.55,47.92,-0.37,-0.7721,61015.22,297190.839
920015.BJ,20251024,47.06,49.5,46.13,49.15,47.55,1.6,3.3649,63573.2,305714.577
920015.BJ,20251027,53.3,59.88,50.13,50.19,49.15,1.04,2.116,124164.44,674871.741
920015.BJ,20251028,48.9,50.87,48.01,48.4,50.19,-1.79,-3.5664,73630.55,362304.894
920015.BJ,20251029,50.0,62.92,48.34,62.92,48.4,14.52,30.0,135565.03,746335.47
920015.BJ,20251030,61.5,65.65,57.1,58.33,62.92,-4.59,-7.295,132138.39,809909.706
920015.BJ,20251031,56.9,62.88,56.9,58.87,58.33,0.54,0.9258,89711.06,537796.565
920015.BJ,20251103,58.01,65.33,58.0,63.66,58.87,4.79,8.1366,91432.74,568158.412
920015.BJ,20251104,65.65,68.58,61.7,63.66,63.66,0.0,0.0,74670.28,482304.951
920015.BJ,20251105,61.8,64.9,58.85,62.7,63.66,-0.96,-1.508,72735.15,444949.411
920015.BJ,20251106,61.99,65.4,60.7,60.93,62.7,-1.77,-2.823,67974.8,428977.172
920015.BJ,20251107,61.0,70.35,61.0,66.69,60.93,5.76,9.4535,103418.61,683965.081
920015.BJ,20251110,66.0,67.88,62.62,63.86,66.69,-2.83,-4.2435,80519.21,522229.677
920015.BJ,20251111,63.0,63.0,58.03,58.4,63.86,-5.46,-8.55,74728.07,447608.426
920015.BJ,20251112,58.91,59.75,56.67,57.8,58.4,-0.6,-1.0274,44746.29,261148.817
920015.BJ,20251113,57.29,60.69,57.29,59.0,57.8,1.2,2.0761,51224.05,303520.69
920015.BJ,20251114,58.5,59.5,57.04,58.46,59.0,-0.54,-0.9153,43929.22,255723.015
920015.BJ,20251117,59.9,60.88,58.58,58.99,58.46,0.53,0.9066,41174.45,245318.77
920015.BJ,20251118,58.14,58.23,53.51,53.66,58.99,-5.33,-9.0354,60058.32,332462.213
920015.BJ,20251119,53.0,55.55,52.45,54.47,53.66,0.81,1.5095,37915.05,205392.486
920015.BJ,20251120,55.04,56.2,51.3,51.35,54.47,-3.12,-5.7279,45992.62,246150.609
920015.BJ,20251121,50.48,52.4,49.5,50.68,51.35,-0.67,-1.3048,44307.45,225031.376
920015.BJ,20251124,50.7,51.37,49.86,50.88,50.68,0.2,0.3946,29300.76,148365.358
920015.BJ,20251125,50.38,50.55,49.02,49.6,50.88,-1.28,-2.5157,38145.19,189877.443
920015.BJ,20251126,49.21,50.2,48.55,49.05,49.6,-0.55,-1.1089,32400.98,159080.454
920015.BJ,20251127,49.0,51.8,48.7,49.38,49.05,0.33,0.6728,42849.23,215879.213
920015.BJ,20251128,48.99,49.39,47.58,48.2,49.38,-1.18,-2.3896,33031.05,159780.266
920015.BJ,20251201,48.2,51.22,48.06,50.99,48.2,2.79,5.7884,43530.13,217141.918
920015.BJ,20251202,50.0,51.5,49.6,51.3,50.99,0.31,0.608,35573.78,180135.096
920015.BJ,20251203,50.99,51.3,48.39,48.59,51.3,-2.71,-5.2827,33339.56,165401.987
920015.BJ,20251204,48.5,48.8,46.4,46.55,48.59,-2.04,-4.1984,32791.96,154994.988
920015.BJ,20251205,46.49,48.8,45.82,48.38,46.55,1.83,3.9313,30532.23,144624.856
920015.BJ,20251208,48.0,49.95,47.83,49.18,48.38,0.8,1.6536,21911.12,107696.803
920015.BJ,20251209,49.22,49.86,47.94,48.36,49.18,-0.82,-1.6673,22713.53,110724.887
920015.BJ,20251210,48.08,48.5,47.01,47.63,48.36,-0.73,-1.5095,20015.85,94994.057
920015.BJ,20251211,47.59,52.8,47.26,50.01,47.63,2.38,4.9969,54705.95,274899.674
920015.BJ,20251212,49.1,52.78,49.1,51.58,50.01,1.57,3.1394,49228.41,253033.208
920015.BJ,20251215,51.08,53.64,50.62,51.02,51.58,-0.56,-1.0857,39622.97,206534.489
920015.BJ,20251216,50.33,53.2,49.71,52.8,51.02,1.78,3.4888,46620.83,240873.112
920015.BJ,20251217,52.3,52.85,50.35,51.11,52.8,-1.69,-3.2008,32500.31,167199.26
920015.BJ,20251218,50.76,52.35,49.74,49.81,51.11,-1.3,-2.5435,29071.11,147698.917
920015.BJ,20251219,49.6,50.49,49.2,49.84,49.81,0.03,0.0602,20844.63,103980.613
920015.BJ,20251222,49.9,51.66,49.52,50.33,49.84,0.49,0.9831,22990.63,116240.629
920015.BJ,20251223,50.18,54.2,49.62,52.65,50.33,2.32,4.6096,57094.2,301266.717
920015.BJ,20251224,52.28,53.68,51.71,51.81,52.65,-0.84,-1.5954,32660.97,170611.164
920015.BJ,20251225,51.67,52.54,50.6,51.81,51.81,0.0,0.0,29845.14,153301.765
920015.BJ,20251226,51.93,51.98,50.22,50.3,51.81,-1.51,-2.9145,30668.13,156177.657
920015.BJ,20251229,50.09,50.2,48.5,48.55,50.3,-1.75,-3.4791,29344.58,144113.22
920015.BJ,20251230,48.58,48.92,47.64,47.67,48.55,-0.88,-1.8126,18031.56,86552.976
920015.BJ,20251231,47.67,48.22,47.41,47.7,47.67,0.03,0.0629,15001.4,71706.458
920015.BJ,20260105,47.88,51.52,47.63,50.4,47.7,2.7,5.6604,47067.93,235009.117
920015.BJ,20260106,50.49,53.97,50.45,53.86,50.4,3.46,6.8651,61978.15,326108.827
920015.BJ,20260107,60.1,64.76,56.91,57.5,53.86,3.64,6.7583,94606.55,567990.458
920015.BJ,20260108,57.6,60.7,56.7,57.33,57.5,-0.17,-0.2957,67401.64,394640.067
920015.BJ,20260109,56.75,60.5,56.7,57.36,57.33,0.03,0.0523,48168.54,280642.625
920015.BJ,20260112,57.66,57.66,55.08,56.6,57.36,-0.76,-1.325,45049.87,252402.682
920015.BJ,20260113,56.1,57.55,53.71,53.86,56.6,-2.74,-4.841,37299.8,206575.04
920015.BJ,20260114,54.0,55.84,53.56,54.95,53.86,1.09,2.0238,34064.0,186339.171
920015.BJ,20260115,54.24,57.48,54.24,56.4,54.95,1.45,2.6388,39982.84,224952.173
920015.BJ,20260116,56.8,57.99,55.52,56.88,56.4,0.48,0.8511,41234.32,235665.448
920015.BJ,20260119,60.18,63.0,57.13,57.16,56.88,0.28,0.4923,56161.58,335097.936
920015.BJ,20260120,57.16,58.9,55.85,57.64,57.16,0.48,0.8397,39335.77,225833.898
920015.BJ,20260121,57.27,57.27,54.73,55.99,57.64,-1.65,-2.8626,29620.22,165184.759
920015.BJ,20260122,56.4,57.48,55.3,56.7,55.99,0.71,1.2681,23874.87,134795.319
920015.BJ,20260123,56.48,57.96,56.18,57.29,56.7,0.59,1.0406,24106.22,137614.368
920015.BJ,20260126,56.95,57.46,54.15,54.89,57.29,-2.4,-4.1892,21826.32,121108.866
920015.BJ,20260127,55.2,55.2,53.68,54.11,54.89,-0.78,-1.421,19095.07,103810.053
920015.BJ,20260128,54.18,55.5,54.18,54.59,54.11,0.48,0.8871,20625.83,113169.456
920015.BJ,20260129,54.4,54.67,50.94,51.01,54.59,-3.58,-6.558,36066.5,190052.078
920015.BJ,20260130,51.36,52.31,50.56,51.98,51.01,0.97,1.9016,14775.68,76127.118
920015.BJ,20260202,51.5,51.52,49.77,49.85,51.98,-2.13,-4.0977,12594.74,63638.492
920015.BJ,20260203,50.43,50.73,49.5,50.62,49.85,0.77,1.5446,13557.43,67947.164
920015.BJ,20260204,50.29,50.36,49.23,49.71,50.62,-0.91,-1.7977,11881.23,59114.326
920015.BJ,20260205,49.73,49.83,49.02,49.22,49.71,-0.49,-0.9857,8641.57,42708.897
920015.BJ,20260206,49.0,50.28,48.68,49.39,49.22,0.17,0.3454,10933.76,54287.034
