ts_code,circ_mv,total_mv,turnover_rate,pe_ttm
603055.SH,779717.3447,782567.7659,1.027,15.6565
600285.SH,1243772.3382,1246519.8382,1.231,15.7983
002062.SZ,1086461.1274,1195203.6788,1.9986,45.6507
600854.SH,303363.7862,303363.7862,10.9753,24.0509
688308.SH,1719605.8976,1719605.8976,5.8688,57.3504
000626.SZ,431177.062,433672.5956,3.2431,
603042.SH,368553.6828,368553.6828,10.5221,
603407.SH,261942.0696,2975041.9349,40.1504,117.5521
688377.SH,822949.4286,822949.4286,2.5685,71.2817
002017.SZ,1111444.5499,1112107.5376,1.7778,67.1501
000525.SZ,583674.0026,684158.234,2.1581,
300351.SZ,685132.2113,1011543.2887,7.989,578.2486
001331.SZ,1046941.497,1498976.64,2.862,
688327.SH,1142647.6658,1423850.0209,3.5449,
300139.SZ,1238393.8925,1452200.0,9.5515,78.3609
603729.SH,129768.4608,129768.4608,5.693,
000995.SZ,262741.248,262741.248,21.3931,448.2235
002357.SZ,371471.1764,371484.5077,3.3741,21.7583
603701.SH,658631.9905,658631.9905,1.7542,434.1517
300864.SZ,372037.5691,372037.5691,1.9131,24.3982
600403.SH,1305383.5715,1305383.5715,0.8608,
601966.SH,1890845.4664,1890845.4664,1.1282,18.091
603444.SH,2749592.7019,2749592.7019,2.0673,13.5588
000035.SZ,1487275.556,1535505.0705,2.5262,53.1189
600197.SH,575380.4559,575380.4559,1.5411,32.4963
603580.SH,334131.3724,334131.3724,2.0726,81.0612
600516.SH,2242465.495,2242465.495,1.4938,236.1487
300436.SZ,1692754.6982,1971884.727,11.3165,
603557.SH,311718.444,311718.444,2.5343,
603861.SH,858424.4403,877817.3989,4.6084,43.5467
920471.BJ,77848.9311,122137.6,15.9614,
601222.SH,1275762.5975,1275762.5975,1.6902,70.5407
301596.SZ,228047.5759,561917.7146,4.8765,55.2672
600261.SH,467268.5381,467268.5381,2.3828,34.3533
688182.SH,1460000.0,1460000.0,2.8816,146.9761
000629.SZ,3437464.4391,3437650.7027,1.9471,449.0322
300433.SZ,16057100.7291,17055611.751,3.5563,49.5898
000813.SZ,824026.8922,824162.4772,2.3971,
603004.SH,121292.8,485171.2,3.903,34.1835
600722.SH,852440.554,852440.554,14.4224,179.2167
000600.SZ,1081330.469,1788808.501,6.4034,8.7937
600322.SH,296327.6,296327.6,2.5858,
600448.SH,222956.1603,222956.1603,3.6747,
688253.SH,821768.9117,821768.9117,3.4337,91.4955
603377.SH,259698.3258,259698.3258,2.3644,
002487.SZ,5095312.0682,5150463.7425,2.2623,39.4073
300263.SZ,1116979.4409,1185082.2158,6.7725,56.5516
603421.SH,559579.4584,559579.4584,2.6836,
688006.SH,1938994.9522,1938994.9522,1.9624,50.9361
301525.SZ,369520.9536,705452.0246,3.144,84.9422
000410.SZ,1168813.8715,1570900.2943,1.6473,
300234.SZ,269685.8425,394486.1346,7.1046,
603400.SH,166080.0,830400.0,16.0163,74.6827
300599.SZ,379537.7285,430116.012,4.0602,
000554.SZ,278155.0021,368768.4749,4.7309,21.8264
002038.SZ,533296.4838,643121.1,6.5302,
000158.SZ,2710565.0944,2728838.7427,2.0899,862.8509
002122.SZ,568487.9094,572429.1645,0.759,151.4612
300223.SZ,5967055.46,6846287.7779,7.0202,110.1929
301183.SZ,1562215.6118,2131151.9789,18.0596,196.3215
600177.SH,3546179.9388,3546179.9388,0.3438,13.8217
002160.SZ,489596.5073,490571.0543,2.0849,72.5803
301439.SZ,312436.0054,663418.5843,3.0631,32.2748
002817.SZ,229131.0431,236287.5543,2.1213,37.2041
603876.SH,2694874.9177,2694874.9177,5.5617,43.3671
603611.SH,486865.495,486865.495,1.8555,12.7728
688053.SH,404300.0,404300.0,1.2141,
601229.SH,13526985.0065,13526985.0065,0.4682,5.5816
603160.SH,3087897.611,3087897.611,1.3608,40.687
301217.SZ,7119585.4919,7119585.4919,6.1853,433.4724
300419.SZ,265885.9757,265885.9757,2.4514,
688820.SH,2676532.9136,28835743.0216,26.6889,292.5767
301073.SZ,427942.3497,468043.6677,2.2559,173.6852
603991.SH,932283.755,1910093.0527,2.5336,1027.1943
000803.SZ,388520.6741,394020.2493,2.8581,86.0821
688105.SH,783934.7862,783934.7862,0.6035,
920101.BJ,94610.8511,303192.9398,2.5599,28.5543
601868.SH,10442050.2988,14245339.0042,5.807,25.0661
600779.SH,1588285.4191,1588285.4191,1.2709,41.0799
301687.SZ,182735.0558,908647.568,15.1303,72.6743
601456.SH,4149378.5729,5385201.9801,0.5152,25.2882
002664.SZ,905393.6219,918041.8,2.8845,58.9192
603301.SH,2374622.1488,2374622.1488,0.512,89.9398
300339.SZ,3452928.1355,3536064.134,5.1319,247.2273
600287.SH,247226.5779,247226.5779,1.0778,108.2444
688387.SH,4154561.032,7042625.0,5.4489,
600151.SH,2079665.8162,2079665.8162,5.6479,
000536.SZ,1105233.0064,1106413.1212,1.9506,
688269.SH,556799.04,556799.04,2.6153,41.092
002885.SZ,1061957.0727,1212624.3488,19.3916,125.2684
001388.SZ,120057.6,600288.0,4.2468,51.2349
002289.SZ,1285161.4641,1312428.2316,1.2331,391.5049
600901.SH,3902764.9385,3903717.9745,0.6726,11.8632
002353.SZ,9582632.4742,14197808.8362,2.9118,50.6513
300435.SZ,832550.0512,870554.241,5.7117,22.1696
300084.SZ,471901.9482,672599.8364,7.9328,
002365.SZ,327460.1034,393401.1375,2.9176,113.7086
300653.SZ,315360.0,315360.0,1.035,44.7112
002206.SZ,636215.2636,699648.7464,1.6398,14.0545
