ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
560400.SH,20260515,0.967,0.966,0.967,0.942,0.947,-0.02,-2.0683,232905.0,22304.783
560400.SH,20260514,0.987,0.988,0.989,0.966,0.967,-0.02,-2.0263,213934.0,21014.546
560400.SH,20260513,0.993,0.996,0.996,0.977,0.987,-0.006,-0.6042,255135.0,25049.221
560400.SH,20260512,0.989,0.989,1.0,0.98,0.993,0.004,0.4044,351940.0,34934.811
560400.SH,20260511,0.974,0.974,0.994,0.967,0.989,0.015,1.54,377460.0,36995.457
560400.SH,20260508,0.98,0.98,0.98,0.97,0.974,-0.006,-0.6122,148662.0,14487.064
560400.SH,20260507,0.984,0.986,0.989,0.975,0.98,-0.004,-0.4065,180297.0,17638.321
560400.SH,20260506,0.971,0.973,0.99,0.973,0.984,0.013,1.3388,207988.0,20405.007
560400.SH,20260430,0.968,0.968,0.984,0.967,0.971,0.003,0.3099,273984.0,26696.192
560400.SH,20260429,0.964,0.96,0.969,0.959,0.968,0.004,0.4149,244346.0,23508.584
560400.SH,20260428,0.953,0.958,0.973,0.958,0.964,0.011,1.1542,247371.0,23894.509
560400.SH,20260427,0.952,0.957,0.962,0.951,0.953,0.001,0.105,246505.0,23540.307
560400.SH,20260424,0.961,0.958,0.958,0.947,0.952,-0.009,-0.9365,271739.0,25804.136
560400.SH,20260423,0.969,0.966,0.967,0.957,0.961,-0.008,-0.8256,216760.0,20857.999
560400.SH,20260422,0.962,0.96,0.976,0.956,0.969,0.007,0.7277,247588.0,23931.04
560400.SH,20260421,0.97,0.966,0.966,0.959,0.962,-0.008,-0.8247,165274.0,15885.446
560400.SH,20260420,0.968,0.974,0.974,0.966,0.97,0.002,0.2066,242112.0,23483.731
560400.SH,20260417,0.971,0.969,0.972,0.964,0.968,-0.003,-0.309,211814.0,20478.843
560400.SH,20260416,0.965,0.966,0.978,0.966,0.971,0.006,0.6218,252146.0,24536.808
560400.SH,20260415,0.972,0.971,0.974,0.965,0.965,-0.007,-0.7202,198926.0,19284.308
560400.SH,20260414,0.967,0.971,0.976,0.961,0.972,0.005,0.5171,212245.0,20533.319
560400.SH,20260413,0.962,0.962,0.974,0.954,0.967,0.005,0.5198,207310.0,20024.73
560400.SH,20260410,0.929,0.938,0.982,0.938,0.962,0.033,3.5522,436342.0,42272.352
560400.SH,20260409,0.95,0.941,0.941,0.927,0.929,-0.021,-2.2105,227989.0,21233.532
560400.SH,20260408,0.913,0.93,0.95,0.93,0.95,0.037,4.0526,226504.0,21273.0
560400.SH,20260407,0.917,0.918,0.919,0.909,0.913,-0.004,-0.4362,159863.0,14594.508
560400.SH,20260403,0.924,0.923,0.928,0.915,0.917,-0.007,-0.7576,143220.0,13206.589
560400.SH,20260402,0.94,0.94,0.94,0.921,0.924,-0.016,-1.7021,272634.0,25242.85
560400.SH,20260401,0.928,0.937,0.942,0.934,0.94,0.012,1.2931,338098.0,31723.931
560400.SH,20260331,0.934,0.934,0.944,0.926,0.928,-0.006,-0.6424,309259.0,28938.68
560400.SH,20260330,0.939,0.93,0.936,0.925,0.934,-0.005,-0.5325,318066.0,29622.084
560400.SH,20260327,0.933,0.93,0.941,0.929,0.939,0.006,0.6431,291671.0,27313.829
560400.SH,20260326,0.954,0.953,0.953,0.93,0.933,-0.021,-2.2013,208166.0,19581.334
560400.SH,20260325,0.944,0.94,0.96,0.94,0.954,0.01,1.0593,255796.0,24370.487
560400.SH,20260324,0.933,0.941,0.95,0.931,0.944,0.011,1.179,296658.0,27878.649
560400.SH,20260323,0.971,0.958,0.958,0.928,0.933,-0.038,-3.9135,268268.0,25439.097
560400.SH,20260320,0.989,0.989,0.991,0.971,0.971,-0.018,-1.82,310017.0,30406.722
560400.SH,20260319,1.002,0.992,0.997,0.987,0.989,-0.013,-1.2974,613301.0,60831.524
