ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159160.SZ,20260327,0.988,0.98,1.012,0.972,1.002,0.014,1.417,921002.53,92057.616
159160.SZ,20260330,1.002,1.0,1.005,0.975,0.993,-0.009,-0.8982,193630.75,19233.857
159160.SZ,20260331,0.993,0.991,0.991,0.958,0.96,-0.033,-3.3233,122168.28,11881.85
159160.SZ,20260401,0.96,0.961,0.981,0.945,0.954,-0.006,-0.625,118020.17,11259.051
159160.SZ,20260402,0.954,0.953,0.962,0.927,0.932,-0.022,-2.3061,102964.2,9692.701
159160.SZ,20260403,0.932,0.932,0.937,0.91,0.911,-0.021,-2.2532,91462.97,8384.211
159160.SZ,20260407,0.911,0.912,0.927,0.909,0.915,0.004,0.4391,75672.13,6931.957
159160.SZ,20260408,0.915,0.917,0.949,0.917,0.949,0.034,3.7158,130834.68,12311.298
159160.SZ,20260409,0.949,0.949,0.96,0.935,0.952,0.003,0.3161,92934.25,8815.425
159160.SZ,20260410,0.952,0.957,1.004,0.957,0.995,0.043,4.5168,281285.63,27910.168
159160.SZ,20260413,0.995,0.998,1.015,0.94,1.01,0.015,1.5075,372668.48,37609.879
159160.SZ,20260414,1.01,1.011,1.038,1.003,1.038,0.028,2.7723,508488.6,51880.597
159160.SZ,20260415,1.038,1.049,1.049,1.012,1.018,-0.02,-1.9268,237270.95,24380.855
159160.SZ,20260416,1.018,1.024,1.051,1.023,1.042,0.024,2.3576,328467.48,34163.668
159160.SZ,20260417,1.042,1.039,1.049,1.019,1.045,0.003,0.2879,194758.63,20293.626
159160.SZ,20260420,1.045,1.045,1.049,1.03,1.045,0.0,0.0,143918.47,14978.892
159160.SZ,20260421,1.045,1.045,1.07,1.03,1.067,0.022,2.1053,201021.46,21168.792
159160.SZ,20260422,1.067,1.068,1.083,1.058,1.07,0.003,0.2812,191511.18,20458.888
159160.SZ,20260423,1.07,1.072,1.072,1.043,1.055,-0.015,-1.4019,134502.0,14174.003
159160.SZ,20260424,1.055,1.055,1.079,1.042,1.073,0.018,1.7062,156671.22,16668.282
159160.SZ,20260427,1.073,1.07,1.078,1.059,1.073,0.0,0.0,110724.58,11836.075
159160.SZ,20260428,1.073,1.073,1.073,1.051,1.057,-0.016,-1.4911,96254.59,10195.123
159160.SZ,20260429,1.057,1.054,1.12,1.047,1.12,0.063,5.9603,261942.33,28573.688
159160.SZ,20260430,1.12,1.12,1.12,1.095,1.106,-0.014,-1.25,281311.25,31122.471
159160.SZ,20260506,1.106,1.115,1.156,1.109,1.15,0.044,3.9783,340186.85,38550.617
159160.SZ,20260507,1.15,1.15,1.15,1.129,1.141,-0.009,-0.7826,299114.2,34021.728
159160.SZ,20260508,1.141,1.132,1.15,1.116,1.117,-0.024,-2.1034,304160.21,34377.899
159160.SZ,20260511,1.117,1.115,1.136,1.11,1.129,0.012,1.0743,208367.31,23391.66
159160.SZ,20260512,1.129,1.13,1.145,1.103,1.115,-0.014,-1.24,234889.22,26128.889
159160.SZ,20260513,1.115,1.103,1.122,1.103,1.121,0.006,0.5381,230567.54,25661.936
159160.SZ,20260514,1.121,1.133,1.133,1.081,1.083,-0.038,-3.3898,204091.81,22536.107
159160.SZ,20260515,1.083,1.08,1.119,1.07,1.093,0.01,0.9234,217600.87,23757.945
