ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688232.SH,20250102,28.97,29.08,27.33,27.7,28.99,-1.29,-4.4498,24491.49,69067.599
688232.SH,20250103,27.62,27.87,26.55,26.74,27.7,-0.96,-3.4657,20433.38,55521.779
688232.SH,20250106,27.48,27.48,26.1,26.48,26.74,-0.26,-0.9723,25039.93,66568.621
688232.SH,20250107,26.27,26.91,26.07,26.73,26.48,0.25,0.9441,19728.19,52307.781
688232.SH,20250108,26.69,26.7,25.51,26.32,26.73,-0.41,-1.5339,22358.94,58435.654
688232.SH,20250109,26.3,27.15,26.2,26.8,26.32,0.48,1.8237,15705.0,41948.081
688232.SH,20250110,26.78,27.37,26.07,26.07,26.8,-0.73,-2.7239,12721.22,33871.54
688232.SH,20250113,25.71,27.68,25.55,27.3,26.07,1.23,4.7181,22911.59,61521.858
688232.SH,20250114,27.42,28.47,27.04,28.16,27.3,0.86,3.1502,26719.0,74851.482
688232.SH,20250115,27.51,28.3,27.51,27.96,28.16,-0.2,-0.7102,16816.14,46880.0
688232.SH,20250116,28.06,29.44,27.95,28.34,27.96,0.38,1.3591,22782.68,65577.585
688232.SH,20250117,28.34,29.07,28.01,28.56,28.34,0.22,0.7763,16409.48,46878.371
688232.SH,20250120,28.77,29.17,28.4,28.6,28.56,0.04,0.1401,15345.17,44129.781
688232.SH,20250121,28.79,28.89,28.21,28.36,28.6,-0.24,-0.8392,15608.7,44355.341
688232.SH,20250122,28.28,28.3,27.69,28.0,28.36,-0.36,-1.2694,12191.56,34089.677
688232.SH,20250123,28.3,29.03,28.06,28.1,28.0,0.1,0.3571,16519.69,47048.417
688232.SH,20250124,28.02,29.98,28.02,29.71,28.1,1.61,5.7295,25462.46,74779.937
688232.SH,20250127,29.64,30.23,29.18,29.52,29.71,-0.19,-0.6395,23797.82,70916.228
688232.SH,20250205,30.15,31.05,30.0,31.0,29.52,1.48,5.0136,41332.03,126575.622
688232.SH,20250206,30.31,32.23,30.2,32.0,31.0,1.0,3.2258,52282.69,165705.458
688232.SH,20250207,32.0,34.48,31.4,32.91,32.0,0.91,2.8438,55926.64,183581.478
688232.SH,20250210,35.06,37.44,35.0,36.24,32.91,3.33,10.1185,82269.32,296068.487
688232.SH,20250211,35.2,35.81,34.33,34.62,36.24,-1.62,-4.4702,53431.79,186816.885
688232.SH,20250212,34.62,35.7,34.3,35.29,34.62,0.67,1.9353,40016.08,140288.185
688232.SH,20250213,35.38,36.0,34.52,34.96,35.29,-0.33,-0.9351,37171.6,131311.891
688232.SH,20250214,34.96,37.8,34.73,37.55,34.96,2.59,7.4085,72022.11,260261.361
688232.SH,20250217,39.91,41.0,35.88,36.6,37.55,-0.95,-2.53,87949.15,330252.701
688232.SH,20250218,39.08,40.89,34.9,35.84,36.6,-0.76,-2.0765,126669.59,480606.268
