ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603660.SH,20250102,6.66,6.82,6.55,6.6,6.71,-0.11,-1.6393,235307.51,157413.823
603660.SH,20250103,6.63,6.7,6.14,6.17,6.6,-0.43,-6.5152,305480.68,193757.387
603660.SH,20250106,6.16,6.17,5.86,6.01,6.17,-0.16,-2.5932,206393.07,124612.761
603660.SH,20250107,6.07,6.28,6.07,6.27,6.01,0.26,4.3261,220066.11,135716.014
603660.SH,20250108,6.26,6.37,6.06,6.3,6.27,0.03,0.4785,246484.42,154100.023
603660.SH,20250109,6.24,6.47,6.24,6.4,6.3,0.1,1.5873,197158.89,126310.821
603660.SH,20250110,6.41,6.45,6.08,6.11,6.4,-0.29,-4.5313,162864.61,102277.879
603660.SH,20250113,6.0,6.18,5.82,6.13,6.11,0.02,0.3273,179797.37,108542.118
603660.SH,20250114,6.17,6.52,6.14,6.52,6.13,0.39,6.3622,229050.58,146196.503
603660.SH,20250115,6.6,6.62,6.45,6.53,6.52,0.01,0.1534,206350.26,134597.013
603660.SH,20250116,6.56,6.71,6.5,6.6,6.53,0.07,1.072,171058.29,112861.537
603660.SH,20250117,6.99,7.16,6.62,6.64,6.6,0.04,0.6061,443229.71,300162.146
603660.SH,20250120,6.76,6.89,6.63,6.84,6.64,0.2,3.012,325009.81,220637.831
603660.SH,20250121,6.85,6.92,6.63,6.68,6.84,-0.16,-2.3392,191739.35,128777.08
603660.SH,20250122,6.68,6.72,6.57,6.66,6.68,-0.02,-0.2994,142230.63,94694.022
603660.SH,20250123,6.72,6.87,6.6,6.6,6.66,-0.06,-0.9009,172967.37,116736.994
603660.SH,20250124,6.53,6.86,6.53,6.84,6.6,0.24,3.6364,205735.27,138599.386
603660.SH,20250127,6.94,7.14,6.84,6.95,6.84,0.11,1.6082,241776.61,169293.009
603660.SH,20250205,7.13,7.29,7.08,7.23,6.95,0.28,4.0288,244547.72,176022.284
603660.SH,20250206,7.16,7.37,7.07,7.36,7.23,0.13,1.7981,238093.92,173178.752
603660.SH,20250207,7.38,7.56,7.29,7.41,7.36,0.05,0.6793,272957.7,203398.716
603660.SH,20250210,7.51,7.78,7.42,7.77,7.41,0.36,4.8583,315718.08,240862.802
603660.SH,20250211,7.7,8.55,7.57,8.55,7.77,0.78,10.0386,392722.32,327411.146
603660.SH,20250212,8.55,8.55,8.17,8.2,8.55,-0.35,-4.0936,915245.06,756641.897
603660.SH,20250213,8.13,8.36,7.99,8.13,8.2,-0.07,-0.8537,554446.79,452773.871
603660.SH,20250214,8.06,8.11,7.87,8.01,8.13,-0.12,-1.476,406183.32,324655.822
603660.SH,20250217,8.06,8.15,7.93,8.06,8.01,0.05,0.6242,368976.52,297473.046
603660.SH,20250218,8.0,8.12,7.64,7.68,8.06,-0.38,-4.7146,327268.86,257382.414
603660.SH,20250219,7.8,7.98,7.67,7.88,7.68,0.2,2.6042,255913.46,200414.579
603660.SH,20250220,8.03,8.18,7.9,7.97,7.88,0.09,1.1421,293871.54,235097.09
603660.SH,20250221,7.98,8.13,7.87,8.09,7.97,0.12,1.5056,345834.72,278344.989
603660.SH,20250224,8.11,8.32,7.95,8.22,8.09,0.13,1.6069,450945.24,367933.094
603660.SH,20250225,8.05,8.21,7.96,8.0,8.22,-0.22,-2.6764,305427.32,246451.773
603660.SH,20250226,8.14,8.2,8.04,8.13,8.0,0.13,1.625,237077.87,192079.615
603660.SH,20250227,8.94,8.94,8.76,8.94,8.13,0.81,9.9631,380772.8,340318.023
603660.SH,20250228,9.59,9.83,9.28,9.44,8.94,0.5,5.5928,1046543.47,1009173.275
603660.SH,20250303,9.62,9.78,8.5,8.5,9.44,-0.94,-9.9576,1032173.42,910638.767
603660.SH,20250304,7.75,7.97,7.75,7.9,8.5,-0.6,-7.0588,838282.89,659536.332
603660.SH,20250305,7.81,7.93,7.7,7.88,7.9,-0.02,-0.2532,507475.47,396343.369
603660.SH,20250306,7.91,8.25,7.91,8.17,7.88,0.29,3.6802,617274.14,501435.706
603660.SH,20250307,8.21,8.43,7.98,8.03,8.17,-0.14,-1.7136,550486.75,450190.705
603660.SH,20250310,8.17,8.2,7.91,7.95,8.03,-0.08,-0.9963,297750.02,238369.467
603660.SH,20250311,7.77,7.94,7.75,7.92,7.95,-0.03,-0.3774,212469.57,166979.098
603660.SH,20250312,8.04,8.13,7.96,8.05,7.92,0.13,1.6414,311171.81,250738.791
603660.SH,20250313,8.01,8.02,7.74,7.82,8.05,-0.23,-2.8571,256458.48,201472.359
603660.SH,20250314,7.82,7.95,7.77,7.89,7.82,0.07,0.8951,191292.34,150312.114
603660.SH,20250317,7.97,8.23,7.95,8.02,7.89,0.13,1.6477,348581.76,282256.08
603660.SH,20250318,8.05,8.35,8.0,8.15,8.02,0.13,1.6209,438465.98,357301.781
603660.SH,20250319,8.06,8.09,7.93,7.99,8.15,-0.16,-1.9632,272064.65,217950.922
