ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000735.SZ,20250102,6.69,6.81,6.29,6.38,6.66,-0.28,-4.2042,410950.03,269723.317
000735.SZ,20250103,6.37,6.41,5.94,5.97,6.38,-0.41,-6.4263,359414.04,220177.527
000735.SZ,20250106,5.97,6.02,5.78,5.93,5.97,-0.04,-0.67,225673.01,133590.098
000735.SZ,20250107,5.97,6.05,5.9,6.03,5.93,0.1,1.6863,177180.0,106108.535
000735.SZ,20250108,5.99,6.02,5.76,5.95,6.03,-0.08,-1.3267,253516.01,149242.614
000735.SZ,20250109,5.91,6.03,5.87,5.98,5.95,0.03,0.5042,205607.0,122747.629
000735.SZ,20250110,5.99,5.99,5.76,5.76,5.98,-0.22,-3.6789,178390.8,104591.881
000735.SZ,20250113,5.7,5.8,5.58,5.77,5.76,0.01,0.1736,163134.47,93230.289
000735.SZ,20250114,5.79,6.04,5.79,6.03,5.77,0.26,4.5061,224599.87,133314.687
000735.SZ,20250115,6.03,6.11,5.96,6.08,6.03,0.05,0.8292,204225.0,123448.101
000735.SZ,20250116,6.1,6.22,6.04,6.14,6.08,0.06,0.9868,222988.01,136746.397
000735.SZ,20250117,6.12,6.14,6.03,6.11,6.14,-0.03,-0.4886,135925.42,82800.67
000735.SZ,20250120,6.17,6.22,6.08,6.14,6.11,0.03,0.491,148082.06,91195.553
000735.SZ,20250121,6.15,6.18,6.05,6.14,6.14,0.0,0.0,179218.63,109542.615
000735.SZ,20250122,6.1,6.11,5.99,6.03,6.14,-0.11,-1.7915,152111.0,91647.261
000735.SZ,20250123,6.09,6.18,6.01,6.02,6.03,-0.01,-0.1658,191626.72,116860.277
000735.SZ,20250124,6.0,6.06,5.94,6.04,6.02,0.02,0.3322,157916.0,94775.03
000735.SZ,20250127,6.09,6.35,6.09,6.13,6.04,0.09,1.4901,276327.0,171606.384
000735.SZ,20250205,6.13,6.26,6.07,6.19,6.13,0.06,0.9788,228346.5,141187.021
000735.SZ,20250206,6.2,6.22,6.02,6.22,6.19,0.03,0.4847,239682.1,146915.442
000735.SZ,20250207,6.19,6.43,6.16,6.34,6.22,0.12,1.9293,335761.64,212983.042
000735.SZ,20250210,6.32,6.41,6.3,6.34,6.34,0.0,0.0,239622.8,152112.443
000735.SZ,20250211,6.34,6.36,6.17,6.21,6.34,-0.13,-2.0505,201890.09,125502.231
000735.SZ,20250212,6.21,6.27,6.19,6.25,6.21,0.04,0.6441,185661.0,115618.164
000735.SZ,20250213,6.22,6.37,6.2,6.28,6.25,0.03,0.48,344750.31,217375.937
000735.SZ,20250214,6.26,6.29,6.15,6.17,6.28,-0.11,-1.7516,270781.91,167791.344
000735.SZ,20250217,6.15,6.22,6.11,6.19,6.17,0.02,0.3241,240529.91,148287.23
000735.SZ,20250218,6.19,6.2,5.96,6.0,6.19,-0.19,-3.0695,257460.0,156078.105
000735.SZ,20250219,5.98,6.12,5.97,6.09,6.0,0.09,1.5,228051.0,137746.572
000735.SZ,20250220,6.09,6.13,6.03,6.04,6.09,-0.05,-0.821,214879.32,130451.208
000735.SZ,20250221,6.04,6.17,6.0,6.09,6.04,0.05,0.8278,236385.34,143426.949
000735.SZ,20250224,6.15,6.3,6.15,6.23,6.09,0.14,2.2989,515140.8,320868.961
