ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600814.SH,20250102,8.1,9.05,8.1,8.69,8.29,0.4,4.8251,538588.98,466674.512
600814.SH,20250103,8.49,8.49,7.82,7.82,8.69,-0.87,-10.0115,316018.2,250051.341
600814.SH,20250106,7.43,7.56,7.12,7.29,7.82,-0.53,-6.7775,331962.62,243346.963
600814.SH,20250107,7.2,7.32,7.03,7.3,7.29,0.01,0.1372,239299.25,171749.826
600814.SH,20250108,7.28,7.52,7.13,7.43,7.3,0.13,1.7808,283802.59,208900.694
600814.SH,20250109,7.3,7.43,7.2,7.26,7.43,-0.17,-2.288,186105.0,135637.957
600814.SH,20250110,7.3,7.32,6.87,6.87,7.26,-0.39,-5.3719,180424.65,127381.941
600814.SH,20250113,6.79,6.98,6.62,6.87,6.87,0.0,0.0,115578.44,78934.257
600814.SH,20250114,6.91,7.23,6.9,7.22,6.87,0.35,5.0946,151623.0,107798.14
600814.SH,20250115,7.21,7.37,7.14,7.27,7.22,0.05,0.6925,130446.16,94694.04
600814.SH,20250116,7.29,7.55,7.23,7.46,7.27,0.19,2.6135,178974.0,133008.174
600814.SH,20250117,7.44,7.44,7.23,7.26,7.46,-0.2,-2.681,134417.16,97871.792
600814.SH,20250120,7.29,7.47,7.17,7.35,7.26,0.09,1.2397,115417.95,84930.37
600814.SH,20250121,7.42,7.53,7.34,7.47,7.35,0.12,1.6327,129613.0,96488.576
600814.SH,20250122,7.4,7.46,7.2,7.22,7.47,-0.25,-3.3467,102632.0,74923.471
600814.SH,20250123,7.32,7.42,7.23,7.24,7.22,0.02,0.277,109771.93,80305.398
600814.SH,20250124,7.24,7.29,7.13,7.22,7.24,-0.02,-0.2762,88152.0,63669.243
600814.SH,20250127,7.21,7.31,7.08,7.09,7.22,-0.13,-1.8006,86961.0,62511.215
600814.SH,20250205,7.12,7.16,6.99,7.06,7.09,-0.03,-0.4231,76488.14,53835.429
600814.SH,20250206,7.09,7.12,6.98,7.1,7.06,0.04,0.5666,88475.1,62433.129
600814.SH,20250207,7.11,7.29,7.07,7.2,7.1,0.1,1.4085,117805.93,84855.836
600814.SH,20250210,7.23,7.92,7.22,7.92,7.2,0.72,10.0,243293.82,184083.232
600814.SH,20250211,8.16,8.27,8.01,8.03,7.92,0.11,1.3889,434417.78,353286.252
600814.SH,20250212,8.01,8.14,7.91,8.07,8.03,0.04,0.4981,230912.87,184974.331
600814.SH,20250213,8.14,8.45,8.08,8.15,8.07,0.08,0.9913,285795.01,234760.696
600814.SH,20250214,8.05,8.33,7.87,8.13,8.15,-0.02,-0.2454,258492.47,208595.638
600814.SH,20250217,8.17,8.94,8.09,8.44,8.13,0.31,3.813,549135.62,468004.416
600814.SH,20250218,8.22,8.24,7.78,7.81,8.44,-0.63,-7.4645,380002.86,303729.389
600814.SH,20250219,7.8,8.07,7.71,7.96,7.81,0.15,1.9206,238103.61,187597.671
600814.SH,20250220,8.19,8.76,8.15,8.76,7.96,0.8,10.0503,397582.25,339026.477
600814.SH,20250221,8.7,9.15,8.4,8.92,8.76,0.16,1.8265,701918.24,610304.042
600814.SH,20250224,8.63,8.74,8.46,8.54,8.92,-0.38,-4.2601,347571.63,298446.328
600814.SH,20250225,8.45,8.85,8.41,8.67,8.54,0.13,1.5222,374889.99,325830.268
600814.SH,20250226,8.52,8.89,8.47,8.84,8.67,0.17,1.9608,339652.88,295129.269
600814.SH,20250227,8.74,9.71,8.7,9.04,8.84,0.2,2.2624,613563.88,563474.907
600814.SH,20250228,8.81,8.9,8.2,8.29,9.04,-0.75,-8.2965,444451.35,378429.994
600814.SH,20250303,8.35,8.38,8.11,8.2,8.29,-0.09,-1.0856,261331.4,215050.035
600814.SH,20250304,8.13,8.16,8.01,8.14,8.2,-0.06,-0.7317,170042.23,137281.181
600814.SH,20250305,8.17,8.66,8.15,8.36,8.14,0.22,2.7027,305866.62,257586.805
600814.SH,20250306,8.37,8.58,8.26,8.44,8.36,0.08,0.9569,284805.71,239328.351
600814.SH,20250307,8.38,8.55,8.31,8.39,8.44,-0.05,-0.5924,187078.0,157723.514
600814.SH,20250310,8.26,8.39,8.16,8.23,8.39,-0.16,-1.907,170722.5,140554.724
600814.SH,20250311,8.1,8.29,8.07,8.24,8.23,0.01,0.1215,130273.49,106322.921
600814.SH,20250312,8.19,8.38,8.18,8.29,8.24,0.05,0.6068,134587.0,111630.844
600814.SH,20250313,8.25,8.25,8.01,8.13,8.29,-0.16,-1.93,120990.0,98227.708
600814.SH,20250314,8.17,8.77,8.15,8.65,8.13,0.52,6.3961,332849.39,282508.454
600814.SH,20250317,8.8,8.92,8.6,8.67,8.65,0.02,0.2312,309988.89,271730.006
600814.SH,20250318,8.67,8.77,8.54,8.65,8.67,-0.02,-0.2307,163925.57,141684.615
600814.SH,20250319,8.67,8.88,8.63,8.74,8.65,0.09,1.0405,236904.92,208094.016
600814.SH,20250320,8.68,8.72,8.45,8.46,8.74,-0.28,-3.2037,175891.01,150655.183
600814.SH,20250321,8.43,8.43,8.18,8.22,8.46,-0.24,-2.8369,148077.51,122379.223
600814.SH,20250324,8.29,8.38,8.18,8.32,8.22,0.1,1.2165,128830.18,106661.85
600814.SH,20250325,8.28,8.3,8.01,8.05,8.32,-0.27,-3.2452,114965.0,92986.245
600814.SH,20250326,8.11,8.33,8.09,8.26,8.05,0.21,2.6087,121934.27,100494.809
600814.SH,20250327,8.21,8.4,8.13,8.31,8.26,0.05,0.6053,101077.0,83853.132
600814.SH,20250328,8.26,8.27,7.88,7.9,8.31,-0.41,-4.9338,146870.07,117715.762
600814.SH,20250331,7.82,7.85,7.68,7.79,7.9,-0.11,-1.3924,81726.0,63529.953
600814.SH,20250401,7.79,7.84,7.73,7.74,7.79,-0.05,-0.6418,61632.0,47952.704
600814.SH,20250402,7.72,7.8,7.71,7.78,7.74,0.04,0.5168,41464.6,32191.301
600814.SH,20250403,7.71,7.94,7.65,7.84,7.78,0.06,0.7712,79176.64,62163.499
