ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002350.SZ,20250102,7.6,8.12,7.39,7.58,7.6,-0.02,-0.2632,995499.74,762865.553
002350.SZ,20250103,7.21,7.28,6.82,6.82,7.58,-0.76,-10.0264,603280.51,417608.011
002350.SZ,20250106,6.3,6.45,6.14,6.14,6.82,-0.68,-9.9707,391936.15,242472.668
002350.SZ,20250107,5.94,6.38,5.8,6.25,6.14,0.11,1.7915,392781.58,241290.914
002350.SZ,20250108,6.2,6.33,5.85,6.09,6.25,-0.16,-2.56,348148.66,211265.595
002350.SZ,20250109,6.07,6.21,6.0,6.07,6.09,-0.02,-0.3284,217022.11,132232.394
002350.SZ,20250110,6.1,6.13,5.53,5.55,6.07,-0.52,-8.5667,296676.3,171455.436
002350.SZ,20250113,5.42,5.47,5.21,5.38,5.55,-0.17,-3.0631,170383.0,91057.042
002350.SZ,20250114,5.45,5.92,5.45,5.92,5.38,0.54,10.0372,256514.93,146953.158
002350.SZ,20250115,6.03,6.06,5.81,5.98,5.92,0.06,1.0135,235977.29,140254.599
002350.SZ,20250116,5.98,6.17,5.98,6.14,5.98,0.16,2.6756,203860.2,124369.485
002350.SZ,20250117,6.15,6.16,5.98,6.01,6.14,-0.13,-2.1173,123981.1,74810.661
002350.SZ,20250120,6.05,6.29,6.03,6.24,6.01,0.23,3.827,170271.0,105391.574
002350.SZ,20250121,6.31,6.32,6.08,6.14,6.24,-0.1,-1.6026,130022.58,80149.058
002350.SZ,20250122,6.16,6.25,6.08,6.16,6.14,0.02,0.3257,120696.71,74534.739
002350.SZ,20250123,6.27,6.35,6.1,6.11,6.16,-0.05,-0.8117,141651.49,88220.506
002350.SZ,20250124,6.11,6.16,5.98,6.07,6.11,-0.04,-0.6547,132420.43,80352.547
002350.SZ,20250127,6.31,6.4,6.1,6.1,6.07,0.03,0.4942,157142.69,97351.036
002350.SZ,20250205,6.15,6.19,6.03,6.15,6.1,0.05,0.8197,109211.95,66894.982
002350.SZ,20250206,6.18,6.25,6.09,6.25,6.15,0.1,1.626,119400.2,73928.143
002350.SZ,20250207,6.27,6.47,6.25,6.38,6.25,0.13,2.08,166718.5,106028.471
002350.SZ,20250210,6.38,6.48,6.38,6.48,6.38,0.1,1.5674,116072.19,74759.463
