ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
301638.SZ,20251118,20.57,21.3,17.58,18.48,5.69,12.79,224.7803,1770562.42,3391350.397
301638.SZ,20251119,17.55,25.88,17.5,23.89,18.48,5.41,29.2749,1754118.75,3768881.602
301638.SZ,20251120,22.8,24.77,21.75,22.0,23.89,-1.89,-7.9113,1254875.12,2843877.159
301638.SZ,20251121,22.0,24.3,21.27,22.2,22.0,0.2,0.9091,1238857.3,2832364.848
301638.SZ,20251124,21.98,22.0,19.66,20.51,22.2,-1.69,-7.6126,978904.3,2008606.039
301638.SZ,20251125,20.75,24.61,20.63,24.61,20.51,4.1,19.9902,1292966.23,3023671.309
301638.SZ,20251126,24.81,26.46,23.33,25.07,24.61,0.46,1.8692,1453189.87,3616414.461
301638.SZ,20251127,24.82,27.8,24.82,25.75,25.07,0.68,2.7124,1246164.23,3283690.062
301638.SZ,20251128,25.3,26.5,24.33,24.72,25.75,-1.03,-4.0,910224.49,2281451.713
301638.SZ,20251201,24.74,25.0,23.15,23.73,24.72,-0.99,-4.0049,710629.55,1689423.784
301638.SZ,20251202,23.4,23.7,22.5,22.63,23.73,-1.1,-4.6355,609910.49,1395412.418
301638.SZ,20251203,22.52,23.7,21.66,21.84,22.63,-0.79,-3.4909,903707.21,2060211.753
301638.SZ,20251204,21.52,22.2,21.05,21.67,21.84,-0.17,-0.7784,617633.64,1331424.859
301638.SZ,20251205,21.41,21.5,20.48,20.9,21.67,-0.77,-3.5533,580032.07,1205567.274
301638.SZ,20251208,20.88,21.39,20.81,21.19,20.9,0.29,1.3876,449742.0,951410.062
301638.SZ,20251209,21.11,21.94,20.82,21.26,21.19,0.07,0.3303,534693.59,1145511.688
301638.SZ,20251210,20.99,21.26,20.44,20.7,21.26,-0.56,-2.6341,426191.52,883008.941
301638.SZ,20251211,20.85,21.68,20.69,21.06,20.7,0.36,1.7391,618705.05,1314578.902
301638.SZ,20251212,20.7,21.6,20.01,21.1,21.06,0.04,0.1899,602630.19,1249629.365
301638.SZ,20251215,20.63,21.16,20.47,20.48,21.1,-0.62,-2.9384,361223.62,747855.563
301638.SZ,20251216,20.2,20.36,19.41,19.42,20.48,-1.06,-5.1758,403716.9,797063.495
301638.SZ,20251217,19.36,19.7,18.95,19.43,19.42,0.01,0.0515,336845.51,648754.897
301638.SZ,20251218,19.2,19.38,19.0,19.0,19.43,-0.43,-2.2131,228765.1,438197.712
301638.SZ,20251219,19.08,19.39,19.08,19.21,19.0,0.21,1.1053,222193.9,428160.382
301638.SZ,20251222,19.3,19.99,19.26,19.8,19.21,0.59,3.0713,312215.86,615676.742
301638.SZ,20251223,19.63,19.88,19.18,19.25,19.8,-0.55,-2.7778,273223.29,529739.459
301638.SZ,20251224,19.29,19.98,19.2,19.57,19.25,0.32,1.6623,285107.05,561049.566
301638.SZ,20251225,19.48,20.3,19.45,19.89,19.57,0.32,1.6352,369262.59,736111.157
301638.SZ,20251226,19.81,20.16,19.4,19.62,19.89,-0.27,-1.3575,338127.46,663786.703
301638.SZ,20251229,19.48,19.95,19.2,19.25,19.62,-0.37,-1.8858,266011.7,518728.511
