trade_date,评分,成交额,涨停数,强势股数,上涨占比,龙头强度,当前阶段
20260513,6.9,8343.7,0,0,13.8,0.94,轮动
20260514,515.31,12754.8,4,5,79.3,9.48,启动期
20260515,22.78,97.1,1,1,6.9,2.16,轮动
20260518,1.84,99.1,0,0,10.3,0.07,轮动
20260519,17.44,77.7,0,0,58.6,2.51,轮动
