trade_date,评分,成交额,涨停数,强势股数,上涨占比,龙头强度,当前阶段
20260513,4.15,1537.3,0,0,27.3,0.53,轮动
20260514,0.39,1419.1,0,0,0.0,-1.6,轮动
20260515,0.39,13.8,0,0,0.0,-0.8,轮动
20260518,1.7,12.7,0,0,18.2,0.15,轮动
20260519,6.42,9.8,0,0,63.6,1.26,轮动
