trade_date,评分,成交额,涨停数,强势股数,上涨占比,龙头强度,当前阶段
20260513,56.6,9597.0,1,1,80.0,2.73,轮动
20260514,0.08,6316.4,0,0,0.0,-3.14,轮动
20260515,0.76,70.2,0,0,20.0,-0.12,轮动
20260518,1.59,52.7,0,0,60.0,-0.26,轮动
20260519,6.1,57.0,0,0,100.0,1.8,轮动
