trade_date,评分,成交额,涨停数,强势股数,上涨占比,龙头强度,当前阶段
20260513,181.51,18373.8,1,2,82.4,4.86,轮动
20260514,0.67,20150.1,0,0,5.9,-1.31,轮动
20260515,68.72,182.5,1,1,58.8,4.36,轮动
20260518,57.26,172.7,1,1,47.1,4.03,轮动
20260519,53.77,266.6,0,1,76.5,4.17,轮动
