trade_date,评分,成交额,涨停数,强势股数,上涨占比,龙头强度,当前阶段
20260513,69.83,16725.5,0,1,65.4,4.56,轮动
20260514,2.79,14690.9,0,0,15.4,0.09,轮动
20260515,6.37,128.3,0,0,19.2,1.4,轮动
20260518,71.67,128.2,1,1,76.9,4.53,分歧期
20260519,34.24,132.5,0,0,80.8,4.46,轮动
