trade_date,评分,成交额,涨停数,强势股数,上涨占比,龙头强度,当前阶段
20260513,173.97,57092.0,0,6,78.6,7.64,轮动
20260514,6.34,53303.9,0,0,10.7,2.09,轮动
20260515,42.67,474.9,1,2,16.1,6.61,轮动
20260518,40.47,377.9,1,1,48.2,3.77,轮动
20260519,23.42,376.2,0,1,64.3,3.63,轮动
