trade_date,评分,成交额,涨停数,强势股数,上涨占比,龙头强度,当前阶段
20260513,19.38,10059.9,0,0,35.3,2.93,轮动
20260514,9.22,9925.1,0,0,17.6,1.58,轮动
20260515,34.25,94.2,1,1,16.2,5.33,轮动
20260518,15.16,98.4,0,2,22.1,4.54,轮动
20260519,24.25,84.3,0,0,77.9,3.32,轮动
20260520,20.01,85.6,0,2,19.1,4.54,轮动
