trade_date,评分,成交额,涨停数,强势股数,上涨占比,龙头强度,当前阶段
20260513,29.02,1492.7,0,1,66.7,1.9,轮动
20260514,3.09,1529.2,0,0,50.0,0.23,轮动
20260515,2.99,15.6,0,0,66.7,0.69,轮动
20260518,13.35,16.9,1,1,16.7,0.43,轮动
20260519,0.6,13.4,0,0,16.7,-0.54,轮动
