trade_date,评分,成交额,涨停数,强势股数,上涨占比,龙头强度,当前阶段
20260513,86.94,60027.8,0,1,76.9,4.95,轮动
20260514,9.38,56190.3,0,1,19.2,2.21,轮动
20260515,44.71,702.4,0,2,38.5,5.39,轮动
20260518,95.6,625.6,1,2,73.1,5.77,分歧期
20260519,74.01,604.9,0,2,84.6,5.61,分歧期
