trade_date,评分,成交额,涨停数,强势股数,上涨占比,龙头强度,当前阶段
20260513,199.99,23642.7,1,2,85.0,4.94,轮动
20260514,49.87,25673.2,1,1,15.0,2.83,轮动
20260515,4.89,262.5,0,0,15.0,1.0,轮动
20260518,229.12,222.6,2,3,70.0,8.77,启动期
20260519,130.95,230.7,1,4,80.0,7.15,分歧期
