trade_date,评分,成交额,涨停数,强势股数,上涨占比,龙头强度,当前阶段
20260513,365.79,12014.6,2,4,83.3,7.16,启动期
20260514,26.85,17323.9,0,1,22.2,2.31,轮动
20260515,9.51,151.0,0,0,22.2,2.71,轮动
20260518,8.8,111.2,0,1,33.3,2.1,轮动
20260519,85.21,139.3,1,2,72.2,5.04,分歧期
