trade_date,评分,成交额,涨停数,强势股数,上涨占比,龙头强度,当前阶段
20260513,262.45,58180.1,3,8,60.6,9.01,启动期
20260514,73.2,60701.0,2,3,18.1,6.39,轮动
20260515,89.33,650.1,2,9,42.6,8.14,启动期
20260518,233.7,638.6,5,10,54.3,10.63,发酵期
20260519,204.31,622.6,3,11,79.8,9.28,分歧期
