trade_date,评分,成交额,涨停数,强势股数,上涨占比,龙头强度,当前阶段
20260513,10.11,6557.6,0,0,85.7,1.71,轮动
20260514,0.88,7672.9,0,0,14.3,-0.53,轮动
20260515,126.53,131.6,2,2,71.4,5.81,启动期
20260518,25.67,182.7,1,1,42.9,1.56,轮动
20260519,0.36,131.5,0,0,14.3,-1.77,轮动
