trade_date,评分,成交额,涨停数,强势股数,上涨占比,龙头强度,当前阶段
20260513,492.76,211249.4,8,24,69.4,10.97,启动期
20260514,277.02,224115.4,8,14,23.8,10.69,启动期
20260515,126.77,2273.7,3,12,35.0,11.21,分歧期
20260518,247.69,1868.6,8,14,48.1,12.27,发酵期
20260519,238.93,1912.9,7,17,53.4,10.57,发酵期
