trade_date,评分,成交额,涨停数,强势股数,上涨占比,龙头强度,当前阶段
20260513,133.36,13379.9,1,2,53.3,5.37,轮动
20260514,51.51,12161.0,1,1,26.7,3.47,轮动
20260515,91.05,115.2,2,2,26.7,6.07,启动期
20260518,44.72,109.1,1,2,30.0,4.07,轮动
20260519,43.57,89.2,1,1,43.3,3.37,轮动
